Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Xeat,35000,/fortnite/Xeat,BR,Solos,100,100,266000,Online,Brazil,,2021-06-26,2021-06-26,https://liquipedia.net/fortnite/Fortnite_Champion_Series/All-Star_Showdown/Solo/Grand_Finals/Brazil
2,Fishy,25000,/fortnite/Fishy,,,,,,,,,,,
3,Phzin,22500,/fortnite/Phzin,,,,,,,,,,,
4,Insano,17500,/fortnite/Insano,,,,,,,,,,,
5,Filipe,15000,/fortnite/Filipe,,,,,,,,,,,
6,Spitflow,13500,/fortnite/Spitflow,,,,,,,,,,,
7,Fazer,11000,/fortnite/Fazer,,,,,,,,,,,
8,K1nG,9000,/fortnite/K1nG,,,,,,,,,,,
9,Frosty,7000,/fortnite/Frosty,,,,,,,,,,,
10,LuLuzito,5500,/fortnite/LuLuzito,,,,,,,,,,,
11,Facu,3750,/fortnite/Facu,,,,,,,,,,,
12,Cadu,3750,/fortnite/Cadu,,,,,,,,,,,
13,Neno,3750,/fortnite/Neno,,,,,,,,,,,
14,Guneves,3750,/fortnite/Guneves,,,,,,,,,,,
15,Bagu,3750,/fortnite/Bagu,,,,,,,,,,,
16,RustyK,2250,/fortnite/RustyK,,,,,,,,,,,
17,Navars,2250,/fortnite/Navars,,,,,,,,,,,
18,Collet,2250,/fortnite/Collet,,,,,,,,,,,
19,H4wwk,2250,/fortnite/H4wwk,,,,,,,,,,,
20,Dio,2250,/fortnite/Dio,,,,,,,,,,,
21,Diamond,1750,/fortnite/Diamond,,,,,,,,,,,
22,Romero,1750,/fortnite/Romero,,,,,,,,,,,
23,Mojak,1750,/fortnite/Mojak,,,,,,,,,,,
24,Redlee,1750,/fortnite/Redlee,,,,,,,,,,,
25,Suetam,1750,/fortnite/Suetam,,,,,,,,,,,
26,Bedin,1750,/fortnite/Bedin,,,,,,,,,,,
27,OPai,1750,/fortnite/Opai,,,,,,,,,,,
28,technoviking,1750,/fortnite/Technoviking,,,,,,,,,,,
29,Jpsk1ng,1750,/fortnite/Jpsk1ng,,,,,,,,,,,
30,Robot,1750,/fortnite/Robot,,,,,,,,,,,
31,Dott1,1750,/fortnite/Dott1,,,,,,,,,,,
32,blackoutZ,1750,/fortnite/BlackoutZ,,,,,,,,,,,
33,Tecne,1750,/fortnite/Tecne,,,,,,,,,,,
34,Retake,1750,/fortnite/Retake,,,,,,,,,,,
35,Riquelmee,1750,/fortnite/Riquelmee,,,,,,,,,,,
36,Nutifps,1750,/fortnite/Nutifps,,,,,,,,,,,
37,Kurtz,1750,/fortnite/Kurtz,,,,,,,,,,,
38,Digai,1750,/fortnite/Digai,,,,,,,,,,,
39,KING,1750,/fortnite/KING,,,,,,,,,,,
40,Akla,1750,/fortnite/Akla,,,,,,,,,,,
41,Nahue,1000,/fortnite/Nahue,,,,,,,,,,,
42,KaykyGames,1000,/fortnite/KaykyGames,,,,,,,,,,,
43,Sanku,1000,/fortnite/Sanku,,,,,,,,,,,
44,Seeyun,1000,/fortnite/Seeyun,,,,,,,,,,,
45,Kitoz,1000,/fortnite/Kitoz,,,,,,,,,,,
46,Ninja,1000,/fortnite/Ninja_(SA_player),,,,,,,,,,,
47,Juanzin,1000,/fortnite/Juanzin,,,,,,,,,,,
48,Nicks,1000,/fortnite/Nicks,,,,,,,,,,,
49,Granjero,1000,/fortnite/Granjero,,,,,,,,,,,
50,Scarpa,1000,/fortnite/Scarpa,,,,,,,,,,,
51,Randu,1000,/fortnite/Randu,,,,,,,,,,,
52,xOwN,1000,/fortnite/XOwN,,,,,,,,,,,
53,Tade,1000,/fortnite/Tade,,,,,,,,,,,
54,LORD,1000,/fortnite/LORD,,,,,,,,,,,
55,Diguera,1000,/fortnite/Diguera,,,,,,,,,,,
56,Pattaty,1000,/fortnite/Pattaty,,,,,,,,,,,
57,Felipersa,1000,/fortnite/Persa,,,,,,,,,,,
58,HuGODY,1000,/fortnite/HuGODY,,,,,,,,,,,
59,Sheco,1000,/fortnite/Sheco,,,,,,,,,,,
60,Pai,1000,/fortnite/Pai,,,,,,,,,,,
61,Betto,500,/fortnite/Betto,,,,,,,,,,,
62,Master,500,/fortnite/Master,,,,,,,,,,,
63,Keicox,500,/fortnite/Keicox,,,,,,,,,,,
64,Fffakkz,500,/fortnite/Fffakkz,,,,,,,,,,,
65,German62hz,500,/fortnite/German62hz,,,,,,,,,,,
66,Twayko,500,/fortnite/Twayko,,,,,,,,,,,
67,GSX,500,/fortnite/GSX,,,,,,,,,,,
68,OriGinS,500,/fortnite/OriGinS,,,,,,,,,,,
69,Pina,500,/fortnite/Pina_(Brazilian_player),,,,,,,,,,,
70,Lucxss,500,/fortnite/Lucxss_(Brazilian_player_2),,,,,,,,,,,
71,Vitinho,500,/fortnite/Vitinho,,,,,,,,,,,
72,Histtory,500,/fortnite/Histtory,,,,,,,,,,,
73,MatadorSalas,500,/fortnite/MatadorSalas,,,,,,,,,,,
74,shoks,500,/fortnite/Shoks,,,,,,,,,,,
75,Gabrielh99,500,/fortnite/Gabrielh99,,,,,,,,,,,
76,Nov1ce,500,/fortnite/Nov1ce,,,,,,,,,,,
77,leleo,500,/fortnite/Leleo,,,,,,,,,,,
78,Guuh,500,/fortnite/Guuh,,,,,,,,,,,
79,Myst,500,/fortnite/Myst,,,,,,,,,,,
80,Tekka,500,/fortnite/Tekka,,,,,,,,,,,
81,Pulga,500,/fortnite/Pulga,,,,,,,,,,,
82,matika,500,/fortnite/Matika,,,,,,,,,,,
83,Frans,500,/fortnite/Frans,,,,,,,,,,,
84,AG1RRE,500,/fortnite/AG1RRE,,,,,,,,,,,
85,Barreto,500,/fortnite/Barreto,,,,,,,,,,,
86,Alpha,500,/fortnite/Alpha_(Brazilian_player),,,,,,,,,,,
87,Lorax,500,/fortnite/Lorax,,,,,,,,,,,
88,Rynm,500,/fortnite/Rynm,,,,,,,,,,,
89,Clipnode,500,/fortnite/Clipnode,,,,,,,,,,,
90,Ndp,500,/fortnite/Ndp,,,,,,,,,,,
91,KALIFA,500,/fortnite/KALIFA,,,,,,,,,,,
92,EdRoadToGlory,500,/fortnite/EdRoadToGlory,,,,,,,,,,,
93,KBR,500,/fortnite/KBR,,,,,,,,,,,
94,Mxrcio,500,/fortnite/Mxrcio,,,,,,,,,,,
95,Barella,500,/fortnite/Barella,,,,,,,,,,,
96,Scan,500,/fortnite/Scan,,,,,,,,,,,
97,Xosmo,500,/fortnite/Xosmo,,,,,,,,,,,
98,Luksz,500,/fortnite/Luksz,,,,,,,,,,,
99,Gustyx,500,/fortnite/Gustyx,,,,,,,,,,,
100,WeY,500,/fortnite/WeY,,,,,,,,,,,
