Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,TaySon,150000,/fortnite/TaySon,EU,Solos,100,100,2021-06-26,2021-06-26,https://liquipedia.net/fortnite/Fortnite_Champion_Series/All-Star_Showdown/Solo/Grand_Finals/Europe
2,veno,120000,/fortnite/Veno,,,,,,,
3,AirkNn,100000,/fortnite/AirkNn,,,,,,,
4,nebs,80000,/fortnite/Nebs,,,,,,,
5,K1nzеll,70000,/fortnite/K1nzell,,,,,,,
6,rezon ay,60000,/fortnite/Rezon_ay,,,,,,,
7,trippernn,50000,/fortnite/Trippernn,,,,,,,
8,Fastroki,40000,/fortnite/Fastroki,,,,,,,
9,Th0masHD,30000,/fortnite/Th0masHD,,,,,,,
10,Michael,25000,/fortnite/Michael,,,,,,,
11,Slender,15000,/fortnite/Slender,,,,,,,
12,Bubak,15000,/fortnite/Bubak,,,,,,,
13,Setty,15000,/fortnite/Setty,,,,,,,
14,Shizogod,15000,/fortnite/Shizogod,,,,,,,
15,Snayzy,15000,/fortnite/Snayzy,,,,,,,
16,Jetsku,10000,/fortnite/Jetsku,,,,,,,
17,Andilex,10000,/fortnite/Andilex,,,,,,,
18,Blacky,10000,/fortnite/Blacky,,,,,,,
19,Floki,10000,/fortnite/Floki,,,,,,,
20,BadSniper,10000,/fortnite/BadSniper,,,,,,,
21,Vadeal,7500,/fortnite/Vadeal,,,,,,,
22,Stormyrite,7500,/fortnite/Stormyrite,,,,,,,
23,Matsoe,7500,/fortnite/Matsoe,,,,,,,
24,Knifer,7500,/fortnite/Knifer,,,,,,,
25,teeq,7500,/fortnite/Teeq,,,,,,,
26,Anddone,5000,/fortnite/Anddone,,,,,,,
27,Hen,5000,/fortnite/Hen,,,,,,,
28,ks1light,5000,/fortnite/Ks1light,,,,,,,
29,Queasy,5000,/fortnite/Queasy,,,,,,,
30,Refsgaard,5000,/fortnite/Refsgaard,,,,,,,
31,Grayinjo,5000,/fortnite/Grayinjo,,,,,,,
32,Decyptos,5000,/fortnite/Decyptos,,,,,,,
33,Safik,5000,/fortnite/Safik,,,,,,,
34,Shaykoz,5000,/fortnite/Shaykoz,,,,,,,
35,Endretta,5000,/fortnite/Endretta,,,,,,,
36,wakie,5000,/fortnite/Wakie,,,,,,,
37,iRezUmi,5000,/fortnite/IRezUmi,,,,,,,
38,JannisZ,5000,/fortnite/JannisZ,,,,,,,
39,Toose,5000,/fortnite/Toose,,,,,,,
40,Chapix,5000,/fortnite/Chapix,,,,,,,
41,Kami,4000,/fortnite/Kami,,,,,,,
42,Kikoo,4000,/fortnite/Kikoo,,,,,,,
43,TruleX,4000,/fortnite/TruleX,,,,,,,
44,packo,4000,/fortnite/Packo,,,,,,,
45,WaiZ,4000,/fortnite/WaiZ,,,,,,,
46,Malibuca,4000,/fortnite/Malibuca,,,,,,,
47,IDrop,4000,/fortnite/IDrop,,,,,,,
48,Sunddely,4000,/fortnite/Sunddely,,,,,,,
49,hycr1s,4000,/fortnite/Hycr1s,,,,,,,
50,Mr.J,4000,/fortnite/Mr.J,,,,,,,
51,JoeFN,4000,/fortnite/JoeFN,,,,,,,
52,Mappi,4000,/fortnite/Mappi,,,,,,,
53,KejseR,4000,/fortnite/Kejser,,,,,,,
54,Ceesay,4000,/fortnite/Ceesay,,,,,,,
55,Miro,4000,/fortnite/Miro,,,,,,,
56,Snap,4000,/fortnite/Snap,,,,,,,
57,Anas,4000,/fortnite/Anas,,,,,,,
58,elokratz,4000,/fortnite/Elokratz,,,,,,,
59,Swag,4000,/fortnite/Swag,,,,,,,
60,Peach,4000,/fortnite/Peach,,,,,,,
61,Ardit,3000,/fortnite/Ardit,,,,,,,
62,xsterioz,3000,/fortnite/Xsterioz,,,,,,,
63,Verox,3000,/fortnite/Verox,,,,,,,
64,mexe,3000,/fortnite/Mexe,,,,,,,
65,MrSavage,3000,/fortnite/MrSavage,,,,,,,
66,Hottie,3000,/fortnite/Hottie,,,,,,,
67,RedRush,3000,/fortnite/RedRush,,,,,,,
68,4zr,3000,/fortnite/4zr,,,,,,,
69,MOSh,3000,/fortnite/MOSh,,,,,,,
70,benjyfishy,3000,/fortnite/Benjyfishy,,,,,,,
71,Pinq,3000,/fortnite/Pinq,,,,,,,
72,Noahreyli,3000,/fortnite/Noahreyli,,,,,,,
73,Flikk,3000,/fortnite/Flikk,,,,,,,
74,nayte,3000,/fortnite/Nayte,,,,,,,
75,Jules,3000,/fortnite/Jules,,,,,,,
76,M1lo,2000,/fortnite/M1lo,,,,,,,
77,BelliX,2000,/fortnite/BelliX,,,,,,,
78,Seahorse,2000,/fortnite/Seahorse,,,,,,,
79,Siberiajkee,2000,/fortnite/Siberiajkee,,,,,,,
80,FlowiS,2000,/fortnite/FlowiS,,,,,,,
81,Diablo,2000,/fortnite/Diablo,,,,,,,
82,SHAD0W,2000,/fortnite/SHAD0W,,,,,,,
83,Flecken,2000,/fortnite/Flecken,,,,,,,
84,Pizza4k,2000,/fortnite/Pizza4k,,,,,,,
85,Stompy,2000,/fortnite/Stompy,,,,,,,
86,xsweeze,2000,/fortnite/Xsweeze,,,,,,,
87,Bayon,2000,/fortnite/Bayon,,,,,,,
88,Rakso,2000,/fortnite/Rakso,,,,,,,
89,Johku,2000,/fortnite/Johku,,,,,,,
90,Mawakha,2000,/fortnite/Mawakha,,,,,,,
91,DKS,2000,/fortnite/DKS,,,,,,,
92,Vortex,2000,/fortnite/Vortex,,,,,,,
93,Jur3ky,2000,/fortnite/Jur3ky,,,,,,,
94,Umplify,2000,/fortnite/Umplify,,,,,,,
95,VoltiaX,2000,/fortnite/VoltiaX,,,,,,,
96,zeykoo,2000,/fortnite/Zeykoo,,,,,,,
97,kiryache32,2000,/fortnite/Kiryache32,,,,,,,
98,Clement,2000,/fortnite/Clement,,,,,,,
99,PanixZ,2000,/fortnite/PanixZ,,,,,,,
100,Mayhem,2000,/fortnite/Mayhem,,,,,,,
