Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Speedy,20000,/fortnite/Speedy,ME,Solos,100,100,130000,Online,Middle East,,2021-06-26,2021-06-26,https://liquipedia.net/fortnite/Fortnite_Champion_Series/All-Star_Showdown/Solo/Grand_Finals/Middle_East
2,7man,12000,/fortnite/7man,,,,,,,,,,,
3,ABUFAL7,11000,/fortnite/AbuFal7,,,,,,,,,,,
4,Mansour,9000,/fortnite/Mansour,,,,,,,,,,,
5,Balor,7500,/fortnite/Balor,,,,,,,,,,,
6,Metab,6000,/fortnite/Metab,,,,,,,,,,,
7,Yonx,5500,/fortnite/Yonx,,,,,,,,,,,
8,Njby,4500,/fortnite/Njby,,,,,,,,,,,
9,Deatt,3500,/fortnite/Deatt,,,,,,,,,,,
10,Spy,2500,/fortnite/Spy,,,,,,,,,,,
11,Xx731,1800,/fortnite/Xx731,,,,,,,,,,,
12,NetloV,1800,/fortnite/NetloV,,,,,,,,,,,
13,Rv,1800,/fortnite/Rv,,,,,,,,,,,
14,Souriano,1800,/fortnite/Souriano,,,,,,,,,,,
15,Phantom,1800,/fortnite/Phantom,,,,,,,,,,,
16,FHD,1100,/fortnite/FHD_(Fahad_Almutairi),,,,,,,,,,,
17,FKS,1100,/fortnite/FKS,,,,,,,,,,,
18,Dexefite,1100,/fortnite/Dexefite,,,,,,,,,,,
19,Rico,1100,/fortnite/Azizyache32,,,,,,,,,,,
20,Azzx,1100,/fortnite/Azzx,,,,,,,,,,,
21,Unit,800,/fortnite/Unit,,,,,,,,,,,
22,LIQUID,800,/fortnite/LIQUID,,,,,,,,,,,
23,Hero,800,/fortnite/Hero,,,,,,,,,,,
24,FT,800,/fortnite/FT,,,,,,,,,,,
25,Ekko,800,/fortnite/Ekko,,,,,,,,,,,
26,LeziX,800,/fortnite/LeziX,,,,,,,,,,,
27,Murloc,800,/fortnite/Murloc,,,,,,,,,,,
28,Map,800,/fortnite/Map,,,,,,,,,,,
29,KiritoKun,800,/fortnite/KiritoKun,,,,,,,,,,,
30,MK,800,/fortnite/MK,,,,,,,,,,,
31,Saud,800,/fortnite/Saud_(ME_player_2),,,,,,,,,,,
32,Rapit,800,/fortnite/Rapit,,,,,,,,,,,
33,Fahad,800,/fortnite/Fahad,,,,,,,,,,,
34,AX3,800,/fortnite/AX3,,,,,,,,,,,
35,SFA7,800,/fortnite/SFA7,,,,,,,,,,,
36,QnDx,800,/fortnite/QnDx,,,,,,,,,,,
37,DRaFTell,800,/fortnite/DRaFTell,,,,,,,,,,,
38,Snowyka,800,/fortnite/Snowyka,,,,,,,,,,,
39,C2razy,800,/fortnite/C2razy,,,,,,,,,,,
40,I4xPRO,800,/fortnite/I4xPRO,,,,,,,,,,,
41,Hellonsteam,500,/fortnite/Hellonsteam,,,,,,,,,,,
42,Krool,500,/fortnite/Krool,,,,,,,,,,,
43,Opezor,500,/fortnite/Opezor,,,,,,,,,,,
44,3BoooD,500,/fortnite/3BoooD,,,,,,,,,,,
45,Saud,500,/fortnite/Saud,,,,,,,,,,,
46,HeiF,500,/fortnite/HeiF,,,,,,,,,,,
47,Mshary,500,/fortnite/Mshary_(Mshari_Khaled),,,,,,,,,,,
48,Modisk,500,/fortnite/Modisk,,,,,,,,,,,
49,Ba7rb,500,/fortnite/Ba7rb,,,,,,,,,,,
50,Ali,500,/fortnite/Ali,,,,,,,,,,,
51,Lord,500,/fortnite/Lord,,,,,,,,,,,
52,S7S,500,/fortnite/S7S,,,,,,,,,,,
53,Flamors,500,/fortnite/Flamors,,,,,,,,,,,
54,Adapter,500,/fortnite/Adapter,,,,,,,,,,,
55,Lacator,500,/fortnite/Lacat0r,,,,,,,,,,,
56,lozer,500,/fortnite/Lozer,,,,,,,,,,,
57,FHD2,500,/fortnite/FHD_(Fahad_Yaseer),,,,,,,,,,,
58,Fw,500,/fortnite/Fw,,,,,,,,,,,
59,Demon,500,/fortnite/Demon,,,,,,,,,,,
60,Lucci,500,/fortnite/Lucci_(ME_player),,,,,,,,,,,
61,3mory,200,/fortnite/3mory,,,,,,,,,,,
62,vagnaR,200,/fortnite/VagnaR,,,,,,,,,,,
63,Msg,200,/fortnite/Msg,,,,,,,,,,,
64,Hulks,200,/fortnite/Hulks,,,,,,,,,,,
65,Kai,200,/fortnite/Kai,,,,,,,,,,,
66,XJam,200,/fortnite/XJam,,,,,,,,,,,
67,Nyle,200,/fortnite/Nyle,,,,,,,,,,,
68,Raed,200,/fortnite/Raed,,,,,,,,,,,
69,Kaspr,200,/fortnite/Kaspr,,,,,,,,,,,
70,Khalood,200,/fortnite/Khalood,,,,,,,,,,,
71,Mjeed,200,/fortnite/Mjeed,,,,,,,,,,,
72,SKULLY,200,/fortnite/SKULLY,,,,,,,,,,,
73,Bnga,200,/fortnite/Bnga,,,,,,,,,,,
74,Faris,200,/fortnite/Faris,,,,,,,,,,,
75,Minas,200,/fortnite/Minas,,,,,,,,,,,
76,Malkawi,200,/fortnite/Malkawi,,,,,,,,,,,
77,7uruth,200,/fortnite/7uruth,,,,,,,,,,,
78,snowvaks,200,/fortnite/Snowvaks,,,,,,,,,,,
79,OutLaw,200,/fortnite/OutLaw,,,,,,,,,,,
80,Ech0,200,/fortnite/Ech0,,,,,,,,,,,
81,Odeh,200,/fortnite/Odeh,,,,,,,,,,,
82,Bleed,200,/fortnite/Bleed,,,,,,,,,,,
83,BlazeX,200,/fortnite/BlazeX,,,,,,,,,,,
84,QwAy,200,/fortnite/QwAy,,,,,,,,,,,
85,Az2m,200,/fortnite/Az2m,,,,,,,,,,,
86,IExon,200,/fortnite/IExon,,,,,,,,,,,
87,Tooke,200,/fortnite/Tooke,,,,,,,,,,,
88,Kinqver,200,/fortnite/Kinqver,,,,,,,,,,,
89,KaKaRoT,200,/fortnite/KaKaRoT,,,,,,,,,,,
90,LoFi,200,/fortnite/LoFi,,,,,,,,,,,
91,Nm7,200,/fortnite/NM7,,,,,,,,,,,
92,Ski,200,/fortnite/Ski_(ME_player),,,,,,,,,,,
93,Naif,200,/fortnite/Naif,,,,,,,,,,,
94,KuKi,200,/fortnite/KuKi,,,,,,,,,,,
95,Naifma7,200,/fortnite/Naifma7,,,,,,,,,,,
96,Smsom,200,/fortnite/Smsom,,,,,,,,,,,
97,Tensa,200,/fortnite/Tensa,,,,,,,,,,,
98,Linx,200,/fortnite/Linx,,,,,,,,,,,
99,Retrohs,200,/fortnite/Retrohs,,,,,,,,,,,
100,Aziz,200,/fortnite/Aziz,,,,,,,,,,,
