Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,PaMstou,75000,/fortnite/PaMstou,NAE,Solos,100,99,2021-06-26,2021-06-26,https://liquipedia.net/fortnite/Fortnite_Champion_Series/All-Star_Showdown/Solo/Grand_Finals/NAE
2,casqer,50000,/fortnite/Casqer,,,,,,,
3,Khanada,45000,/fortnite/Khanada,,,,,,,
4,Slackes,35000,/fortnite/Slackes,,,,,,,
5,Tragix,30000,/fortnite/Tragix,,,,,,,
6,Dubs,27000,/fortnite/Dubs,,,,,,,
7,Bucke,22000,/fortnite/Bucke,,,,,,,
8,PeterBot,18000,/fortnite/Peterbot,,,,,,,
9,Ceice,14000,/fortnite/Ceice,,,,,,,
10,Edgey,11000,/fortnite/Edgey,,,,,,,
11,Commandment,6500,/fortnite/Commandment,,,,,,,
12,Fatch,6500,/fortnite/Fatch,,,,,,,
13,Kwah,6500,/fortnite/Kwah,,,,,,,
14,Acorn,6500,/fortnite/Acorn,,,,,,,
15,Degen,6500,/fortnite/Degen,,,,,,,
16,Rocaine,4500,/fortnite/Rocaine,,,,,,,
17,Avery,4500,/fortnite/Avery,,,,,,,
18,Stretch,4500,/fortnite/Stretch,,,,,,,
19,Marzz_OW,4500,/fortnite/Marzz_OW,,,,,,,
20,Dom,4500,/fortnite/Dom,,,,,,,
21,Bugha,3500,/fortnite/Bugha,,,,,,,
22,Jahq,3500,/fortnite/Jahq,,,,,,,
23,Sticks,3500,/fortnite/Sticks,,,,,,,
24,Fryst,3500,/fortnite/Fryst,,,,,,,
25,Okis,3500,/fortnite/Okis,,,,,,,
26,Mero,2500,/fortnite/Mero,,,,,,,
27,Nexy,2500,/fortnite/Nexy,,,,,,,
28,Crumble,2500,/fortnite/Crumble,,,,,,,
29,Ajerss,2500,/fortnite/Ajerss,,,,,,,
30,skqttles,2500,/fortnite/Skqttles,,,,,,,
31,Cented,2500,/fortnite/Cented,,,,,,,
32,Smqcked,2500,/fortnite/Smqcked,,,,,,,
33,Chimp,2500,/fortnite/Chimp,,,,,,,
34,Squish,2500,/fortnite/Squish,,,,,,,
35,Xoonies,2500,/fortnite/Xoonies,,,,,,,
36,Jamper,2500,/fortnite/Jamper,,,,,,,
37,Scoped,2500,/fortnite/Scoped,,,,,,,
38,Crunchy,2500,/fortnite/Crunchy,,,,,,,
39,OmG Me II,2500,/fortnite/OmG_Me_II,,,,,,,
40,ShXn,2500,/fortnite/Shxn,,,,,,,
41,paper,2000,/fortnite/Paper,,,,,,,
42,Clix,2000,/fortnite/Clix,,,,,,,
43,Voil,2000,/fortnite/Voil,,,,,,,
44,Bully,2000,/fortnite/Bully,,,,,,,
45,illest,2000,/fortnite/Illest,,,,,,,
46,Ace1xx,2000,/fortnite/Ace1xx,,,,,,,
47,Jays,2000,/fortnite/Jays,,,,,,,
48,Chukky,2000,/fortnite/Chukky,,,,,,,
49,narwhal,2000,/fortnite/Narwhal,,,,,,,
50,Charlie,2000,/fortnite/Charlie,,,,,,,
51,Spayde,2000,/fortnite/Spayde,,,,,,,
52,nut,2000,/fortnite/Nut,,,,,,,
53,Kn1pher,2000,/fortnite/Kn1pher,,,,,,,
54,Pxlarized,2000,/fortnite/Pxlarized,,,,,,,
55,Divine,2000,/fortnite/Divine,,,,,,,
56,Goku,2000,/fortnite/Goku,,,,,,,
57,Aspect,2000,/fortnite/Aspect,,,,,,,
58,Nosh,2000,/fortnite/Nosh,,,,,,,
59,Rise,2000,/fortnite/Rise,,,,,,,
60,Ozirvo,2000,/fortnite/Ozirvo,,,,,,,
61,Xccept,1500,/fortnite/Xccept,,,,,,,
62,Bizzle,1500,/fortnite/Bizzle,,,,,,,
63,Gabe,1500,/fortnite/Gabe,,,,,,,
64,Osp,1500,/fortnite/Osp,,,,,,,
65,Sharkman,1500,/fortnite/Sharkman,,,,,,,
66,Nounzy,1500,/fortnite/Nounzy,,,,,,,
67,Klayy,1500,/fortnite/Klayy,,,,,,,
68,Tahi,1500,/fortnite/Tahi,,,,,,,
69,blakeps,1500,/fortnite/Blakeps,,,,,,,
70,Teyo,1500,/fortnite/Teyo,,,,,,,
71,Kreo,1500,/fortnite/Kreo,,,,,,,
72,npen,1500,/fortnite/Npen,,,,,,,
73,AsianJeff,1500,/fortnite/AsianJeff,,,,,,,
74,Threats,1500,/fortnite/Threats,,,,,,,
75,Megga,1500,/fortnite/Megga,,,,,,,
76,Furious,1000,/fortnite/Furious,,,,,,,
77,Justice,1000,/fortnite/Justice,,,,,,,
78,Dusky,1000,/fortnite/Dusky,,,,,,,
79,MackWood,1000,/fortnite/MackWood,,,,,,,
80,Cid,1000,/fortnite/Cid,,,,,,,
