Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Hood.J;Peterpan;Ming;Medusa,43500,/fortnite/Hood.J;/fortnite/Peterpan;/fortnite/Ming;/fortnite/Medusa,AS,Squads,25,23,125700,Online,Asia,,2019-12-08,2019-12-08,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_1/Grand_Finals/Asia
2,TAKAMURA;RizArt;Maufin;Bob,21000,/fortnite/Ruri;/fortnite/RizArt;/fortnite/Maufin;/fortnite/Bob,,,,,,,,,,,
3,Paengdol;GallaxyPK;Aimhero_o;CoSa,12000,/fortnite/Paengdol;/fortnite/GallaxyPK;/fortnite/Aimhero_o;/fortnite/CoSa,,,,,,,,,,,
4,SinOoh;Arius;FaxFox;Eraser,9000,/fortnite/SinOoh;/fortnite/Arius;/fortnite/FaxFox;/fortnite/Eraser,,,,,,,,,,,
5,MacChan;bell;Zepher;Qoo,7500,/fortnite/MacChan;/fortnite/Bell;/fortnite/Zepher;/fortnite/Qoo,,,,,,,,,,,
6,Shunsyan;Tako;Peta;Pega,6000,/fortnite/Shunsyan;/fortnite/Tako;/fortnite/Peta;/fortnite/Pega,,,,,,,,,,,
7,Nevy;Rialy;RiLey;Arkrin,4500,/fortnite/Nevy;/fortnite/Rialy;/fortnite/RiLey;/fortnite/Arkrin,,,,,,,,,,,
8,Envy;Puzz;Spidermon;Quickss,3000,/fortnite/Envy;/fortnite/Puzz;/fortnite/Spidermon;/fortnite/Quickss,,,,,,,,,,,
9,Swillium;fa1zzy;NinGDO;Horaace,1800,/fortnite/Swillium;/fortnite/Fa1zzy;/fortnite/NinGDO;/fortnite/Horaace,,,,,,,,,,,
10,YuWang;XCC;Fire;XiaoJie,1200,/fortnite/YuWang;/fortnite/XCC;/fortnite/Fire_(Chinese_player);/fortnite/XiaoJie,,,,,,,,,,,
11,Lettuce;Nephrite;Kurara;Albedo,1200,/fortnite/Lettuce;/fortnite/Nephrite;/fortnite/Kurara;/fortnite/Albedo,,,,,,,,,,,
12,WildHawk;amerain;Debs;Samāsāfin,1200,/fortnite/WildHawk;/fortnite/Amerain;/fortnite/Debs;/fortnite/Sam%C4%81s%C4%81fin,,,,,,,,,,,
13,Nizzy;Kazukin;Hamuppi;Souma,1200,/fortnite/Nizzy;/fortnite/Kazukin;/fortnite/Hamuppi;/fortnite/Souma,,,,,,,,,,,
14,Xiaohong;QianLan;Sad;Aimbot.exe,1200,/fortnite/Xiaohong;/fortnite/QianLan;/fortnite/Sad_(Chinese_player);/fortnite/Aimbot.exe,,,,,,,,,,,
15,Fukkatsu;KUREN;Tax;Yasenoppo,1200,/fortnite/Fukkatsu;/fortnite/KUREN;/fortnite/Tax;/fortnite/Yasenoppo,,,,,,,,,,,
16,Abe2da;Sakaharu;sm38;Divqx,1200,/fortnite/Abe2da;/fortnite/Sakaharu;/fortnite/Sm38;/fortnite/Divqx,,,,,,,,,,,
17,Kuzen;Flikkreo;GoriX;Phate,1200,/fortnite/Kuzen;/fortnite/Flikkreo;/fortnite/GoriX;/fortnite/Phate,,,,,,,,,,,
18,Martozzz;Gonbe;Akai;wUnknown,1200,/fortnite/Martozzz;/fortnite/Gonbe;/fortnite/Akai_(Japanese_player);/fortnite/WUnknown,,,,,,,,,,,
19,ChaoJi;TianXin;LiangZai;LuoXia,1200,/fortnite/ChaoJi;/fortnite/TianXin;/fortnite/LiangZai;/fortnite/LuoXia,,,,,,,,,,,
20,Katsudon;Tamamamamady;Mash;Clemens,1200,/fortnite/Katsudon;/fortnite/Tamamamamady;/fortnite/Mash;/fortnite/Clemens,,,,,,,,,,,
21,Kokokoko;Gepard;Nezar;Mentamaa,1200,/fortnite/Kokokoko;/fortnite/Gepard;/fortnite/Nezar;/fortnite/Mentamaa,,,,,,,,,,,
22,Tsunami;June;BoKyu;DDangkong,1200,/fortnite/Tsunami_(South_Korean_player);/fortnite/June_(South_korean_player);/fortnite/BoKyu;/fortnite/DDangkong,,,,,,,,,,,
23,Mikage;01FakeName;Chikupero;Melight,1200,/fortnite/Mikage;/fortnite/01FakeName;/fortnite/Chikupero;/fortnite/Melight,,,,,,,,,,,
