Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Sheco;Lasers;Igo;Histtory,75000,/fortnite/Sheco;/fortnite/Lasers;/fortnite/Igo;/fortnite/Histtory,BR,Squads,25,24,2019-12-08,2019-12-08,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_1/Grand_Finals/Brazil
2,leleo;kurtz;wisheydp;KING,30000,/fortnite/Leleo;/fortnite/Kurtz;/fortnite/Wisheydp;/fortnite/KING,,,,,,,
3,Mstzera;Estevin;Gustavo;gordiNN,24000,/fortnite/Mstzera;/fortnite/Estevin;/fortnite/Gustavo;/fortnite/GordiNN,,,,,,,
4,Sugatt;Eddent;Fabrosboy;Untouch,18000,/fortnite/Sugatt;/fortnite/Eddent;/fortnite/Fabrosboy;/fortnite/Untouch,,,,,,,
5,ZuiCx;Tacser;Nahue;Fffakkz,15000,/fortnite/ZuiCx;/fortnite/Tacser;/fortnite/Nahue;/fortnite/Fffakkz,,,,,,,
6,RustyK;Riquelmee;German62hz;Sanku,12000,/fortnite/RustyK;/fortnite/Riquelmee;/fortnite/German62hz;/fortnite/Sanku,,,,,,,
7,Losted;Cadu;Bedin;Kitoz,9000,/fortnite/Losted;/fortnite/Cadu;/fortnite/Bedin;/fortnite/Kitoz,,,,,,,
8,Master;drakoNz;BlackoutZ;Nicks,6000,/fortnite/Master;/fortnite/DrakoNz;/fortnite/BlackoutZ;/fortnite/Nicks,,,,,,,
9,Halk;Suetam;Shino;Digai,4800,/fortnite/Halk;/fortnite/Suetam;/fortnite/Shino;/fortnite/Digai,,,,,,,
10,6tn;Nias;Tade;XZyTle,2400,/fortnite/6tn;/fortnite/Nias;/fortnite/Tade;/fortnite/XZyTle,,,,,,,
11,Pina;Felipersa;HMb;EdRoadToGlory,2400,/fortnite/Pina_(Brazilian_player);/fortnite/Persa;/fortnite/HMb;/fortnite/EdRoadToGlory,,,,,,,
12,Faah;Forone;Spitflow;Brunao,2400,/fortnite/Faah;/fortnite/Forone;/fortnite/Spitflow;/fortnite/Brunao,,,,,,,
13,Leobas;Twayko;Lagarto;Zqull,2400,/fortnite/Leobas;/fortnite/Twayko;/fortnite/Lagarto;/fortnite/Zqull,,,,,,,
14,Escaracho;xOwN;K1nG;Damage.-13,2400,/fortnite/Escaracho;/fortnite/XOwN;/fortnite/K1nG;/fortnite/Damage.-13,,,,,,,
15,Liimaa;Brabo;Shinny;Halma,2400,/fortnite/Liimaa;/fortnite/Brabo;/fortnite/Shinny;/fortnite/Halma,,,,,,,
16,OPai;kNgted;t0nyskrt;Andreoli,2400,/fortnite/Opai;/fortnite/KNgted;/fortnite/t0nyskrt;/fortnite/Andreoli,,,,,,,
17,LinternA;CICCA;Franzez;Gaston,2400,/fortnite/LinternA;/fortnite/CICCA;/fortnite/Franzez;/fortnite/Gaston,,,,,,,
18,Tefoyo;EsTani;Tersaik;Juann99,2400,/fortnite/Tefoyo;/fortnite/EsTani;/fortnite/Tersaik;/fortnite/Juann99,,,,,,,
19,Alveezera;Leozinn;GeoMHZ;vitinskrt,2400,/fortnite/Alveezera;/fortnite/Leozinn;/fortnite/GeoMHZ;/fortnite/vitinskrt,,,,,,,
20,PlacceN;Weliaz;Lemu;SpacyX,2400,/fortnite/PlacceN;/fortnite/Weliaz;/fortnite/Lemu;/fortnite/SpacyX,,,,,,,
21,OnLy Nyu;BrYANN;Vero;Phzin,2400,/fortnite/OnLy_Nyu;/fortnite/BrYANN;/fortnite/Vero;/fortnite/Phzin,,,,,,,
22,Nivem1;Khysto;Benz;Aetzu,2400,/fortnite/Nivem1;/fortnite/Khysto;/fortnite/Benz;/fortnite/Aetzu,,,,,,,
23,Zuusboy;Diamond;Juanzin;Tisora,2400,/fortnite/Zuusboy;/fortnite/Diamond;/fortnite/Juanzin;/fortnite/Tisora,,,,,,,
24,Sxnte;Khrawn;MBeWonder;XXLaManuelaXx,2400,/fortnite/Sxnte;/fortnite/Khrawn;/fortnite/MBeWonder;/fortnite/XXLaManuelaXx,,,,,,,
