Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,RedRush;drobbаn;znappy;wakie,300000,/fortnite/RedRush;/fortnite/Drobb%D0%B0n;/fortnite/Znappy;/fortnite/Wakie,EU,Squads,25,24,919200,Online,Europe,,2019-12-08,2019-12-08,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_1/Grand_Finals/Europe
2,Mongraal;Wolfiez;benjyfishy;nayte,120000,/fortnite/Mongraal;/fortnite/Wolfiez;/fortnite/Benjyfishy;/fortnite/Nayte,,,,,,,,,,,
3,Airwaks;Skite;Vato;Nikof,96000,/fortnite/Airwaks;/fortnite/Skite;/fortnite/Vato;/fortnite/Nikof,,,,,,,,,,,
4,Kamo;Pepper;fledermoys;RijasR,72000,/fortnite/Kamo;/fortnite/Pepper;/fortnite/Fledermoys;/fortnite/RijasR,,,,,,,,,,,
5,Kubx;Rakso;3vil;teeq,60000,/fortnite/Kubx;/fortnite/Rakso;/fortnite/3vil;/fortnite/Teeq,,,,,,,,,,,
6,Downs2k;ETq;Kroq;Swag,48000,/fortnite/Downs2k;/fortnite/ETq;/fortnite/Kroq;/fortnite/Swag,,,,,,,,,,,
7,Caspersa;Anas;IboooHai;Zh1ny,36000,/fortnite/Caspersa;/fortnite/Anas;/fortnite/IboooHai;/fortnite/Zh1ny,,,,,,,,,,,
8,Shaka;Gemz;JulianCoM;MinZho,24000,/fortnite/Shaka;/fortnite/Gemz;/fortnite/Juliancom;/fortnite/MinZho,,,,,,,,,,,
9,magnus;Nebby;JannisZ;Jason,19200,/fortnite/Magnus;/fortnite/Nebby;/fortnite/JannisZ;/fortnite/Jason,,,,,,,,,,,
10,MarkusC;kejseR;Trippernn;Skram,9600,/fortnite/MarkusC;/fortnite/Kejser;/fortnite/Trippernn;/fortnite/Skram,,,,,,,,,,,
11,Andilex;4zr;Noward;DRG,9600,/fortnite/Andilex;/fortnite/4zr;/fortnite/Noward;/fortnite/DRG,,,,,,,,,,,
12,Ritz;crue;beehive;chapix,9600,/fortnite/Ritz;/fortnite/Crue;/fortnite/Beehive;/fortnite/Chapix,,,,,,,,,,,
13,k1nzеll;Mitr0;Falconly;crr,9600,/fortnite/K1nzell;/fortnite/Mitr0;/fortnite/Falconly;/fortnite/Crr,,,,,,,,,,,
14,Fey;Freq;Dyrvig;Hanckee,9600,/fortnite/Fey;/fortnite/Freq;/fortnite/Dyrvig;/fortnite/Hanckee,,,,,,,,,,,
15,Zino;itemm;Kinstaar;nyhrox,9600,/fortnite/Zino;/fortnite/Itemm;/fortnite/Kinstaar;/fortnite/Nyhrox,,,,,,,,,,,
16,MOTOR;Mexe;smeef;Verox,9600,/fortnite/MOTOR;/fortnite/Mexe;/fortnite/Smeef;/fortnite/Verox,,,,,,,,,,,
17,Wraxx;Huty;S1dney;Minny,9600,/fortnite/Wraxx;/fortnite/Huty;/fortnite/S1dney;/fortnite/Minny,,,,,,,,,,,
18,Kyzen;Stig;Clement;Blacky,9600,/fortnite/Kyzen;/fortnite/Stig;/fortnite/Clement;/fortnite/Blacky,,,,,,,,,,,
19,Jamside;fwexY;letw1k3;Domentos,9600,/fortnite/Jamside;/fortnite/FwexY;/fortnite/Letw1k3;/fortnite/Domentos,,,,,,,,,,,
20,Kiryache32;Stormyrite;Siberiajkee;Putrick,9600,/fortnite/Kiryache32;/fortnite/Stormyrite;/fortnite/Siberiajkee;/fortnite/Putrick,,,,,,,,,,,
21,Hoppy;Snayzy;Ketzon;xsweeze,9600,/fortnite/Hoppy;/fortnite/Snayzy;/fortnite/Ketzon;/fortnite/Xsweeze,,,,,,,,,,,
22,MAGL;EMXXRR;DMSIK;Viper,9600,/fortnite/MAGL;/fortnite/EMXXRR;/fortnite/DMSIK;/fortnite/Viper,,,,,,,,,,,
23,Flowdi;SliX;Aistimus;Viallinen,9600,/fortnite/Flowdi;/fortnite/SliX;/fortnite/Aistimus;/fortnite/Viallinen,,,,,,,,,,,
24,Perikle;Joey Jenner;PeaK;Louis,9600,/fortnite/Perikle;/fortnite/Joey_Jenner;/fortnite/PeaK;/fortnite/Louis,,,,,,,,,,,
