Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Sane;nomfu;Pancake;Mev,43500,/fortnite/Sane;/fortnite/Nomfu;/fortnite/Pancake;/fortnite/Mev,ME,Squads,25,25,128100,Online,Middle East,,2019-12-08,2019-12-08,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_1/Grand_Finals/Middle_East
2,Jawad;Broken;iExon;DaddyFaisal,21000,/fortnite/Jawad;/fortnite/Broken;/fortnite/IExon;/fortnite/DaddyFaisal,,,,,,,,,,,
3,Snowvaks;Souriano;Unit;Brook,12000,/fortnite/Snowvaks;/fortnite/Souriano;/fortnite/Unit;/fortnite/Brook,,,,,,,,,,,
4,I4xPRO;Rex;ToRmen;Dexefite,9000,/fortnite/I4xPRO;/fortnite/Rex;/fortnite/ToRmen;/fortnite/Dexefite,,,,,,,,,,,
5,Jiren;Obito;SINLORD;Ranger,7500,/fortnite/Jiren;/fortnite/Obito;/fortnite/SINLORD;/fortnite/Ranger_(Indian_player),,,,,,,,,,,
6,Kinji;Moon;Spirit;Salvo,6000,/fortnite/Kinji;/fortnite/Moon;/fortnite/Spirit;/fortnite/Salvo_(Singaporean_player),,,,,,,,,,,
7,Mjood;Sul;Habiebsh;OutLaw,4500,/fortnite/Mjood;/fortnite/Sul;/fortnite/Habiebsh;/fortnite/OutLaw,,,,,,,,,,,
8,C4rL;LeziX;Raed;Snowyka,3000,/fortnite/C4rL;/fortnite/LeziX;/fortnite/Raed;/fortnite/Snowyka,,,,,,,,,,,
9,HBN;KBR;K9;KJS,2400,/fortnite/HBN;/fortnite/KBR_(Qatari_player);/fortnite/K9;/fortnite/KJS,,,,,,,,,,,
10,jigsocw;Nong9;kimmy1;playerone,1200,/fortnite/Jigsocw;/fortnite/Nong9;/fortnite/Kimmy1;/fortnite/Playerone,,,,,,,,,,,
11,RisK;H.man;7MOOD;Zeeyadx,1200,/fortnite/RisK;/fortnite/H.man;/fortnite/7Mood;/fortnite/Zeeyadx,,,,,,,,,,,
12,saud4545;AzM;DrFx;ABUFAL7,1200,/fortnite/Saud4545;/fortnite/AzM;/fortnite/DrFx;/fortnite/AbuFal7,,,,,,,,,,,
13,Adapter;Hero;KaKaRoT;Obeed,1200,/fortnite/Adapter;/fortnite/Hero;/fortnite/KaKaRoT;/fortnite/Obeed,,,,,,,,,,,
14,Demon x;chancellor;Pride;CYX_S,1200,/fortnite/Demon_x;/fortnite/Chancellor;/fortnite/Pride;/fortnite/CYX_S,,,,,,,,,,,
15,CHozay;Rapit;Tuna;P5EK,1200,/fortnite/CHozay;/fortnite/Rapit;/fortnite/Tuna;/fortnite/P5EK,,,,,,,,,,,
16,Invoke;Wisa;Kimmy;Galassia,1200,/fortnite/Invoke;/fortnite/Wisa;/fortnite/Kimmy;/fortnite/Galassia,,,,,,,,,,,
17,Spy;vagnaR;Kinqver;Tooke,1200,/fortnite/Spy;/fortnite/VagnaR;/fortnite/Kinqver;/fortnite/Tooke,,,,,,,,,,,
18,AgPro;3DWANI;LuBx;1Pompo,1200,/fortnite/AgPro;/fortnite/3DWANI;/fortnite/LuBx;/fortnite/1Pompo,,,,,,,,,,,
19,Jackz;craqqem;FoxU;Friction,1200,/fortnite/Jackz;/fortnite/Hunter_(Vietnamese_player);/fortnite/FoxU;/fortnite/Prime,,,,,,,,,,,
20,AdaM;WH1TE;Cigol;Zuity,1200,/fortnite/AdaM;/fortnite/WH1TE;/fortnite/Cigol;/fortnite/Zuity,,,,,,,,,,,
21,17_JD;roushdi10;jorjez1g;Simar,1200,/fortnite/17_JD;/fortnite/Roushdi10;/fortnite/Jorjez1g;/fortnite/Simar,,,,,,,,,,,
22,Syaz;NeLa;Howl;Cyanite,1200,/fortnite/Syaz;/fortnite/NeLa;/fortnite/Howl;/fortnite/Cyanite,,,,,,,,,,,
23,fdoz;Sickerz;NetloV;Frenzy,1200,/fortnite/Fdoz;/fortnite/Sickerz;/fortnite/NetloV;/fortnite/Frenzy,,,,,,,,,,,
24,Sknonooo;Notorious;Fasky;A7SH,1200,/fortnite/Sknonooo;/fortnite/Notorious;/fortnite/Fasky;/fortnite/A7SH,,,,,,,,,,,
25,WhiteBird;Dev;Kidfalcon;Clown,1200,/fortnite/WhiteBird;/fortnite/Dev;/fortnite/Kidfalcon;/fortnite/Clown_(Indian_player),,,,,,,,,,,
