Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Unknown;KEZ;Ronaldo;Avery,187500,/fortnite/Unknown;/fortnite/KEZ;/fortnite/Ronaldo_(NAE_player);/fortnite/Avery,NAE,Squads,25,24,2019-12-08,2019-12-08,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_1/Grand_Finals/North_America_East
2,ZexRow;yung calculator;Vinny1x;MackWood,75000,/fortnite/ZexRow;/fortnite/Yung_calculator;/fortnite/Vinny1x;/fortnite/MackWood,,,,,,,
3,Megga;Bizzle;Eclipsae;Dubs,60000,/fortnite/Megga;/fortnite/Bizzle;/fortnite/Eclipsae;/fortnite/Dubs,,,,,,,
4,Commandment;Zayt;HighSky;Saf,45000,/fortnite/Commandment;/fortnite/Zayt;/fortnite/HighSky;/fortnite/Saf,,,,,,,
5,Nittle;Mikey;Posick;smqcked,37500,/fortnite/Nittle;/fortnite/Mikey;/fortnite/Posick;/fortnite/Smqcked,,,,,,,
6,CizLucky;72hrs;Chap;Vivid,30000,/fortnite/CizLucky;/fortnite/72hrs;/fortnite/Chap;/fortnite/Vivid,,,,,,,
7,Khanada;cloakzy;Fiber;Tfue,22500,/fortnite/Khanada;/fortnite/Cloakzy;/fortnite/Fiber;/fortnite/Tfue,,,,,,,
8,Funk;Nate Hill;Ninja;Reverse2k,15000,/fortnite/Funk;/fortnite/Nate_Hill;/fortnite/Ninja;/fortnite/Reverse2k,,,,,,,
9,Punisher;Jacobaqi;Gage;Tossily,12000,/fortnite/Punisher;/fortnite/Jacobaqi;/fortnite/Gage;/fortnite/Tossily,,,,,,,
10,Ando;coop;JeRM;Steanzz,6000,/fortnite/Ando;/fortnite/Coop;/fortnite/JeRM;/fortnite/Steanzz,,,,,,,
11,Arab;Inspyre;Cazz;Agholor,6000,/fortnite/Arab;/fortnite/Inspyre;/fortnite/Cazz;/fortnite/Agholor,,,,,,,
12,Bini;Diggy;nanolite;Shaedess,6000,/fortnite/Bini;/fortnite/Diggy;/fortnite/Nanolite;/fortnite/Shaedess,,,,,,,
13,Kreo;Zyfa;Cloud;Keys,6000,/fortnite/Kreo;/fortnite/Zyfa;/fortnite/Cloud;/fortnite/Keys,,,,,,,
14,Jerids;Furious;Osp;Vexzcy,6000,/fortnite/Jerids;/fortnite/Furious;/fortnite/Osp;/fortnite/Vexzcy,,,,,,,
15,Eeasu;Asylum;Snake;zJon,6000,/fortnite/Eeasu;/fortnite/Asylum;/fortnite/Snake;/fortnite/ZJon,,,,,,,
16,Htag;potg;n3moxd;Mercy,6000,/fortnite/Htag;/fortnite/Potg;/fortnite/N3moxd;/fortnite/Mercy,,,,,,,
17,Hajie;Ace1xx;Problem;Zimeo,6000,/fortnite/Hajie;/fortnite/Ace1xx;/fortnite/Problem;/fortnite/Zimeo,,,,,,,
18,Clix;blakeps;Crimz;Spades,6000,/fortnite/Clix;/fortnite/Blakeps;/fortnite/Crimz;/fortnite/Spades,,,,,,,
19,Knight;Perplexii;HazThaGreat;Predator,6000,/fortnite/Knight;/fortnite/Perplexii;/fortnite/HazThaGreat;/fortnite/Predator,,,,,,,
20,Jamper;Voil;TeeJay;Vyx,6000,/fortnite/Jamper;/fortnite/Voil;/fortnite/TeeJay;/fortnite/Vyx,,,,,,,
21,thwifo;Bugha;clarityG;Stretch,6000,/fortnite/Thwifo;/fortnite/Bugha;/fortnite/ClarityG;/fortnite/Stretch,,,,,,,
22,lyejax;Adonis;Spud Lite;Trunks,6000,/fortnite/Lyejax;/fortnite/Adonis;/fortnite/Spud_Lite;/fortnite/Trunks,,,,,,,
23,Gandhi;roqz;frat;Tezza,6000,/fortnite/Gandhi;/fortnite/Roqz;/fortnite/Frat;/fortnite/Tezza,,,,,,,
24,Statsy;Goosh;Nine Brees;Strobe,6000,/fortnite/Statsy;/fortnite/Goosh;/fortnite/Nine_Brees;/fortnite/Strobe,,,,,,,
