Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Sogys;Kyzui;Domo;Vicaros,75000,/fortnite/Sogys;/fortnite/Kyzui;/fortnite/Domo;/fortnite/Vicaros,NAW,Squads,25,24,2019-12-08,2019-12-08,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_1/Grand_Finals/North_America_West
2,4DRStorm;maken;Frapai;Thomuss,30000,/fortnite/4DRStorm;/fortnite/Maken;/fortnite/Frapai;/fortnite/Thomuss,,,,,,,
3,rehx;Cented;EpikWhale;Edgey,24000,/fortnite/Rehx;/fortnite/Cented;/fortnite/EpikWhale;/fortnite/Edgey,,,,,,,
4,Dopi;Peace;Dabzi;Herrions,18000,/fortnite/Dopi;/fortnite/Peace;/fortnite/Dabzi;/fortnite/Herrions,,,,,,,
5,byelies;spideyy;HaanzeR;prodigy,15000,/fortnite/Byelies;/fortnite/Spideyy;/fortnite/HaanzeR;/fortnite/Prodigy_(NA_player),,,,,,,
6,little;Leno;parm;Jay,12000,/fortnite/Little;/fortnite/Leno;/fortnite/Parm;/fortnite/Jay,,,,,,,
7,Snow;Meltze;Barl;andrew,9000,/fortnite/Snow;/fortnite/Meltze;/fortnite/Barl;/fortnite/Andrew,,,,,,,
8,Triggy;Icy;Vayne;Harmful,6000,/fortnite/Triggy;/fortnite/Icy;/fortnite/Vayne;/fortnite/Harmful,,,,,,,
9,lmao;Mony;TiGG;toff,4800,/fortnite/Lmao;/fortnite/Mony;/fortnite/TiGG;/fortnite/Toff,,,,,,,
10,slick;Litzinio;Vinny;Reguletor,2400,/fortnite/Slick;/fortnite/Litzinio;/fortnite/Vinny;/fortnite/Reguletor,,,,,,,
11,blly;psalm;Vent;Pash,2400,/fortnite/blly;/fortnite/Psalm;/fortnite/Vent;/fortnite/Pash,,,,,,,
12,Arkhram;Falconer;Symetrical;Sean,2400,/fortnite/Arkhram;/fortnite/Falconer;/fortnite/Symetrical;/fortnite/Sean,,,,,,,
13,Jaomock;Snirot;JDW;Zoommba,2400,/fortnite/Jaomock;/fortnite/Snirot;/fortnite/JDW;/fortnite/Zoommba,,,,,,,
14,Wood;favs;Temple;Powur,2400,/fortnite/Wood;/fortnite/Favs;/fortnite/Temple;/fortnite/Powur,,,,,,,
15,Slaya;Zehlo;Twiko;MSE,2400,/fortnite/Slaya_(NAW_player);/fortnite/Zehlo;/fortnite/Twiko;/fortnite/MSE,,,,,,,
16,Walla;Aaron;cortex;Maximoe,2400,/fortnite/Walla;/fortnite/Aaron_(NAW_player);/fortnite/Cortex;/fortnite/Maximoe,,,,,,,
17,ProdigyAces;Gunfly;Viszlas;Wheels,2400,/fortnite/ProdigyAces;/fortnite/Gunfly;/fortnite/Viszlas;/fortnite/Wheels,,,,,,,
18,nmgreen;Boppin;Skate;frostyZK,2400,/fortnite/Nmgreen;/fortnite/Boppin;/fortnite/Skate;/fortnite/FrostyZK,,,,,,,
19,Kix;Garrett;Zastruh;Legend,2400,/fortnite/Kix;/fortnite/Garrett;/fortnite/Zastruh;/fortnite/Legend,,,,,,,
20,Beauqt;Syphx;yJacob;Kold,2400,/fortnite/Beauqt;/fortnite/Syphx;/fortnite/yJacob;/fortnite/Kold,,,,,,,
21,Closr;Clyfen;Tacozz1x;Zizrow,2400,/fortnite/Closr;/fortnite/Clyfen;/fortnite/Tacozz1x;/fortnite/Zizrow,,,,,,,
22,SirDimetrious;Vide;Rift;Spicy,2400,/fortnite/SirDimetrious;/fortnite/Vide;/fortnite/Rift;/fortnite/Spicy,,,,,,,
23,Nach;ThaiTanks;Sake;Zoluc,2400,/fortnite/Nach;/fortnite/ThaiTanks;/fortnite/Sake;/fortnite/Zoluc,,,,,,,
24,MaxTL;Xycik;AlexWEARY;Brocori,2400,/fortnite/MaxTL;/fortnite/Xycik;/fortnite/AlexWEARY;/fortnite/Brocori,,,,,,,
