Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Jordan;Jesse;volx;Gheez,43500,/fortnite/Jordan;/fortnite/Jesse;/fortnite/Volx;/fortnite/Gheez,OCE,Squads,25,25,128100,Online,Oceania,,2019-12-08,2019-12-08,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_1/Grand_Finals/Oceania
2,Jynx;mrfreshasian;Rel;Link,21000,/fortnite/Jynx;/fortnite/Mrfreshasian;/fortnite/Rel;/fortnite/Link,,,,,,,,,,,
3,Gooboz;sync;slaya;worthy,12000,/fortnite/Gooboz;/fortnite/Sync;/fortnite/Slaya;/fortnite/Worthy,,,,,,,,,,,
4,zoreh;Forbes;Jahlyn;parpy,9000,/fortnite/Zoreh;/fortnite/Forbes;/fortnite/Jahlyn;/fortnite/Parpy,,,,,,,,,,,
5,Quann;Ronin;Goatt;Devour,7500,/fortnite/Quann;/fortnite/Ronin_(OCE_player);/fortnite/Goatt;/fortnite/Devour,,,,,,,,,,,
6,Caryion;kquid;Eshz;Spraz,6000,/fortnite/Caryion;/fortnite/Kquid;/fortnite/Eshz;/fortnite/Spraz,,,,,,,,,,,
7,serpennt;Hype;alecc;Colt,4500,/fortnite/Serpennt;/fortnite/Hype;/fortnite/Alecc;/fortnite/Colt,,,,,,,,,,,
8,RepulseGod;Price;Trapped;Squeakz,3000,/fortnite/RepulseGod;/fortnite/Price;/fortnite/Trapped;/fortnite/Squeakz,,,,,,,,,,,
9,Lupius;Ozean;Taken;Angas,2400,/fortnite/Lupius;/fortnite/Ozean;/fortnite/Taken;/fortnite/Angas,,,,,,,,,,,
10,VortexM;Jace;Kezzaa;looter,1200,/fortnite/VortexM;/fortnite/Jace;/fortnite/Kezzaa;/fortnite/Looter,,,,,,,,,,,
11,Sorif;Raptah;Will;Tyraxe,1200,/fortnite/Sorif;/fortnite/Raptah;/fortnite/Will;/fortnite/Tyraxe,,,,,,,,,,,
12,Nunker;Leaveme;Aspec;Alabi,1200,/fortnite/Nunker;/fortnite/Leaveme;/fortnite/Aspec;/fortnite/Alabi,,,,,,,,,,,
13,CoverH;Twizz;Westy;SpeedyND,1200,/fortnite/CoverH;/fortnite/Twizz;/fortnite/Westy;/fortnite/SpeedyND,,,,,,,,,,,
14,Desire;sozmann;Lucid;Jax,1200,/fortnite/Desire;/fortnite/Sozman;/fortnite/Lucid;/fortnite/Jax,,,,,,,,,,,
15,Plight;Braith;jaqkartah;GloriousMop,1200,/fortnite/Plight;/fortnite/Braith;/fortnite/Jaqkartah;/fortnite/GloriousMop,,,,,,,,,,,
16,Trimmers;PhluxZy;Jambi;Undeys,1200,/fortnite/Trimmers;/fortnite/PhluxZy;/fortnite/Jambi;/fortnite/Undeys,,,,,,,,,,,
17,Valaxies;Pumpkin;orlence;Keith,1200,/fortnite/Valaxies;/fortnite/Pumpkin;/fortnite/Orlence;/fortnite/Keith,,,,,,,,,,,
18,Bola;Breso;Osiris;Dylan,1200,/fortnite/Bola;/fortnite/Breso;/fortnite/Osiris;/fortnite/Dylan,,,,,,,,,,,
19,Criser;minkin;Hillo;Gancho,1200,/fortnite/Criser;/fortnite/Minkin;/fortnite/Hillo;/fortnite/Gancho,,,,,,,,,,,
20,Javery;Tsunami;Pace;Caleb,1200,/fortnite/Javery;/fortnite/Tsunami;/fortnite/Pace;/fortnite/Caleb_(OCE_player),,,,,,,,,,,
21,tired;Lapex;Natanyo;tzuyu,1200,/fortnite/Tired;/fortnite/Lapex;/fortnite/Natanyo;/fortnite/Tzuyu_(Australian_player),,,,,,,,,,,
22,Box;PLPE DJ;Trixy;VerySorrey,1200,/fortnite/Box_(OCE_player_2);/fortnite/PLPE_DJ;/fortnite/Trixy;/fortnite/VerySorrey,,,,,,,,,,,
23,KyZa;Predepression;Dataim;Doolesworth,1200,/fortnite/KyZa;/fortnite/Predepression;/fortnite/Dataim;/fortnite/Doolesworth,,,,,,,,,,,
24,Spag;Peak;English;Movrickz,1200,/fortnite/Spag;/fortnite/Peak;/fortnite/English;/fortnite/Movrickz,,,,,,,,,,,
25,radius;Jake;Psyper;Samboo,1200,/fortnite/Radius;/fortnite/Jake;/fortnite/Psyper;/fortnite/Samboo,,,,,,,,,,,
