Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Andilex;nayte,70000,/fortnite/Andilex;/fortnite/Nayte,EU,Duos,50,48,524000,Online,Europe,,2020-04-19,2020-04-19,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_2/Grand_Finals/Europe
2,Queasy;TruleX,60000,/fortnite/Queasy;/fortnite/TruleX,,,,,,,,,,,
3,Rakso;artor,55000,/fortnite/Rakso;/fortnite/Artor,,,,,,,,,,,
4,Stompy;aqua,45000,/fortnite/Stompy;/fortnite/Aqua,,,,,,,,,,,
5,Kubx;Kami,40000,/fortnite/Kubx;/fortnite/Kami,,,,,,,,,,,
6,Mexe;Verox,30000,/fortnite/Mexe;/fortnite/Verox,,,,,,,,,,,
7,Kiryache32;letw1k3,26000,/fortnite/Kiryache32;/fortnite/Letw1k3,,,,,,,,,,,
8,Anas;IboooHai,22000,/fortnite/Anas;/fortnite/IboooHai,,,,,,,,,,,
9,Kyzen;Clement,18000,/fortnite/Kyzen;/fortnite/Clement,,,,,,,,,,,
10,rezon ay;Ditrxx,14000,/fortnite/Rezon_ay;/fortnite/Ditrxx,,,,,,,,,,,
11,Dokko;NemZ,7000,/fortnite/Dokko;/fortnite/NemZ,,,,,,,,,,,
12,IDrop;MrSavage,7000,/fortnite/IDrop;/fortnite/MrSavage,,,,,,,,,,,
13,znappy;wakie,7000,/fortnite/Znappy;/fortnite/Wakie,,,,,,,,,,,
14,Primzhy;Virsuh,7000,/fortnite/Primzhy;/fortnite/Virsuh,,,,,,,,,,,
15,Hardfind;AstroSMZ,7000,/fortnite/Hardfind;/fortnite/AstroSMZ,,,,,,,,,,,
16,Stormyrite;Fury Legendary,4000,/fortnite/Stormyrite;/fortnite/Fury_Legendary,,,,,,,,,,,
17,Mаеstго;Styler,4000,/fortnite/Maestro;/fortnite/Styler,,,,,,,,,,,
18,Klusia;Th0masHD,4000,/fortnite/Klusia;/fortnite/Th0masHD,,,,,,,,,,,
19,Refsgaard;Skram,4000,/fortnite/Refsgaard;/fortnite/Skram,,,,,,,,,,,
20,Fastroki;Kylie,4000,/fortnite/Fastroki;/fortnite/Kylie,,,,,,,,,,,
21,Joey Jenner;Raze,4000,/fortnite/Joey_Jenner;/fortnite/Raze,,,,,,,,,,,
22,Noward;xsweeze,4000,/fortnite/Noward;/fortnite/Xsweeze,,,,,,,,,,,
23,Snagged;steelix,4000,/fortnite/Snagged;/fortnite/Steelix,,,,,,,,,,,
24,Fredy;heatzy,4000,/fortnite/Fredy;/fortnite/Heatzy,,,,,,,,,,,
25,Swaggi;kejseR,4000,/fortnite/Swaggi;/fortnite/Kejser,,,,,,,,,,,
26,Kpzet;Fex,3000,/fortnite/Kpzet;/fortnite/Fex,,,,,,,,,,,
27,Wolfiez;LeTsHe,3000,/fortnite/Wolfiez;/fortnite/LeTsHe,,,,,,,,,,,
28,Keziix;Yagsou,3000,/fortnite/Keziix;/fortnite/Yagsou,,,,,,,,,,,
29,saevid;scolleh,3000,/fortnite/Saevid;/fortnite/Scolleh,,,,,,,,,,,
30,Siberiajkee;Putrick,3000,/fortnite/Siberiajkee;/fortnite/Putrick,,,,,,,,,,,
31,Reyed;WaiZ,3000,/fortnite/Reyed;/fortnite/WaiZ,,,,,,,,,,,
32,Jakei;Louis,3000,/fortnite/Jakei;/fortnite/Louis,,,,,,,,,,,
33,JannisZ;TaySon,3000,/fortnite/JannisZ;/fortnite/TaySon,,,,,,,,,,,
34,nyhrox;BadSniper,3000,/fortnite/Nyhrox;/fortnite/BadSniper,,,,,,,,,,,
35,qvado;Toose,3000,/fortnite/Qvado;/fortnite/Toose,,,,,,,,,,,
36,Kartun;Аrdit,3000,/fortnite/Kartun;/fortnite/Ardit,,,,,,,,,,,
37,TriZoX;Smudge,3000,/fortnite/TriZoX;/fortnite/Smudge,,,,,,,,,,,
38,Apen;Axces,3000,/fortnite/Apen;/fortnite/Axces,,,,,,,,,,,
39,Tackyy;Zebre,3000,/fortnite/Tackyy;/fortnite/Zebre,,,,,,,,,,,
40,Lareez;BELAEU,3000,/fortnite/Lareez;/fortnite/BELAEU,,,,,,,,,,,
41,Mitr0;crr,3000,/fortnite/Mitr0;/fortnite/Crr,,,,,,,,,,,
42,LeoJayT;joshh,3000,/fortnite/LeoJayT;/fortnite/Joshh,,,,,,,,,,,
43,Kiujy;SrStrikerr,3000,/fortnite/Kiujy;/fortnite/SrStrikerr,,,,,,,,,,,
44,MAGL;EMXXRR,3000,/fortnite/MAGL;/fortnite/EMXXRR,,,,,,,,,,,
45,Edison;Swapz,3000,/fortnite/Edison;/fortnite/Swapz,,,,,,,,,,,
46,elokratz;Trippernn,3000,/fortnite/Elokratz;/fortnite/Trippernn,,,,,,,,,,,
47,Drobbаn;bobo,3000,/fortnite/Drobb%D0%B0n;/fortnite/Bobo,,,,,,,,,,,
48,Icetzy;MOSh,3000,/fortnite/Icetzy;/fortnite/MOSh,,,,,,,,,,,
