Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,souriano;Unit,10000,/fortnite/Souriano;/fortnite/Unit,ME,Duos,50,50,2020-04-18,2020-04-18,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_2/Grand_Finals/Middle_East
2,Doom;Cursive,9000,/fortnite/Doom;/fortnite/Cursive,,,,,,,
3,Νm7;Rv,8000,/fortnite/NM7;/fortnite/Rv,,,,,,,
4,Rapit;P5EK,7000,/fortnite/Rapit;/fortnite/P5EK,,,,,,,
5,Saud;Viiroos,6000,/fortnite/Saud;/fortnite/Viiroos,,,,,,,
6,QnDx;Njby,5000,/fortnite/QnDx;/fortnite/Njby,,,,,,,
7,AB;7Mood,4000,/fortnite/AB;/fortnite/7Mood,,,,,,,
8,Nasir;GntL,3000,/fortnite/Nasir;/fortnite/GntL,,,,,,,
9,Hero;Hydro,2300,/fortnite/Hero;/fortnite/Hydro,,,,,,,
10,Mage;DaddyFaisal,1700,/fortnite/Mage;/fortnite/DaddyFaisal,,,,,,,
11,Soul;Msg,1000,/fortnite/Soul_(ME_player);/fortnite/Msg,,,,,,,
12,Anotamy;Xzist,1000,/fortnite/Anotamy;/fortnite/Xzist,,,,,,,
13,FLK;ZORO,1000,/fortnite/FLK;/fortnite/ZORO,,,,,,,
14,HeiF;7man,1000,/fortnite/HeiF;/fortnite/7man,,,,,,,
15,Wolf;SFA7,1000,/fortnite/Wolf_(ME_player);/fortnite/SFA7,,,,,,,
16,Steady;Sami,650,/fortnite/Steady;/fortnite/Sami_(ME_player),,,,,,,
17,snowvaks;Brook,650,/fortnite/Snowvaks;/fortnite/Brook,,,,,,,
18,Meza;Fares,650,/fortnite/Meza;/fortnite/Fares,,,,,,,
19,Jawad;IExon,650,/fortnite/Jawad;/fortnite/IExon,,,,,,,
20,FHD;Yonx,650,/fortnite/FHD_(Fahad_Almutairi);/fortnite/Yonx,,,,,,,
21,Modisk;Kai,650,/fortnite/Modisk;/fortnite/Kai,,,,,,,
22,Kinji;Esca,650,/fortnite/Kinji;/fortnite/Esca,,,,,,,
23,Raed;Snowyka,650,/fortnite/Raed;/fortnite/Snowyka,,,,,,,
24,Lucci;RoCK,650,/fortnite/Lucci_(ME_player);/fortnite/RoCK,,,,,,,
25,Pаncakе;Mev,650,/fortnite/P%D0%B0ncak%D0%B5;/fortnite/Mev,,,,,,,
26,Spy;KiritoKun,600,/fortnite/Spy;/fortnite/KiritoKun,,,,,,,
27,Aboo6y;Broken,500,/fortnite/Aboo6y;/fortnite/Broken,,,,,,,
28,Ady;Hawk,500,/fortnite/ADY;/fortnite/Hawk,,,,,,,
29,C4rL;LeziX,500,/fortnite/C4rL;/fortnite/LeziX,,,,,,,
30,Kazz;fdoz,500,/fortnite/Kazz;/fortnite/Fdoz,,,,,,,
31,Zeeom;MrDom,500,/fortnite/Zeeom;/fortnite/MrDom,,,,,,,
32,Quid;Oneshot,500,/fortnite/Quid;/fortnite/Oneshot,,,,,,,
33,Fw;CYX S,500,/fortnite/Fw;/fortnite/CYX_S,,,,,,,
34,3z;I4xPRO,500,/fortnite/3z;/fortnite/I4xPRO,,,,,,,
35,vagnaR;Kinqver,500,/fortnite/VagnaR;/fortnite/Kinqver,,,,,,,
36,Bomba;Vein,500,/fortnite/Bomba;/fortnite/Vein,,,,,,,
37,NeLa;Halo,500,/fortnite/NeLa;/fortnite/Halo,,,,,,,
38,Ion;Cyanite,500,/fortnite/Ion;/fortnite/Cyanite,,,,,,,
39,Dexefite;Tooke,500,/fortnite/Dexefite;/fortnite/Tooke,,,,,,,
40,killerbxy;Flamors,500,/fortnite/Killerbxy;/fortnite/Flamors,,,,,,,
41,Zfr1887;Akai76,500,/fortnite/Zfr1887;/fortnite/Akai76,,,,,,,
42,Evl;Fahad,500,/fortnite/Evl;/fortnite/Fahad,,,,,,,
43,LORDUID;Habiebsh,500,/fortnite/LORDUID;/fortnite/Habiebsh,,,,,,,
44,IReaper;LIQUID,500,/fortnite/IReaper;/fortnite/LIQUID,,,,,,,
45,Speedy;Krista,500,/fortnite/Speedy;/fortnite/Krista,,,,,,,
46,xJam;Hellonsteam,500,/fortnite/XJam;/fortnite/Hellonsteam,,,,,,,
47,nawaf;Klipper,500,/fortnite/Nawaf;/fortnite/Klipper,,,,,,,
48,Demon;Vanish,500,/fortnite/Demon_(Spanish_player);/fortnite/Vanish,,,,,,,
49,Xx731;A7mdo,500,/fortnite/Xx731;/fortnite/A7mdo,,,,,,,
50,LoFi;Zakariya,500,/fortnite/LoFi;/fortnite/Zakariya,,,,,,,
