Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Zayt;Saf,44000,/fortnite/Zayt;/fortnite/Saf,NAE,Duos,50,48,328000,Online,North America,,2020-04-19,2020-04-19,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_2/Grand_Finals/North_America_East
2,Megga;Dubs,37000,/fortnite/Megga;/fortnite/Dubs,,,,,,,,,,,
3,Knight;RogueShark,34000,/fortnite/Knight;/fortnite/RogueShark,,,,,,,,,,,
4,Av;Chap,28000,/fortnite/Av;/fortnite/Chap,,,,,,,,,,,
5,Bugha;Stretch,25000,/fortnite/Bugha;/fortnite/Stretch,,,,,,,,,,,
6,Jamper;paper,18000,/fortnite/Jamper;/fortnite/Paper,,,,,,,,,,,
7,HazThaGreat;Avery,16000,/fortnite/HazThaGreat;/fortnite/Avery,,,,,,,,,,,
8,blakeps;Assault,13500,/fortnite/Blakeps;/fortnite/Assault,,,,,,,,,,,
9,Cented;Edgey,11300,/fortnite/Cented;/fortnite/Edgey,,,,,,,,,,,
10,Acorn;Jahq,8700,/fortnite/Acorn;/fortnite/Jahq,,,,,,,,,,,
11,Klass;Tristan Hipp,4300,/fortnite/Klass;/fortnite/Tristan_Hipp,,,,,,,,,,,
12,Prien;SpiroK,4300,/fortnite/Prien;/fortnite/SpiroK,,,,,,,,,,,
13,Strobe;Goosh,4300,/fortnite/Strobe;/fortnite/Goosh,,,,,,,,,,,
14,Voil;Vyx,4300,/fortnite/Voil;/fortnite/Vyx,,,,,,,,,,,
15,Vivid;nanolite,4300,/fortnite/Vivid;/fortnite/Nanolite,,,,,,,,,,,
16,Scoped;Tfue,2500,/fortnite/Scoped;/fortnite/Tfue,,,,,,,,,,,
17,CizLucky;LazarP,2500,/fortnite/CizLucky;/fortnite/LazarP,,,,,,,,,,,
18,Visxals;vrx,2500,/fortnite/Visxals;/fortnite/Vrx,,,,,,,,,,,
19,Clix;yung calculator,2500,/fortnite/Clix;/fortnite/Yung_calculator,,,,,,,,,,,
20,LDamienS;roqz,2500,/fortnite/LDamienS;/fortnite/Roqz,,,,,,,,,,,
21,Mikey;Grandmateets,2500,/fortnite/Mikey;/fortnite/Grandmateets,,,,,,,,,,,
22,Maseff;XXiF,2500,/fortnite/Maseff;/fortnite/XXiF,,,,,,,,,,,
23,clarityG;Elevate,2500,/fortnite/ClarityG;/fortnite/Elevate_(Canadian_Player),,,,,,,,,,,
24,Commandment;HighSky,2500,/fortnite/Commandment;/fortnite/HighSky,,,,,,,,,,,
25,TeeJay;Ferrrnando,2500,/fortnite/TeeJay;/fortnite/Ferrrnando,,,,,,,,,,,
26,Cazz;Crimz,2000,/fortnite/Cazz;/fortnite/Crimz,,,,,,,,,,,
27,skqttles;OriGinS,2000,/fortnite/Skqttles;/fortnite/OriGinS,,,,,,,,,,,
28,Kn1pher;snake,2000,/fortnite/Kn1pher;/fortnite/Snake,,,,,,,,,,,
29,Khanada;joey,2000,/fortnite/Khanada;/fortnite/Joey,,,,,,,,,,,
30,7eo;Gandhi,2000,/fortnite/7eo;/fortnite/Gandhi,,,,,,,,,,,
31,pgod;Alliege,2000,/fortnite/Pgod;/fortnite/Alliege,,,,,,,,,,,
32,Grazca;daxor,2000,/fortnite/Grazca;/fortnite/Daxor,,,,,,,,,,,
33,Poakz;Tragix,2000,/fortnite/Poakz;/fortnite/Tragix,,,,,,,,,,,
34,Vexifire;Metahs,2000,/fortnite/Vexifire;/fortnite/Metahs,,,,,,,,,,,
35,Thatoneguy;H4nssen,2000,/fortnite/Thatoneguy;/fortnite/H4nssen,,,,,,,,,,,
36,Unknown;Ronaldo,2000,/fortnite/Unknown;/fortnite/Ronaldo_(NAE_player),,,,,,,,,,,
37,Zum;Hoax,2000,/fortnite/Zum;/fortnite/Hoax,,,,,,,,,,,
38,Ved;XnB,2000,/fortnite/Ved;/fortnite/XnB,,,,,,,,,,,
39,npen;Hogman,2000,/fortnite/Npen;/fortnite/Hogman,,,,,,,,,,,
40,Lyricen;kolorful,2000,/fortnite/Lyricen;/fortnite/Kolorful,,,,,,,,,,,
41,Synez;Harsh,2000,/fortnite/Synez;/fortnite/CarsonC,,,,,,,,,,,
42,nosh;chaotic,2000,/fortnite/Nosh;/fortnite/Chaotic,,,,,,,,,,,
43,Legedien;Armond,2000,/fortnite/Legedien;/fortnite/Armond,,,,,,,,,,,
44,Thresh;BankTeller,2000,/fortnite/Thresh;/fortnite/BankTeller,,,,,,,,,,,
45,happed;staqi,2000,/fortnite/Happed;/fortnite/Staqi,,,,,,,,,,,
46,Dolbz;Soul,2000,/fortnite/Dolbz;/fortnite/Soul_(NAE_player),,,,,,,,,,,
47,Fatch;Nic,2000,/fortnite/Fatch;/fortnite/Nic,,,,,,,,,,,
48,Sid;Pans,2000,/fortnite/Sid;/fortnite/Pans,,,,,,,,,,,
