Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,rehx;EpikWhale,17500,/fortnite/Rehx;/fortnite/EpikWhale,NAW,Duos,50,48,132500,Online,North America,,2020-04-19,2020-04-19,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_2/Grand_Finals/North_America_West
2,baackup;CinxZ,15000,/fortnite/Baackup;/fortnite/CinxZ,,,,,,,,,,,
3,Arkhram;andrew,13800,/fortnite/Arkhram;/fortnite/Andrew,,,,,,,,,,,
4,reign;Wizz,11200,/fortnite/Reign;/fortnite/Wizz,,,,,,,,,,,
5,favs;Powur,10000,/fortnite/Favs;/fortnite/Powur,,,,,,,,,,,
6,Icy;Tavern,7500,/fortnite/Icy;/fortnite/Tavern,,,,,,,,,,,
7,Reet;Dog,6500,/fortnite/Reet;/fortnite/Dog,,,,,,,,,,,
8,Falconer;Riversan,5500,/fortnite/Falconer;/fortnite/Riversan,,,,,,,,,,,
9,Dopi;Kytrex,4500,/fortnite/Dopi;/fortnite/Kytrex,,,,,,,,,,,
10,Lxdesman;Howdy,3500,/fortnite/Lxdesman;/fortnite/Howdy,,,,,,,,,,,
11,Alexx;Lucas,1750,/fortnite/Alexx_(NA_player);/fortnite/Lucas,,,,,,,,,,,
12,Peace;Herrions,1750,/fortnite/Peace;/fortnite/Herrions,,,,,,,,,,,
13,RichHomieQuinn;Vinny,1750,/fortnite/RichHomieQuinn;/fortnite/Vinny,,,,,,,,,,,
14,Devious;Extinct,1750,/fortnite/Devious;/fortnite/Extinct,,,,,,,,,,,
15,Bumboy;4DRStorm,1750,/fortnite/Bumboy;/fortnite/4DRStorm,,,,,,,,,,,
16,Mony;toff,1000,/fortnite/Mony;/fortnite/Toff,,,,,,,,,,,
17,Snow;slim,1000,/fortnite/Snow;/fortnite/Slim,,,,,,,,,,,
18,Thomuss;wavyjacob,1000,/fortnite/Thomuss;/fortnite/Wavyjacob,,,,,,,,,,,
19,Golden;snacky,1000,/fortnite/Golden_(NAW_player);/fortnite/Snacky,,,,,,,,,,,
20,Kyzui;Domo,1000,/fortnite/Kyzui;/fortnite/Domo,,,,,,,,,,,
21,Pearl;Kloxic,1000,/fortnite/Pearl;/fortnite/Kloxic,,,,,,,,,,,
22,IcyFusion;ivide,1000,/fortnite/IcyFusion;/fortnite/Ivide,,,,,,,,,,,
23,Litzinio;Reguletor,1000,/fortnite/Litzinio;/fortnite/Reguletor,,,,,,,,,,,
24,Verty;Zesty,1000,/fortnite/Verty;/fortnite/Zesty,,,,,,,,,,,
25,spideyy;prodigy,1000,/fortnite/Spideyy;/fortnite/Prodigy_(NA_player),,,,,,,,,,,
26,Symetrical;Leno,750,/fortnite/Symetrical;/fortnite/Leno,,,,,,,,,,,
27,Defiable;Skillz eVe,750,/fortnite/Defiable;/fortnite/Skillz_eVe,,,,,,,,,,,
28,CozyOzzie;Ape,750,/fortnite/CozyOzzie;/fortnite/Ape,,,,,,,,,,,
29,Tidal;Hoop,750,/fortnite/Tidal;/fortnite/Hoop,,,,,,,,,,,
30,g0dku;Vayne,750,/fortnite/G0dku;/fortnite/Vayne,,,,,,,,,,,
31,Lush;Poet,750,/fortnite/Lush;/fortnite/Poet,,,,,,,,,,,
32,CZR;Riott,750,/fortnite/CZR;/fortnite/Riott,,,,,,,,,,,
33,Knives;Venor,750,/fortnite/Knives;/fortnite/Venor,,,,,,,,,,,
34,Stormic;Pigmento,750,/fortnite/Stormic;/fortnite/Pigmento,,,,,,,,,,,
35,Spectro;Brogster,750,/fortnite/Spectro;/fortnite/Brogster,,,,,,,,,,,
36,cortex;slimezey,750,/fortnite/Cortex;/fortnite/Slimezey,,,,,,,,,,,
37,Nedak;Swarm,750,/fortnite/Nedak;/fortnite/Swarm,,,,,,,,,,,
38,Voxie;zinqxz,750,/fortnite/Voxie;/fortnite/Zinqxz,,,,,,,,,,,
39,temple;samster,750,/fortnite/Temple;/fortnite/Samster,,,,,,,,,,,
40,YaTrick;Nanolo,750,/fortnite/YaTrick;/fortnite/Nanolo,,,,,,,,,,,
41,Jahter;yute,750,/fortnite/Jahter;/fortnite/Yute,,,,,,,,,,,
42,little;Jay,750,/fortnite/Little;/fortnite/Jay,,,,,,,,,,,
43,tikkles;Fruity,750,/fortnite/Tikkles;/fortnite/Fruity,,,,,,,,,,,
44,jayrosez;Skate,750,/fortnite/Jayrosez;/fortnite/Skate,,,,,,,,,,,
45,Minii;Surkapalot,750,/fortnite/Minii;/fortnite/Surkapalot,,,,,,,,,,,
46,Wood;Dabzi,750,/fortnite/Wood;/fortnite/Dabzi,,,,,,,,,,,
47,glowie;foreswear,750,/fortnite/Glowie;/fortnite/Foreswear,,,,,,,,,,,
48,Joqkr;Sihllable,750,/fortnite/Joqkr;/fortnite/Sihllable,,,,,,,,,,,
