Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,kquid;Jynx,10000,/fortnite/Kquid;/fortnite/Jynx,OCE,Duos,50,50,2020-04-19,2020-04-19,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_2/Grand_Finals/Oceania
2,Goeg;xalkerr,9000,/fortnite/Goeg;/fortnite/Xalkerr,,,,,,,
3,PhluxZy;raiku,8000,/fortnite/PhluxZy;/fortnite/Raiku,,,,,,,
4,alex;Tuii,7000,/fortnite/Alex;/fortnite/Tuii,,,,,,,
5,Jordan;Jesse,6000,/fortnite/Jordan;/fortnite/Jesse,,,,,,,
6,caryion;volx,5000,/fortnite/Caryion;/fortnite/Volx,,,,,,,
7,Gooboz;worthy,4000,/fortnite/Gooboz;/fortnite/Worthy,,,,,,,
8,Sorif;Psyper,3000,/fortnite/Sorif;/fortnite/Psyper,,,,,,,
9,RepulseGod;forbes,2300,/fortnite/RepulseGod;/fortnite/Forbes,,,,,,,
10,Leq;phyc0l,1700,/fortnite/Leq;/fortnite/Phyc0l,,,,,,,
11,sync;looter,1000,/fortnite/Sync;/fortnite/Looter,,,,,,,
12,zoreh;Gheez,1000,/fortnite/Zoreh;/fortnite/Gheez,,,,,,,
13,Slaya;Link,1000,/fortnite/Slaya;/fortnite/Link,,,,,,,
14,Will;Eshz,1000,/fortnite/Will;/fortnite/Eshz,,,,,,,
15,VortexM;Jace,1000,/fortnite/VortexM;/fortnite/Jace,,,,,,,
16,Bola;spraz,650,/fortnite/Bola;/fortnite/Spraz,,,,,,,
17,basil;swurl,650,/fortnite/Basil;/fortnite/Swurl_(Australian_player),,,,,,,
18,Scammed;crrimson,650,/fortnite/Scammed;/fortnite/Crrimson,,,,,,,
19,Quann;Ronin,650,/fortnite/Quann;/fortnite/Ronin_(OCE_player),,,,,,,
20,Asfit;straafe,650,/fortnite/Asfit;/fortnite/Straafe,,,,,,,
21,Valaxies;Pumpkin,650,/fortnite/Valaxies;/fortnite/Pumpkin,,,,,,,
22,javery;Zanz,650,/fortnite/Javery;/fortnite/Zanz,,,,,,,
23,radius;Lachlan,650,/fortnite/Radius;/fortnite/Lachlan,,,,,,,
24,Bridge;Eggy,650,/fortnite/Bridge;/fortnite/Eggy,,,,,,,
25,Criser;Jake,650,/fortnite/Criser;/fortnite/Jake,,,,,,,
26,Zarby;Trapped,500,/fortnite/Zarby;/fortnite/Trapped,,,,,,,
27,Tired;JhK,500,/fortnite/Tired;/fortnite/JhK,,,,,,,
28,PLPE DJ;Marz,500,/fortnite/PLPE_DJ;/fortnite/Marz_(OCE_player),,,,,,,
29,mrfreshasian;Rel,500,/fortnite/Mrfreshasian;/fortnite/Rel,,,,,,,
30,Box;Trixy,500,/fortnite/Box_(OCE_player_2);/fortnite/Trixy,,,,,,,
31,Tyraxe;Squeakz,500,/fortnite/Tyraxe;/fortnite/Squeakz,,,,,,,
32,Breso;Dylan,500,/fortnite/Breso;/fortnite/Dylan,,,,,,,
33,Baffle;Saqo,500,/fortnite/Baffle;/fortnite/Saqo,,,,,,,
34,Bathan;Tamer,500,/fortnite/Bathan;/fortnite/Tamer,,,,,,,
35,zenqmok;Blayta,500,/fortnite/Zenqmok;/fortnite/Blayta,,,,,,,
36,Trimmers;Samboo,500,/fortnite/Trimmers;/fortnite/Samboo,,,,,,,
37,rivlee;Mammal,500,/fortnite/Rivlee;/fortnite/Mammal,,,,,,,
38,ThunderThighs7cc;Mo,500,/fortnite/ThunderThighs7cc;/fortnite/Mo,,,,,,,
39,centrickz;undeys,500,/fortnite/Centrickz;/fortnite/Undeys,,,,,,,
40,Leaveme;m1,500,/fortnite/Leaveme;/fortnite/M1,,,,,,,
41,Celqa;Ryun,500,/fortnite/Celqa;/fortnite/Ryun,,,,,,,
42,Wicked;Weeb,500,/fortnite/Wicked;/fortnite/Weeb,,,,,,,
43,Endless;Grav,500,/fortnite/Endless;/fortnite/Grav,,,,,,,
44,Chainz;Kayces,500,/fortnite/Chainz;/fortnite/Kayces,,,,,,,
45,Cat;Price,500,/fortnite/Cat;/fortnite/Price,,,,,,,
46,Mix;Danath,500,/fortnite/Mix;/fortnite/Danath,,,,,,,
47,Qeaxzy;Ume,500,/fortnite/Qeaxzy;/fortnite/Ume,,,,,,,
48,Thommas;8k,500,/fortnite/Thommas;/fortnite/8k,,,,,,,
49,alecc;Desire,500,/fortnite/Alecc;/fortnite/Desire,,,,,,,
50,ChapoFishy;Chimi,500,/fortnite/ChapoFishy;/fortnite/Chimi,,,,,,,
