Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Qjac,15000,/fortnite/Qjac,AS,Solos,100,98,2020-05-23,2020-05-24,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Invitational/Grand_Finals/Asia
2,Magu,8000,/fortnite/Magu,,,,,,,
3,WildHawk,7000,/fortnite/WildHawk,,,,,,,
4,Alice,6000,/fortnite/Alice,,,,,,,
5,Pina,5000,/fortnite/Pina,,,,,,,
6,miya,4000,/fortnite/Miya,,,,,,,
7,Clemens,3000,/fortnite/Clemens,,,,,,,
8,Ais,1850,/fortnite/Ais,,,,,,,
9,pannkasu,1300,/fortnite/Pannkasu,,,,,,,
10,Buyuriru,600,/fortnite/Buyuriru,,,,,,,
11,Merem,450,/fortnite/Merem,,,,,,,
12,raru,450,/fortnite/Raru,,,,,,,
13,KUREN,450,/fortnite/KUREN,,,,,,,
14,Zotax,450,/fortnite/Zotax,,,,,,,
15,Riffex,450,/fortnite/Riffex,,,,,,,
16,HIRO,400,/fortnite/HIRO,,,,,,,
17,Onigiri,400,/fortnite/Onigiri,,,,,,,
18,Bob,400,/fortnite/Bob,,,,,,,
19,Pote,400,/fortnite/Pote,,,,,,,
20,Kogane,400,/fortnite/Kogane,,,,,,,
21,Lettuce,350,/fortnite/Lettuce,,,,,,,
22,Ess,350,/fortnite/Ess,,,,,,,
23,fa1zzy,350,/fortnite/Fa1zzy,,,,,,,
24,Debs,350,/fortnite/Debs,,,,,,,
25,Arkrin,350,/fortnite/Arkrin,,,,,,,
26,Chipson,350,/fortnite/Chipson,,,,,,,
27,Rainy,350,/fortnite/Rainy,,,,,,,
28,Liamy,350,/fortnite/Liamy,,,,,,,
29,RizArt,350,/fortnite/RizArt,,,,,,,
30,Peterpan,350,/fortnite/Peterpan,,,,,,,
31,Bottodango,300,/fortnite/Bottodango,,,,,,,
32,henceforth,300,/fortnite/Henceforth,,,,,,,
33,Masaki,300,/fortnite/Masaki,,,,,,,
34,Ashiyu,300,/fortnite/Ashiyu,,,,,,,
35,Jozya,300,/fortnite/Jozya,,,,,,,
36,Ragis,300,/fortnite/Ragis,,,,,,,
37,Aim,300,/fortnite/Aim,,,,,,,
38,Hamuppi,300,/fortnite/Hamuppi,,,,,,,
39,NeNd,300,/fortnite/NeNd,,,,,,,
40,Maluuu,300,/fortnite/Maluuu,,,,,,,
41,Macyfishy,250,/fortnite/Macyfishy,,,,,,,
42,Fortik,250,/fortnite/FORTIK,,,,,,,
43,Lark,250,/fortnite/Lark,,,,,,,
