Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Frosty,40000,/fortnite/Frosty,BR,Solos,100,100,150000,Online,Brazil,,2020-05-23,2020-05-24,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Invitational/Grand_Finals/Brazil
2,Fishy,17500,/fortnite/Fishy,,,,,,,,,,,
3,Diamond,15000,/fortnite/Diamond,,,,,,,,,,,
4,Leleo,13500,/fortnite/Leleo,,,,,,,,,,,
5,KING,10500,/fortnite/KING,,,,,,,,,,,
6,Mojak,9000,/fortnite/Mojak,,,,,,,,,,,
7,Coca,7000,/fortnite/Coca,,,,,,,,,,,
8,Barella,5000,/fortnite/Barella,,,,,,,,,,,
9,Cadu,3250,/fortnite/Cadu,,,,,,,,,,,
10,Diguera,1500,/fortnite/Diguera,,,,,,,,,,,
11,Filipe,500,/fortnite/Filipe,,,,,,,,,,,
12,Tisora,500,/fortnite/Tisora,,,,,,,,,,,
13,Robot,500,/fortnite/Robot,,,,,,,,,,,
14,RustyK,500,/fortnite/RustyK,,,,,,,,,,,
15,Davi,500,/fortnite/Davi,,,,,,,,,,,
16,LORD,450,/fortnite/LORD,,,,,,,,,,,
17,Gabrielh99,450,/fortnite/Gabrielh99,,,,,,,,,,,
18,KALIFA,450,/fortnite/KALIFA,,,,,,,,,,,
19,H4wwk,450,/fortnite/H4wwk,,,,,,,,,,,
20,Sheco,450,/fortnite/Sheco,,,,,,,,,,,
21,Lorax,400,/fortnite/Lorax,,,,,,,,,,,
22,Mxrcio,400,/fortnite/Mxrcio,,,,,,,,,,,
23,Einsten,400,/fortnite/Einsten,,,,,,,,,,,
24,Escaracho,400,/fortnite/Escaracho,,,,,,,,,,,
25,xOwN,400,/fortnite/XOwN,,,,,,,,,,,
26,Thome,400,/fortnite/Thome,,,,,,,,,,,
27,KaykyGames,400,/fortnite/KaykyGames,,,,,,,,,,,
28,kurtz,400,/fortnite/Kurtz,,,,,,,,,,,
29,Gustyx,400,/fortnite/Gustyx,,,,,,,,,,,
30,Jpsk1ng,400,/fortnite/Jpsk1ng,,,,,,,,,,,
31,Fffakkz,350,/fortnite/Fffakkz,,,,,,,,,,,
32,T1no,350,/fortnite/T1no,,,,,,,,,,,
33,Facu,350,/fortnite/Facu,,,,,,,,,,,
34,Technoviking,350,/fortnite/Technoviking,,,,,,,,,,,
35,Suetam,350,/fortnite/Suetam,,,,,,,,,,,
36,Itrol,350,/fortnite/Itrol,,,,,,,,,,,
37,Kitoz,350,/fortnite/Kitoz,,,,,,,,,,,
38,Felipersa,350,/fortnite/Persa,,,,,,,,,,,
39,Lucca,350,/fortnite/Lucca,,,,,,,,,,,
40,Nahue,350,/fortnite/Nahue,,,,,,,,,,,
41,Juanzin,300,/fortnite/Juanzin,,,,,,,,,,,
42,LuLuzito,300,/fortnite/LuLuzito,,,,,,,,,,,
43,TEKO,300,/fortnite/TEKO,,,,,,,,,,,
44,Mhg,300,/fortnite/Mhg,,,,,,,,,,,
45,Fazer,300,/fortnite/Fazer,,,,,,,,,,,
46,Redlee,300,/fortnite/Redlee,,,,,,,,,,,
47,Histtory,300,/fortnite/Histtory,,,,,,,,,,,
48,Sugatt,300,/fortnite/Sugatt,,,,,,,,,,,
49,Vitinho,300,/fortnite/Vitinho,,,,,,,,,,,
50,drakoNz,300,/fortnite/DrakoNz,,,,,,,,,,,
51,HOWLING,250,/fortnite/HOWLING,,,,,,,,,,,
52,EdRoadToGlory,250,/fortnite/EdRoadToGlory,,,,,,,,,,,
53,Clipnode,250,/fortnite/Clipnode,,,,,,,,,,,
54,Keicox,250,/fortnite/Keicox,,,,,,,,,,,
55,Charlesc,250,/fortnite/Charlesc,,,,,,,,,,,
56,Guneves,250,/fortnite/Guneves,,,,,,,,,,,
57,Optical,250,/fortnite/Optical,,,,,,,,,,,
58,Frans,250,/fortnite/Frans,,,,,,,,,,,
59,Pulga,250,/fortnite/Pulga,,,,,,,,,,,
60,Gustavo,250,/fortnite/Gustavo,,,,,,,,,,,
61,K1nG,250,/fortnite/K1nG,,,,,,,,,,,
62,Ndp,250,/fortnite/Ndp,,,,,,,,,,,
63,Nicks,250,/fortnite/Nicks,,,,,,,,,,,
64,KBR,250,/fortnite/KBR,,,,,,,,,,,
65,Luco,250,/fortnite/Luco,,,,,,,,,,,
66,Seeyun,250,/fortnite/Seeyun,,,,,,,,,,,
67,bagu,250,/fortnite/Bagu,,,,,,,,,,,
68,Aphxz,250,/fortnite/Aphxz,,,,,,,,,,,
69,Collet,250,/fortnite/Collet,,,,,,,,,,,
70,Liimaa,250,/fortnite/Liimaa,,,,,,,,,,,
71,Scream,250,/fortnite/Scream,,,,,,,,,,,
72,Sabuga,250,/fortnite/Sabuga,,,,,,,,,,,
73,Scan,250,/fortnite/Scan,,,,,,,,,,,
74,Spitflow,250,/fortnite/Spitflow,,,,,,,,,,,
75,Opai,250,/fortnite/Opai,,,,,,,,,,,
76,Navars,250,/fortnite/Navars,,,,,,,,,,,
77,wisheydp,250,/fortnite/Wisheydp,,,,,,,,,,,
78,Anclarity,250,/fortnite/Anclarity,,,,,,,,,,,
79,Zepa,250,/fortnite/Zepa,,,,,,,,,,,
80,Pina,250,/fortnite/Pina_(Brazilian_player),,,,,,,,,,,
81,Tade,250,/fortnite/Tade,,,,,,,,,,,
82,Ovotz,250,/fortnite/Ovotz,,,,,,,,,,,
83,BrenoSalviano,250,/fortnite/BrenoSalviano,,,,,,,,,,,
84,S6nti,250,/fortnite/S6nti,,,,,,,,,,,
85,Lurker,250,/fortnite/Lurker,,,,,,,,,,,
86,VichiN,250,/fortnite/VichiN,,,,,,,,,,,
87,Franzez,250,/fortnite/Franzez,,,,,,,,,,,
88,Ar4n,250,/fortnite/Ar4n,,,,,,,,,,,
89,kNgted,250,/fortnite/KNgted,,,,,,,,,,,
90,W4k,250,/fortnite/W4k,,,,,,,,,,,
91,mystick,250,/fortnite/Mystick,,,,,,,,,,,
92,Kallutowski,250,/fortnite/Kallutowski,,,,,,,,,,,
93,Sweeat,250,/fortnite/Sweeat,,,,,,,,,,,
94,Nizzy,250,/fortnite/Nizzy,,,,,,,,,,,
95,Lasers,250,/fortnite/Lasers,,,,,,,,,,,
96,Digai,250,/fortnite/Digai,,,,,,,,,,,
97,Juxi,250,/fortnite/Juxi,,,,,,,,,,,
98,Loqqty,250,/fortnite/Loqqty,,,,,,,,,,,
99,6tn,250,/fortnite/6tn,,,,,,,,,,,
100,Ian,250,/fortnite/Ian,,,,,,,,,,,
