Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,JannisZ,120000,/fortnite/JannisZ,EU,Solos,100,100,2020-05-23,2020-05-24,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Invitational/Grand_Finals/Europe
2,Wolfiez,95000,/fortnite/Wolfiez,,,,,,,
3,aqua,70000,/fortnite/Aqua,,,,,,,
4,Th0masHD,60000,/fortnite/Th0masHD,,,,,,,
5,TaySon,50000,/fortnite/TaySon,,,,,,,
6,Flikk,40000,/fortnite/Flikk,,,,,,,
7,Andilex,30000,/fortnite/Andilex,,,,,,,
8,LeTsHe,22000,/fortnite/LeTsHe,,,,,,,
9,Queasy,14000,/fortnite/Queasy,,,,,,,
10,Hen,7000,/fortnite/Hen,,,,,,,
11,Kami,3000,/fortnite/Kami,,,,,,,
12,4zr,3000,/fortnite/4zr,,,,,,,
13,crr,3000,/fortnite/Crr,,,,,,,
14,rezon ay,3000,/fortnite/Rezon_ay,,,,,,,
15,MrSavage,3000,/fortnite/MrSavage,,,,,,,
16,Anas,2000,/fortnite/Anas,,,,,,,
17,Milan,2000,/fortnite/Milan,,,,,,,
18,Mitr0,2000,/fortnite/Mitr0,,,,,,,
19,Umplify,2000,/fortnite/Umplify,,,,,,,
20,Airwaks,2000,/fortnite/Airwaks,,,,,,,
21,xsweeze,1800,/fortnite/Xsweeze,,,,,,,
22,Deqzyy,1800,/fortnite/Deqzyy,,,,,,,
23,scolleh,1800,/fortnite/Scolleh,,,,,,,
24,znappy,1800,/fortnite/Znappy,,,,,,,
25,SliX,1800,/fortnite/SliX,,,,,,,
26,Mongraal,1800,/fortnite/Mongraal,,,,,,,
27,Styler,1800,/fortnite/Styler,,,,,,,
28,Diablo,1800,/fortnite/Diablo,,,,,,,
29,EMXXRR,1800,/fortnite/EMXXRR,,,,,,,
30,Ditrxx,1800,/fortnite/Ditrxx,,,,,,,
31,chapix,1400,/fortnite/Chapix,,,,,,,
32,Merijn,1400,/fortnite/Merijn,,,,,,,
33,marteen,1400,/fortnite/Marteen,,,,,,,
34,Vadeal,1400,/fortnite/Vadeal,,,,,,,
35,Maage,1400,/fortnite/Maage,,,,,,,
36,artor,1400,/fortnite/Artor,,,,,,,
37,Ensar,1400,/fortnite/Ensar,,,,,,,
38,Vibez,1400,/fortnite/Vibez,,,,,,,
39,Maestro,1400,/fortnite/Maestro,,,,,,,
40,Drobbаn,1400,/fortnite/Drobb%D0%B0n,,,,,,,
41,Blacky,1000,/fortnite/Blacky,,,,,,,
42,IDrop,1000,/fortnite/IDrop,,,,,,,
43,Sebby,1000,/fortnite/Sebby,,,,,,,
44,Vortex,1000,/fortnite/Vortex,,,,,,,
45,Putrick,1000,/fortnite/Putrick,,,,,,,
46,Laizen,1000,/fortnite/Laizen,,,,,,,
47,Fray,1000,/fortnite/Fray,,,,,,,
48,Tiago,1000,/fortnite/Tiago,,,,,,,
49,Noward,1000,/fortnite/Noward,,,,,,,
50,KidBocaj,1000,/fortnite/KidBocaj,,,,,,,
51,J4chu,500,/fortnite/J4chu,,,,,,,
52,Clement,500,/fortnite/Clement,,,,,,,
53,Fanta,500,/fortnite/Fanta,,,,,,,
54,nayte,500,/fortnite/Nayte,,,,,,,
55,GloryJsn,500,/fortnite/GloryJsn,,,,,,,
56,benjyfishy,500,/fortnite/Benjyfishy,,,,,,,
57,Kiryache32,500,/fortnite/Kiryache32,,,,,,,
58,steelix,500,/fortnite/Steelix,,,,,,,
59,AirkNn,500,/fortnite/AirkNn,,,,,,,
60,teeq,500,/fortnite/Teeq,,,,,,,
61,Minny,500,/fortnite/Minny,,,,,,,
62,TruleX,500,/fortnite/TruleX,,,,,,,
63,k1nzell,500,/fortnite/K1nzell,,,,,,,
64,Lnuef,500,/fortnite/Lnuef,,,,,,,
65,Pinq,500,/fortnite/Pinq,,,,,,,
66,mexe,500,/fortnite/Mexe,,,,,,,
67,Skagen,500,/fortnite/Skagen,,,,,,,
68,MAGL,500,/fortnite/MAGL,,,,,,,
69,wakie,500,/fortnite/Wakie,,,,,,,
70,Verox,500,/fortnite/Verox,,,,,,,
71,Matsoe,500,/fortnite/Matsoe,,,,,,,
72,Alpha,500,/fortnite/Alpha,,,,,,,
73,LeftEye,500,/fortnite/LeftEye,,,,,,,
74,Kylie,500,/fortnite/Kylie,,,,,,,
75,Moqii,500,/fortnite/Moqii,,,,,,,
76,ZQ,500,/fortnite/ZQ,,,,,,,
77,Locik,500,/fortnite/Locik,,,,,,,
78,Kartun,500,/fortnite/Kartun,,,,,,,
79,niasen,500,/fortnite/Niasen,,,,,,,
80,Erm00n,500,/fortnite/Erm00n,,,,,,,
81,Fastroki,500,/fortnite/Fastroki,,,,,,,
82,MarkusC,500,/fortnite/MarkusC,,,,,,,
83,Noahreyli,500,/fortnite/Noahreyli,,,,,,,
84,Hardfind,500,/fortnite/Hardfind,,,,,,,
85,Swaggi,500,/fortnite/Swaggi,,,,,,,
86,Castery,500,/fortnite/Castery,,,,,,,
87,Hype,500,/fortnite/Hype_(German_player),,,,,,,
88,freemok,500,/fortnite/Freemok,,,,,,,
89,RedRush,500,/fortnite/RedRush,,,,,,,
90,DanDAN,500,/fortnite/DanDAN,,,,,,,
91,Noka,500,/fortnite/Noka,,,,,,,
92,Kura,500,/fortnite/Kura,,,,,,,
93,FrenzyFishy,500,/fortnite/FrenzyFishy,,,,,,,
94,Keziix,500,/fortnite/Keziix,,,,,,,
95,kejseR,500,/fortnite/Kejser,,,,,,,
96,ShadeCOT,500,/fortnite/ShadeCOT,,,,,,,
97,7tor,500,/fortnite/7tor,,,,,,,
98,Kiraah,500,/fortnite/Kiraah,,,,,,,
99,Lusha,500,/fortnite/Lusha,,,,,,,
100,Vepteh,500,/fortnite/Vepteh,,,,,,,
