Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,KiritoKun,15000,/fortnite/KiritoKun,ME,Solos,100,100,2020-05-22,2020-05-23,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Invitational/Grand_Finals/Middle_East
2,QnDx,8000,/fortnite/QnDx,,,,,,,
3,iiUniit,7000,/fortnite/Unit,,,,,,,
4,Xx731,6000,/fortnite/Xx731,,,,,,,
5,Nm7,5000,/fortnite/NM7,,,,,,,
6,7Mood,4000,/fortnite/7Mood,,,,,,,
7,Modisk,3000,/fortnite/Modisk,,,,,,,
8,Njby,1850,/fortnite/Njby,,,,,,,
9,Snowvaks,1300,/fortnite/Snowvaks,,,,,,,
10,vagnaR,600,/fortnite/VagnaR,,,,,,,
11,Sami,450,/fortnite/Sami_(ME_player),,,,,,,
12,Deatt,450,/fortnite/Deatt,,,,,,,
13,Criminal,450,/fortnite/Criminal,,,,,,,
14,AbuFal7,450,/fortnite/AbuFal7,,,,,,,
15,3DWANI,450,/fortnite/3DWANI,,,,,,,
16,Abdulelah,400,/fortnite/Abdulelah,,,,,,,
17,Scorpion,400,/fortnite/Scorpion,,,,,,,
18,Gntl,400,/fortnite/GntL,,,,,,,
19,Viiroos,400,/fortnite/Viiroos,,,,,,,
20,Souriano,400,/fortnite/Souriano,,,,,,,
21,XxLegend pro2008,350,/fortnite/XxLegend_pro2008,,,,,,,
22,Dexefite,350,/fortnite/Dexefite,,,,,,,
23,Wolf,350,/fortnite/Wolf_(ME_player),,,,,,,
24,Fares,350,/fortnite/Fares,,,,,,,
25,Howl,350,/fortnite/Howl,,,,,,,
26,K9,350,/fortnite/K9,,,,,,,
27,Rizen,350,/fortnite/Rizen,,,,,,,
28,Rv,350,/fortnite/Rv,,,,,,,
29,Lozer,350,/fortnite/Lozer,,,,,,,
30,Nyle,350,/fortnite/Nyle,,,,,,,
31,Adapter,300,/fortnite/Adapter,,,,,,,
32,Mev,300,/fortnite/Mev,,,,,,,
33,Meza,300,/fortnite/Meza,,,,,,,
34,H.man,300,/fortnite/H.man,,,,,,,
35,SFA7,300,/fortnite/SFA7,,,,,,,
36,Yonx,300,/fortnite/Yonx,,,,,,,
37,Brchie,300,/fortnite/Brchie,,,,,,,
38,Metab,300,/fortnite/Metab,,,,,,,
39,Lazershooter,300,/fortnite/Lazershooter,,,,,,,
40,Fw,300,/fortnite/Fw,,,,,,,
41,Tobi,250,/fortnite/Tobi,,,,,,,
42,Habiebsh,250,/fortnite/Habiebsh,,,,,,,
43,Galassia,250,/fortnite/Galassia,,,,,,,
44,Hellonsteam,250,/fortnite/Hellonsteam,,,,,,,
45,SUL,250,/fortnite/SUL,,,,,,,
46,IExon,250,/fortnite/IExon,,,,,,,
47,Br1ckzl,250,/fortnite/Br1ckzl,,,,,,,
48,Frenzy,250,/fortnite/Frenzy,,,,,,,
49,JABR,250,/fortnite/JABR,,,,,,,
50,Bravado Neymar,250,/fortnite/Bravado_Neymar,,,,,,,
51,Kovolski,200,/fortnite/Kovolski,,,,,,,
52,DREAM,200,/fortnite/DREAM,,,,,,,
53,Obito,200,/fortnite/Obito,,,,,,,
54,Phantom,200,/fortnite/Phantom,,,,,,,
55,Saturday,200,/fortnite/Saturday,,,,,,,
56,Tooke,200,/fortnite/Tooke,,,,,,,
57,Mansour,200,/fortnite/Mansour,,,,,,,
58,ADY,200,/fortnite/ADY,,,,,,,
59,ixDire,200,/fortnite/IxDire,,,,,,,
60,MESSi,200,/fortnite/MESSi,,,,,,,
61,Hero,200,/fortnite/Hero,,,,,,,
62,Msg,200,/fortnite/Msg,,,,,,,
