Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Furious,100000,/fortnite/Furious,NAE,Solos,100,100,2020-05-23,2020-05-24,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Invitational/Grand_Finals/North_America_East
2,Assault,56000,/fortnite/Assault,,,,,,,
3,jahq,40000,/fortnite/Jahq,,,,,,,
4,Khanada,35000,/fortnite/Khanada,,,,,,,
5,Megga,30000,/fortnite/Megga,,,,,,,
6,Scoped,23000,/fortnite/Scoped,,,,,,,
7,Neon,16000,/fortnite/Neon,,,,,,,
8,Jelty,12500,/fortnite/Jelty,,,,,,,
9,Zayt,8000,/fortnite/Zayt,,,,,,,
10,Whofishy,4000,/fortnite/Whofishy,,,,,,,
11,Unknown,1500,/fortnite/Unknown,,,,,,,
12,Bizzle,1500,/fortnite/Bizzle,,,,,,,
13,Eclipsae,1500,/fortnite/Eclipsae,,,,,,,
14,Avery,1500,/fortnite/Avery,,,,,,,
15,nut,1500,/fortnite/Nut,,,,,,,
16,Fyerd,1000,/fortnite/Fyerd,,,,,,,
17,Fryst,1000,/fortnite/Fryst,,,,,,,
18,Alliege,1000,/fortnite/Alliege,,,,,,,
19,Stretch,1000,/fortnite/Stretch,,,,,,,
20,TeeJay,1000,/fortnite/TeeJay,,,,,,,
21,Commandment,700,/fortnite/Commandment,,,,,,,
22,Nittle,700,/fortnite/Nittle,,,,,,,
23,Clix,700,/fortnite/Clix,,,,,,,
24,Klass,700,/fortnite/Klass,,,,,,,
25,pgod,700,/fortnite/Pgod,,,,,,,
26,Smqcked,700,/fortnite/Smqcked,,,,,,,
27,illest,700,/fortnite/Illest,,,,,,,
28,codgenesis,700,/fortnite/Codgenesis,,,,,,,
29,Pxlarized,700,/fortnite/Pxlarized,,,,,,,
30,TabzG,700,/fortnite/TabzG,,,,,,,
31,Saf,600,/fortnite/Saf,,,,,,,
32,Durant,600,/fortnite/Durant,,,,,,,
33,Bully,600,/fortnite/Bully,,,,,,,
34,Noul,600,/fortnite/Noul,,,,,,,
35,neeqo,600,/fortnite/Neeqo,,,,,,,
36,Co1azo,600,/fortnite/Co1azo,,,,,,,
37,Av,600,/fortnite/Av,,,,,,,
38,sto,600,/fortnite/Sto,,,,,,,
39,coop,600,/fortnite/Coop,,,,,,,
40,Bugha,600,/fortnite/Bugha,,,,,,,
41,Jamper,500,/fortnite/Jamper,,,,,,,
42,Crimz,500,/fortnite/Crimz,,,,,,,
43,Doxy,500,/fortnite/Doxy,,,,,,,
44,DeRoller,500,/fortnite/DeRoller,,,,,,,
45,Mikey,500,/fortnite/Mikey,,,,,,,
46,Tilt,500,/fortnite/Tilt,,,,,,,
47,Goosh,500,/fortnite/Goosh,,,,,,,
48,RogueShark,500,/fortnite/RogueShark,,,,,,,
49,mero,500,/fortnite/Mero,,,,,,,
50,Vexzcy,500,/fortnite/Vexzcy,,,,,,,
51,Arab,400,/fortnite/Arab,,,,,,,
52,Ghoul,400,/fortnite/Ghoul_(NAE_player),,,,,,,
53,Sparkg,400,/fortnite/Sparkg,,,,,,,
54,Frostty,400,/fortnite/Frostty,,,,,,,
55,Tuexy,400,/fortnite/Tuexy,,,,,,,
56,Zum,400,/fortnite/Zum,,,,,,,
57,Astonish,400,/fortnite/Astonish,,,,,,,
58,JayBrd,400,/fortnite/JayBrd,,,,,,,
59,Grazca,400,/fortnite/Grazca,,,,,,,
60,BankTeller,400,/fortnite/BankTeller,,,,,,,
61,Hornet,400,/fortnite/Hornet,,,,,,,
62,Shaz,400,/fortnite/Shaz,,,,,,,
63,Storms,400,/fortnite/Storms,,,,,,,
64,Blood,400,/fortnite/Blood,,,,,,,
65,Nexy,400,/fortnite/Nexy,,,,,,,
66,ShoBeans,400,/fortnite/ShoBeans,,,,,,,
67,Hunt,400,/fortnite/Hunt,,,,,,,
68,Whygull,400,/fortnite/Whygull,,,,,,,
69,J0hee,400,/fortnite/J0hee,,,,,,,
70,Tragix,400,/fortnite/Tragix,,,,,,,
71,yung calculator,400,/fortnite/Yung_calculator,,,,,,,
72,Woz,400,/fortnite/Woz,,,,,,,
73,frat,400,/fortnite/Frat,,,,,,,
74,Wyggs,400,/fortnite/Wyggs,,,,,,,
75,Pdplague,400,/fortnite/Pdplague,,,,,,,
76,Okkers,400,/fortnite/Okkers,,,,,,,
77,Cazz,400,/fortnite/Cazz,,,,,,,
78,staqi,400,/fortnite/Staqi,,,,,,,
79,happed,400,/fortnite/Happed,,,,,,,
80,Knight,400,/fortnite/Knight,,,,,,,
81,Legedien,400,/fortnite/Legedien,,,,,,,
82,Zuky,400,/fortnite/Zuky,,,,,,,
83,CizLucky,400,/fortnite/CizLucky,,,,,,,
84,Sway,400,/fortnite/Sway,,,,,,,
85,Degen,400,/fortnite/Degen,,,,,,,
86,Ajerss,400,/fortnite/Ajerss,,,,,,,
87,Acorn,400,/fortnite/Acorn,,,,,,,
88,Spicy,400,/fortnite/Spicy,,,,,,,
89,Aiden,400,/fortnite/Aiden,,,,,,,
90,Perplexii,400,/fortnite/Perplexii,,,,,,,
91,Kell,400,/fortnite/Kell,,,,,,,
92,Dettain,400,/fortnite/Dettain,,,,,,,
93,Kiox,400,/fortnite/Kiox,,,,,,,
94,Severe,400,/fortnite/Severe,,,,,,,
95,RoAtDW,400,/fortnite/RoAtDW,,,,,,,
96,Iciev,400,/fortnite/Iciev,,,,,,,
97,Ved,400,/fortnite/Ved,,,,,,,
98,Walkman,400,/fortnite/Walkman,,,,,,,
99,IMrSharpShooter,400,/fortnite/IMrSharpShooter,,,,,,,
100,7eo,400,/fortnite/7eo,,,,,,,
