Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Arkhram,40000,/fortnite/Arkhram,NAW,Solos,100,100,150000,Online,North America,,2020-05-23,2020-05-24,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Invitational/Grand_Finals/North_America_West
2,Rift,17500,/fortnite/Rift,,,,,,,,,,,
3,Reet,15000,/fortnite/Reet,,,,,,,,,,,
4,Sake,13500,/fortnite/Sake,,,,,,,,,,,
5,Kytrex,10500,/fortnite/Kytrex,,,,,,,,,,,
6,EpikWhale,9000,/fortnite/EpikWhale,,,,,,,,,,,
7,rehx,7000,/fortnite/Rehx,,,,,,,,,,,
8,maken,5000,/fortnite/Maken,,,,,,,,,,,
9,andrew,3250,/fortnite/Andrew,,,,,,,,,,,
10,Thomuss,1500,/fortnite/Thomuss,,,,,,,,,,,
11,symetrical,500,/fortnite/Symetrical,,,,,,,,,,,
12,Litzinio,500,/fortnite/Litzinio,,,,,,,,,,,
13,temple,500,/fortnite/Temple,,,,,,,,,,,
14,zinqxz,500,/fortnite/Zinqxz,,,,,,,,,,,
15,Mechton,500,/fortnite/Mechton,,,,,,,,,,,
16,Powur,450,/fortnite/Powur,,,,,,,,,,,
17,Conrad,450,/fortnite/Conrad,,,,,,,,,,,
18,jeffers,450,/fortnite/Jeffers,,,,,,,,,,,
19,Tavern,450,/fortnite/Tavern,,,,,,,,,,,
20,Aydan,450,/fortnite/Aydan,,,,,,,,,,,
21,Hyper,400,/fortnite/Hyper,,,,,,,,,,,
22,Triggy,400,/fortnite/Triggy,,,,,,,,,,,
23,Riversan,400,/fortnite/Riversan,,,,,,,,,,,
24,Zesty,400,/fortnite/Zesty,,,,,,,,,,,
25,Kewl,400,/fortnite/Kewl,,,,,,,,,,,
26,Jay,400,/fortnite/Jay,,,,,,,,,,,
27,Middi,400,/fortnite/Middi,,,,,,,,,,,
28,nani,400,/fortnite/Nani_(NAW_player),,,,,,,,,,,
29,Icy,400,/fortnite/Icy,,,,,,,,,,,
30,myles,400,/fortnite/Myles,,,,,,,,,,,
31,Frapai,350,/fortnite/Frapai,,,,,,,,,,,
32,Vanillaz,350,/fortnite/Vanillaz,,,,,,,,,,,
33,Bryan,350,/fortnite/Bryan,,,,,,,,,,,
34,verT,350,/fortnite/VerT,,,,,,,,,,,
35,Domo,350,/fortnite/Domo,,,,,,,,,,,
36,Mateofnbr,350,/fortnite/Mateofnbr,,,,,,,,,,,
37,trashy,350,/fortnite/Trashy_(NAW_player),,,,,,,,,,,
38,Hov,350,/fortnite/Hov,,,,,,,,,,,
39,beast,350,/fortnite/Beast,,,,,,,,,,,
40,4DRStorm,350,/fortnite/4DRStorm,,,,,,,,,,,
41,bacca,300,/fortnite/Bacca,,,,,,,,,,,
42,Xayrez,300,/fortnite/Xayrez,,,,,,,,,,,
43,Nanos,300,/fortnite/Nanos,,,,,,,,,,,
44,defiable,300,/fortnite/Defiable,,,,,,,,,,,
45,Lucas,300,/fortnite/Lucas,,,,,,,,,,,
46,Ferno,300,/fortnite/Ferno,,,,,,,,,,,
47,Vinny,300,/fortnite/Vinny,,,,,,,,,,,
48,Moter,300,/fortnite/Moter,,,,,,,,,,,
49,Dragon,300,/fortnite/Dragon,,,,,,,,,,,
50,Hoop,300,/fortnite/Hoop,,,,,,,,,,,
51,Swarm,250,/fortnite/Swarm,,,,,,,,,,,
52,g0dku,250,/fortnite/G0dku,,,,,,,,,,,
53,brycee,250,/fortnite/Brycee,,,,,,,,,,,
54,toff,250,/fortnite/Toff,,,,,,,,,,,
55,Tautai,250,/fortnite/Tautai,,,,,,,,,,,
56,Shifu,250,/fortnite/Shifu,,,,,,,,,,,
57,wavyjacob,250,/fortnite/Wavyjacob,,,,,,,,,,,
58,Lush,250,/fortnite/Lush,,,,,,,,,,,
59,DBree,250,/fortnite/DBree,,,,,,,,,,,
60,buzzo,250,/fortnite/Buzzo,,,,,,,,,,,
61,jayrosez,250,/fortnite/Jayrosez,,,,,,,,,,,
62,pzuhs,250,/fortnite/Pzuhs,,,,,,,,,,,
63,Falconer,250,/fortnite/Falconer,,,,,,,,,,,
64,WAVE,250,/fortnite/WAVE,,,,,,,,,,,
65,DanteAllDay,250,/fortnite/DanteAllDay,,,,,,,,,,,
66,Aero,250,/fortnite/Aero,,,,,,,,,,,
67,Lxdesman,250,/fortnite/Lxdesman,,,,,,,,,,,
68,Trix,250,/fortnite/Trix,,,,,,,,,,,
69,Gubbb,250,/fortnite/Gubbb,,,,,,,,,,,
70,Caleb,250,/fortnite/Caleb,,,,,,,,,,,
71,Golden,250,/fortnite/Golden_(NAW_player),,,,,,,,,,,
72,prodigy,250,/fortnite/Prodigy_(NA_player),,,,,,,,,,,
73,Gab,250,/fortnite/Gab,,,,,,,,,,,
74,Sogys,250,/fortnite/Sogys,,,,,,,,,,,
75,Pearl,250,/fortnite/Pearl,,,,,,,,,,,
76,Healthy1x,250,/fortnite/Healthy1x,,,,,,,,,,,
77,slimezey,250,/fortnite/Slimezey,,,,,,,,,,,
78,Cmxr,250,/fortnite/Cmxr,,,,,,,,,,,
79,Bumboy,250,/fortnite/Bumboy,,,,,,,,,,,
80,Cented,250,/fortnite/Cented,,,,,,,,,,,
81,Tricks,250,/fortnite/Tricks,,,,,,,,,,,
