Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Jordan,15000,/fortnite/Jordan,OCE,Solos,100,100,2020-05-23,2020-05-24,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Invitational/Grand_Finals/Oceania
2,RepulseGod,8000,/fortnite/RepulseGod,,,,,,,
3,Muz,7000,/fortnite/Muz,,,,,,,
4,worthy,6000,/fortnite/Worthy,,,,,,,
5,zoreh,5000,/fortnite/Zoreh,,,,,,,
6,looter,4000,/fortnite/Looter,,,,,,,
7,VortexM,3000,/fortnite/VortexM,,,,,,,
8,Alex,1850,/fortnite/Alex,,,,,,,
9,Breso,1300,/fortnite/Breso,,,,,,,
10,Remi,600,/fortnite/Remi,,,,,,,
11,Sorif,450,/fortnite/Sorif,,,,,,,
12,Skvts,450,/fortnite/Skvts,,,,,,,
13,Bola,450,/fortnite/Bola,,,,,,,
14,Kwolit,450,/fortnite/Kwolit,,,,,,,
15,Rel,450,/fortnite/Rel,,,,,,,
16,Caryion,400,/fortnite/Caryion,,,,,,,
17,SpeedyND,400,/fortnite/SpeedyND,,,,,,,
18,Jynx,400,/fortnite/Jynx,,,,,,,
19,Dylan,400,/fortnite/Dylan,,,,,,,
20,volx,400,/fortnite/Volx,,,,,,,
21,Synaf,350,/fortnite/Synaf,,,,,,,
22,LunR,350,/fortnite/LunR,,,,,,,
23,Rahcks,350,/fortnite/Rahcks,,,,,,,
24,Xalkerr,350,/fortnite/Xalkerr,,,,,,,
25,Colt,350,/fortnite/Colt,,,,,,,
26,JhK,350,/fortnite/JhK,,,,,,,
27,Azoh,350,/fortnite/Azoh,,,,,,,
28,Zedox,350,/fortnite/Zedox,,,,,,,
29,Alecc,350,/fortnite/Alecc,,,,,,,
30,m1,350,/fortnite/M1,,,,,,,
31,Kulture,300,/fortnite/Kulture,,,,,,,
32,50,300,/fortnite/50,,,,,,,
33,Shocker,300,/fortnite/Shocker,,,,,,,
34,raiku,300,/fortnite/Raiku,,,,,,,
35,Squeakz,300,/fortnite/Squeakz,,,,,,,
36,Cuts,300,/fortnite/Cuts,,,,,,,
37,Spraz,300,/fortnite/Spraz,,,,,,,
38,jesse,300,/fortnite/Jesse,,,,,,,
39,Asfit,300,/fortnite/Asfit,,,,,,,
40,ZGMT,300,/fortnite/ZGMT,,,,,,,
41,Oatley,250,/fortnite/Oatley,,,,,,,
42,Ronin,250,/fortnite/Ronin_(OCE_player),,,,,,,
43,Basil,250,/fortnite/Basil,,,,,,,
44,Jahlyn,250,/fortnite/Jahlyn,,,,,,,
