Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Fram,10000,/fortnite/Fram,AS,Solos,100,100,2020-08-16,2020-08-16,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_3/Grand_Finals/Asia
2,Harukiyo,5750,/fortnite/Harukiyo,,,,,,,
3,Peterpan,3250,/fortnite/Peterpan,,,,,,,
4,Albedo,2750,/fortnite/Albedo,,,,,,,
5,Jozya,2250,/fortnite/Jozya,,,,,,,
6,Force,2000,/fortnite/Force,,,,,,,
7,miya,1800,/fortnite/Miya,,,,,,,
8,Maesar,1600,/fortnite/Maesar,,,,,,,
9,Aim,1400,/fortnite/Aim,,,,,,,
10,Rialy,1200,/fortnite/Rialy,,,,,,,
11,RizArt,1000,/fortnite/RizArt,,,,,,,
12,suica,1000,/fortnite/suica,,,,,,,
13,Riru,1000,/fortnite/Riru,,,,,,,
14,Yusea,1000,/fortnite/Yusea,,,,,,,
15,selenium,1000,/fortnite/selenium,,,,,,,
16,Pachi,800,/fortnite/Pachi,,,,,,,
17,Lettuce,800,/fortnite/Lettuce,,,,,,,
18,Bob,800,/fortnite/Bob,,,,,,,
19,WildHawk,800,/fortnite/WildHawk,,,,,,,
20,TEAnSk,800,/fortnite/TEAnSk,,,,,,,
21,Kagetora,800,/fortnite/Kagetora,,,,,,,
22,Riffex,800,/fortnite/Riffex,,,,,,,
23,Imis,800,/fortnite/Imis,,,,,,,
24,Debs,800,/fortnite/Debs,,,,,,,
25,KUREN,800,/fortnite/KUREN,,,,,,,
26,Rych,600,/fortnite/Rych,,,,,,,
27,henceforth,600,/fortnite/henceforth,,,,,,,
28,takadani,600,/fortnite/Takachan,,,,,,,
29,Yama,600,/fortnite/YAMA,,,,,,,
30,Clemens,600,/fortnite/Clemens,,,,,,,
31,Shamokiy,600,/fortnite/Shamokiy,,,,,,,
32,Buyuriru,600,/fortnite/Buyuriru,,,,,,,
33,Dorappi,600,/fortnite/Dorappi,,,,,,,
34,Qjac,600,/fortnite/Qjac,,,,,,,
35,Pina,600,/fortnite/Pina,,,,,,,
36,apetry,600,/fortnite/apetry,,,,,,,
37,Masaki,600,/fortnite/Masaki,,,,,,,
38,Ruki,600,/fortnite/Ruki,,,,,,,
39,Maufin,600,/fortnite/Maufin,,,,,,,
40,Tatto,600,/fortnite/Tatto,,,,,,,
41,Zuity,600,/fortnite/Zuity,,,,,,,
