Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,K1nG,20000,/fortnite/K1nG,BR,Solos,100,100,120000,Online,Brazil,,2020-08-16,2020-08-16,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_3/Grand_Finals/Brazil
2,KING,13000,/fortnite/KING,,,,,,,,,,,
3,Phzin,10000,/fortnite/Phzin,,,,,,,,,,,
4,Zenxit,7800,/fortnite/Zenxit,,,,,,,,,,,
5,Cadu,5600,/fortnite/Cadu,,,,,,,,,,,
6,fazer,4600,/fortnite/Fazer,,,,,,,,,,,
7,Liimaa,4000,/fortnite/Liimaa,,,,,,,,,,,
8,Sync Cool,3500,/fortnite/Sync_Cool,,,,,,,,,,,
9,Facu,3000,/fortnite/Facu,,,,,,,,,,,
10,EdRoadToGlory,2000,/fortnite/EdRoadToGlory,,,,,,,,,,,
11,technoviking,1200,/fortnite/Technoviking,,,,,,,,,,,
12,persa,1200,/fortnite/Persa,,,,,,,,,,,
13,Coca,1200,/fortnite/Coca,,,,,,,,,,,
14,histtory,1200,/fortnite/Histtory,,,,,,,,,,,
15,Mojak,1200,/fortnite/Mojak,,,,,,,,,,,
16,Dyfs,800,/fortnite/Dyfs,,,,,,,,,,,
17,Barella,800,/fortnite/Barella,,,,,,,,,,,
18,redlee,800,/fortnite/Redlee,,,,,,,,,,,
19,WeY,800,/fortnite/WeY,,,,,,,,,,,
20,Rynm,800,/fortnite/Rynm,,,,,,,,,,,
21,Scan,800,/fortnite/Scan,,,,,,,,,,,
22,Jpsk1ng,800,/fortnite/Jpsk1ng,,,,,,,,,,,
23,Fishy,800,/fortnite/Fishy,,,,,,,,,,,
24,Stermix,800,/fortnite/Stermix,,,,,,,,,,,
25,H4wwk,800,/fortnite/H4wwk,,,,,,,,,,,
26,leleo,500,/fortnite/Leleo,,,,,,,,,,,
27,Rincоn,500,/fortnite/Rinc%D0%BEn,,,,,,,,,,,
28,Tisora,500,/fortnite/Tisora,,,,,,,,,,,
29,Nicks,500,/fortnite/Nicks,,,,,,,,,,,
30,Propi,500,/fortnite/Propi,,,,,,,,,,,
31,Pulga,500,/fortnite/Pulga,,,,,,,,,,,
32,Lasers,500,/fortnite/Lasers,,,,,,,,,,,
33,Kitoz,500,/fortnite/Kitoz,,,,,,,,,,,
34,OPai,500,/fortnite/Opai,,,,,,,,,,,
35,Thome,500,/fortnite/Thome,,,,,,,,,,,
36,Pietrin,500,/fortnite/Pietrin,,,,,,,,,,,
37,Brabo,500,/fortnite/Brabo,,,,,,,,,,,
38,Riquelmee,500,/fortnite/Riquelmee,,,,,,,,,,,
39,Spitflow,500,/fortnite/Spitflow,,,,,,,,,,,
40,Ninja,500,/fortnite/Ninja_(SA_player),,,,,,,,,,,
41,Suazσ,500,/fortnite/Suaz%CF%83,,,,,,,,,,,
42,Pogba,500,/fortnite/Pogba,,,,,,,,,,,
43,Nov1ce,500,/fortnite/Nov1ce,,,,,,,,,,,
44,Stink,500,/fortnite/Stink,,,,,,,,,,,
45,Tekostheff,500,/fortnite/Tekostheff,,,,,,,,,,,
46,Doctor,500,/fortnite/Doctor,,,,,,,,,,,
47,Diamond,500,/fortnite/Diamond,,,,,,,,,,,
48,BrYANN,500,/fortnite/BrYANN,,,,,,,,,,,
49,OriGinS,500,/fortnite/OriGinS,,,,,,,,,,,
50,Brunao,500,/fortnite/Brunao,,,,,,,,,,,
51,Vitinho,400,/fortnite/Vitinho,,,,,,,,,,,
52,SantyAntico10,400,/fortnite/SantyAntico10,,,,,,,,,,,
53,VichiN,400,/fortnite/VichiN,,,,,,,,,,,
54,Insano,400,/fortnite/Insano,,,,,,,,,,,
55,Sandro,400,/fortnite/Sandro,,,,,,,,,,,
56,wisheydp,400,/fortnite/Wisheydp,,,,,,,,,,,
57,Lechero,400,/fortnite/Lechero,,,,,,,,,,,
58,SneyX,400,/fortnite/SneyX,,,,,,,,,,,
59,Toba,400,/fortnite/Toba,,,,,,,,,,,
60,Robot,400,/fortnite/Robot,,,,,,,,,,,
61,Optical,400,/fortnite/Optical,,,,,,,,,,,
62,Mhg,400,/fortnite/Mhg,,,,,,,,,,,
63,Gangi,400,/fortnite/Gangi,,,,,,,,,,,
64,Randu,400,/fortnite/Randu,,,,,,,,,,,
65,Febas,400,/fortnite/Febas,,,,,,,,,,,
66,Tiago,400,/fortnite/Tiago,,,,,,,,,,,
67,Franzez,400,/fortnite/Franzez,,,,,,,,,,,
68,Ruim,400,/fortnite/Ruim,,,,,,,,,,,
69,Navars,400,/fortnite/Navars,,,,,,,,,,,
70,BaD,400,/fortnite/BaD,,,,,,,,,,,
71,AimC,400,/fortnite/AimC,,,,,,,,,,,
72,Pepetoo,400,/fortnite/Pepetoo,,,,,,,,,,,
73,GSX,400,/fortnite/GSX,,,,,,,,,,,
74,Faluve,400,/fortnite/Faluve,,,,,,,,,,,
75,Tade,400,/fortnite/Tade,,,,,,,,,,,
76,Scarpa,400,/fortnite/Scarpa,,,,,,,,,,,
77,Girardi,400,/fortnite/Girardi,,,,,,,,,,,
78,Vitinhosxy,400,/fortnite/Vitinhosxy,,,,,,,,,,,
79,Igo,400,/fortnite/Igo,,,,,,,,,,,
80,Sheco,400,/fortnite/Sheco,,,,,,,,,,,
81,Zehx,400,/fortnite/Zehx,,,,,,,,,,,
82,Ian1x,400,/fortnite/Ian1x,,,,,,,,,,,
83,Steg,400,/fortnite/Steg,,,,,,,,,,,
84,Zelenoy,400,/fortnite/Zelenoy,,,,,,,,,,,
85,Jere,400,/fortnite/Jere,,,,,,,,,,,
86,Hs,400,/fortnite/Hs,,,,,,,,,,,
87,QuietiN,400,/fortnite/QuietiN,,,,,,,,,,,
88,DJAVU,400,/fortnite/DJAVU,,,,,,,,,,,
89,Fabian1816,400,/fortnite/Fabian1816,,,,,,,,,,,
90,GRANDE,400,/fortnite/GRANDE,,,,,,,,,,,
91,Rajadahram,400,/fortnite/Rajadahram,,,,,,,,,,,
92,Generall,400,/fortnite/Generall,,,,,,,,,,,
93,Dott1,400,/fortnite/Dott1,,,,,,,,,,,
94,Soares,400,/fortnite/Soares,,,,,,,,,,,
95,Loqqty,400,/fortnite/Loqqty,,,,,,,,,,,
96,KaykyGames,400,/fortnite/KaykyGames,,,,,,,,,,,
97,YoungYino,400,/fortnite/YoungYino,,,,,,,,,,,
98,Nutifps,400,/fortnite/Nutifps,,,,,,,,,,,
99,Maгtín,400,/fortnite/Ma%D0%B3t%C3%ADn,,,,,,,,,,,
100,BrenoSalviano,400,/fortnite/BrenoSalviano,,,,,,,,,,,
