Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,TaySon,80000,/fortnite/TaySon,EU,Solos,100,100,2020-08-16,2020-08-16,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_3/Grand_Finals/Europe
2,Decyptos,55000,/fortnite/Decyptos,,,,,,,
3,AyarBaffo,45000,/fortnite/AyarBaffo,,,,,,,
4,Hen,40000,/fortnite/Hen,,,,,,,
5,Snayzy,30000,/fortnite/Snayzy,,,,,,,
6,FrenzyFishy,20000,/fortnite/FrenzyFishy,,,,,,,
7,rezon ay,15000,/fortnite/Rezon_ay,,,,,,,
8,Twainz,10000,/fortnite/Twainz,,,,,,,
9,Raifla,8000,/fortnite/Raifla,,,,,,,
10,Anas,7000,/fortnite/Anas,,,,,,,
11,xsweeze,3000,/fortnite/Xsweeze,,,,,,,
12,letw1k3,3000,/fortnite/Letw1k3,,,,,,,
13,Vadeal,3000,/fortnite/Vadeal,,,,,,,
14,Nate,3000,/fortnite/Nate,,,,,,,
15,Froggy,3000,/fortnite/Froggy,,,,,,,
16,Mongraal,2500,/fortnite/Mongraal,,,,,,,
17,Skite,2500,/fortnite/Skite,,,,,,,
18,Th0masHD,2500,/fortnite/Th0masHD,,,,,,,
19,Snipe,2500,/fortnite/Snipe,,,,,,,
20,Milan,2500,/fortnite/Milan,,,,,,,
21,FlowiS,2500,/fortnite/FlowiS,,,,,,,
22,Skram,2500,/fortnite/Skram,,,,,,,
23,bayon,2500,/fortnite/Bayon,,,,,,,
24,Slender,2500,/fortnite/Slender,,,,,,,
25,Fastroki,2500,/fortnite/Fastroki,,,,,,,
26,k1nzell,2000,/fortnite/K1nzell,,,,,,,
27,steelix,2000,/fortnite/Steelix,,,,,,,
28,advise,2000,/fortnite/Advise,,,,,,,
29,Sebby,2000,/fortnite/Sebby,,,,,,,
30,Smudge,2000,/fortnite/Smudge,,,,,,,
31,Orange,2000,/fortnite/Orange,,,,,,,
32,Queasy,2000,/fortnite/Queasy,,,,,,,
33,BadSniper,2000,/fortnite/BadSniper,,,,,,,
34,SliX,2000,/fortnite/SliX,,,,,,,
35,Keziix,2000,/fortnite/Keziix,,,,,,,
36,Kami,2000,/fortnite/Kami,,,,,,,
37,Michael,2000,/fortnite/Michael,,,,,,,
38,Kartun,2000,/fortnite/Kartun,,,,,,,
39,JannisZ,2000,/fortnite/JannisZ,,,,,,,
40,Carrot,2000,/fortnite/Carrot,,,,,,,
41,Adn,2000,/fortnite/Adn,,,,,,,
42,Kylix,2000,/fortnite/Kylix,,,,,,,
43,7tor,2000,/fortnite/7tor,,,,,,,
44,Skrib,2000,/fortnite/Skrib,,,,,,,
45,Wanlast,2000,/fortnite/Wanlast,,,,,,,
46,Hijoe,2000,/fortnite/Hijoe,,,,,,,
47,Noahreyli,2000,/fortnite/Noahreyli,,,,,,,
48,ardit,2000,/fortnite/Ardit,,,,,,,
49,Swapz,2000,/fortnite/Swapz,,,,,,,
50,Arion,2000,/fortnite/Arion,,,,,,,
51,Antorak,1500,/fortnite/Antorak,,,,,,,
52,MisterX,1500,/fortnite/MisterX,,,,,,,
53,Floki,1500,/fortnite/Floki,,,,,,,
54,PabloWingu,1500,/fortnite/PabloWingu,,,,,,,
55,WaiZ,1500,/fortnite/WaiZ,,,,,,,
56,Nebby,1500,/fortnite/Nebby,,,,,,,
57,MrSavage,1500,/fortnite/MrSavage,,,,,,,
58,Handy,1500,/fortnite/Handy,,,,,,,
59,benjyfishy,1500,/fortnite/Benjyfishy,,,,,,,
60,Ente,1500,/fortnite/Ente,,,,,,,
61,Griff,1500,/fortnite/Griff,,,,,,,
62,Peach,1500,/fortnite/Peach,,,,,,,
63,Mawakha,1500,/fortnite/Mawakha,,,,,,,
64,Pnkayy,1500,/fortnite/Pnkayy,,,,,,,
65,WYZIP,1500,/fortnite/WYZIP,,,,,,,
66,Setty,1500,/fortnite/Setty,,,,,,,
67,Vato,1500,/fortnite/Vato,,,,,,,
68,Diablo,1500,/fortnite/Diablo,,,,,,,
69,LeTsHe,1500,/fortnite/LeTsHe,,,,,,,
70,Flecken,1500,/fortnite/Flecken,,,,,,,
71,KaanDE,1500,/fortnite/KaanDE,,,,,,,
72,Scoutz,1500,/fortnite/Scoutz,,,,,,,
73,Kiraah,1500,/fortnite/Kiraah,,,,,,,
74,Kiryache32,1500,/fortnite/Kiryache32,,,,,,,
75,Fusion,1500,/fortnite/Fusion,,,,,,,
76,bitflox,1500,/fortnite/Bitflox,,,,,,,
