Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Spy,10000,/fortnite/Spy,ME,Solos,100,100,2020-08-15,2020-08-15,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_3/Grand_Finals/Middle_East
2,Phantom,5750,/fortnite/Phantom,,,,,,,
3,Modisk,3250,/fortnite/Modisk,,,,,,,
4,Hellonsteam,2750,/fortnite/Hellonsteam,,,,,,,
5,Adapter,2250,/fortnite/Adapter,,,,,,,
6,Lozer,2000,/fortnite/Lozer,,,,,,,
7,Saud,1800,/fortnite/Saud,,,,,,,
8,Br1ckzl,1600,/fortnite/Br1ckzl,,,,,,,
9,ADY,1400,/fortnite/ADY,,,,,,,
10,Njby,1200,/fortnite/Njby,,,,,,,
11,A7mdo,1000,/fortnite/A7mdo,,,,,,,
12,Fares,1000,/fortnite/Fares,,,,,,,
13,Snowyka,1000,/fortnite/Snowyka,,,,,,,
14,Rapit,1000,/fortnite/Rapit,,,,,,,
15,Nyle,1000,/fortnite/Nyle,,,,,,,
16,Speedy,800,/fortnite/Speedy,,,,,,,
17,Malkawi,800,/fortnite/Malkawi,,,,,,,
18,Nm7,800,/fortnite/NM7,,,,,,,
19,Darkz,800,/fortnite/Darkz,,,,,,,
20,Cigol,800,/fortnite/Cigol,,,,,,,
21,7Mood,800,/fortnite/7Mood,,,,,,,
22,Gntl,800,/fortnite/GntL,,,,,,,
23,KuKi,800,/fortnite/KuKi,,,,,,,
24,Msg,800,/fortnite/Msg,,,,,,,
25,Vein,800,/fortnite/Vein,,,,,,,
26,AdaM,600,/fortnite/AdaM,,,,,,,
27,Viiroos,600,/fortnite/Viiroos,,,,,,,
28,Abdulelah,600,/fortnite/Abdulelah,,,,,,,
29,Twistnator,600,/fortnite/Twistnator,,,,,,,
30,Unit,600,/fortnite/Unit,,,,,,,
31,Matthew,600,/fortnite/Matthew,,,,,,,
32,Dark,600,/fortnite/Dark_(ME_player),,,,,,,
33,DRaFTell,600,/fortnite/DRaFTell,,,,,,,
34,Yonx,600,/fortnite/Yonx,,,,,,,
35,Xx731,600,/fortnite/Xx731,,,,,,,
36,KiritoKun,600,/fortnite/KiritoKun,,,,,,,
37,Krool,600,/fortnite/Krool,,,,,,,
38,Loki,600,/fortnite/Loki,,,,,,,
39,vagnaR,600,/fortnite/VagnaR,,,,,,,
40,Steady,600,/fortnite/Steady,,,,,,,
41,Linx,600,/fortnite/Linx,,,,,,,
42,Bomba,600,/fortnite/Bomba,,,,,,,
43,IDK,600,/fortnite/IDK,,,,,,,
44,ABUFAL7,600,/fortnite/AbuFal7,,,,,,,
45,Ryzen,600,/fortnite/Ryzen,,,,,,,
46,Hero,600,/fortnite/Hero,,,,,,,
47,Raed,600,/fortnite/Raed,,,,,,,
48,3BoooD,600,/fortnite/3BoooD,,,,,,,
49,Tobi,600,/fortnite/Tobi,,,,,,,
50,7man,600,/fortnite/7man,,,,,,,
51,NJR,400,/fortnite/NJR,,,,,,,
52,Kai,400,/fortnite/Kai,,,,,,,
53,3mory,400,/fortnite/3mory,,,,,,,
54,Unkown,400,/fortnite/Unkown,,,,,,,
55,Souriano,400,/fortnite/Souriano,,,,,,,
56,7mwodHD,400,/fortnite/7mwodHD,,,,,,,
57,FT,400,/fortnite/FT,,,,,,,
58,Fiz,400,/fortnite/Fiz,,,,,,,
59,Murloc,400,/fortnite/Murloc,,,,,,,
60,Vysi,400,/fortnite/Vysi,,,,,,,
61,AX3,400,/fortnite/AX3,,,,,,,
62,MrDom,400,/fortnite/MrDom,,,,,,,
63,Dexefite,400,/fortnite/Dexefite,,,,,,,
64,Salman,400,/fortnite/Salman,,,,,,,
65,Btray,400,/fortnite/Btray,,,,,,,
66,Flamors,400,/fortnite/Flamors,,,,,,,
67,Akai,400,/fortnite/Akai,,,,,,,
68,MidQ,400,/fortnite/MidQ,,,,,,,
69,iExon,400,/fortnite/IExon,,,,,,,
70,Brook,400,/fortnite/Brook,,,,,,,
71,KaKaRoT,400,/fortnite/KaKaRoT,,,,,,,
72,iNawvfz,400,/fortnite/INawvfz,,,,,,,
73,Obito,400,/fortnite/Obito,,,,,,,
74,DREAM,400,/fortnite/DREAM,,,,,,,
75,OutLaw,400,/fortnite/OutLaw,,,,,,,
76,Snowvaks,400,/fortnite/Snowvaks,,,,,,,
77,Az2m,400,/fortnite/Az2m,,,,,,,
78,Kovolski,400,/fortnite/Kovolski,,,,,,,
79,Bnga,400,/fortnite/Bnga,,,,,,,
80,K9,400,/fortnite/K9,,,,,,,
81,Fenix,400,/fortnite/Fenix,,,,,,,
82,TrikShotz,400,/fortnite/TrikShotz,,,,,,,
83,Zeeom,400,/fortnite/Zeeom,,,,,,,
84,Sami,400,/fortnite/Sami_(ME_player),,,,,,,
85,Fantix,400,/fortnite/Fantix,,,,,,,
86,Nachiiri,400,/fortnite/Nachiiri,,,,,,,
87,Azpect,400,/fortnite/Azpect,,,,,,,
88,HBN,400,/fortnite/HBN,,,,,,,
89,Aziz,400,/fortnite/Aziz,,,,,,,
90,QnDx,400,/fortnite/QnDx,,,,,,,
91,I4xPRO,400,/fortnite/I4xPRO,,,,,,,
92,Metab,400,/fortnite/Metab,,,,,,,
93,Aboo6y,400,/fortnite/Aboo6y,,,,,,,
94,Esca,400,/fortnite/Esca,,,,,,,
95,SFA7,400,/fortnite/SFA7,,,,,,,
96,LoFi,400,/fortnite/LoFi,,,,,,,
97,h2nt,400,/fortnite/H2nt,,,,,,,
98,Lucci,400,/fortnite/Lucci_(ME_player),,,,,,,
99,Balor,400,/fortnite/Balor,,,,,,,
100,Wolf,400,/fortnite/Wolf_(ME_player),,,,,,,
