Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Coop,50000,/fortnite/Coop,NAE,Solos,100,100,2020-08-16,2020-08-16,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_3/Grand_Finals/North_America_East
2,Klass,35000,/fortnite/Klass,,,,,,,
3,Xccept,30000,/fortnite/Xccept,,,,,,,
4,Bugha,25000,/fortnite/Bugha,,,,,,,
5,nanolite,19000,/fortnite/Nanolite,,,,,,,
6,Till,12000,/fortnite/Till,,,,,,,
7,Whofishy,9500,/fortnite/Whofishy,,,,,,,
8,illest,6500,/fortnite/Illest,,,,,,,
9,pgod,5000,/fortnite/Pgod,,,,,,,
10,skqttles,4000,/fortnite/Skqttles,,,,,,,
11,TabzG,1800,/fortnite/TabzG,,,,,,,
12,Ajay,1800,/fortnite/Ajay,,,,,,,
13,Exactly,1800,/fortnite/Exactly,,,,,,,
14,Crunchy,1800,/fortnite/Crunchy,,,,,,,
15,Dubs,1800,/fortnite/Dubs,,,,,,,
16,Kiox,1500,/fortnite/Kiox,,,,,,,
17,Okis,1500,/fortnite/Okis,,,,,,,
18,Bully,1500,/fortnite/Bully,,,,,,,
19,blakeps,1500,/fortnite/Blakeps,,,,,,,
20,DeRoller,1500,/fortnite/DeRoller,,,,,,,
21,yung calculator,1500,/fortnite/Yung_calculator,,,,,,,
22,Crimz,1500,/fortnite/Crimz,,,,,,,
23,Gabe,1500,/fortnite/Gabe,,,,,,,
24,Co1azo,1500,/fortnite/Co1azo,,,,,,,
25,Degen,1500,/fortnite/Degen,,,,,,,
26,Ajerss,1200,/fortnite/Ajerss,,,,,,,
27,Clix,1200,/fortnite/Clix,,,,,,,
28,Cazz,1200,/fortnite/Cazz,,,,,,,
29,Jahq,1200,/fortnite/Jahq,,,,,,,
30,Nexy,1200,/fortnite/Nexy,,,,,,,
31,Cid,1200,/fortnite/Cid,,,,,,,
32,Aspect,1200,/fortnite/Aspect,,,,,,,
33,Hypnoz,1200,/fortnite/Hypnoz,,,,,,,
34,Wrigley,1200,/fortnite/Wrigley,,,,,,,
35,Tragix,1200,/fortnite/Tragix,,,,,,,
36,narwhal,1200,/fortnite/Narwhal,,,,,,,
37,NotBuildz,1200,/fortnite/NotBuildz,,,,,,,
38,Jelty,1200,/fortnite/Jelty,,,,,,,
39,Nutex,1200,/fortnite/Nutex,,,,,,,
40,Avivv,1200,/fortnite/Avivv,,,,,,,
41,Doxy,1200,/fortnite/Doxy,,,,,,,
42,Pozed,1200,/fortnite/Pozed,,,,,,,
43,Justice,1200,/fortnite/Justice,,,,,,,
44,Simple,1200,/fortnite/Simple,,,,,,,
45,Zlem,1200,/fortnite/Zlem,,,,,,,
46,Leekura,1200,/fortnite/Leekura,,,,,,,
47,Cozhies,1200,/fortnite/Cozhies,,,,,,,
48,Ronaldo,1200,/fortnite/Ronaldo_(NAE_player),,,,,,,
49,Hajie,1200,/fortnite/Hajie,,,,,,,
50,Divine,1200,/fortnite/Divine,,,,,,,
51,sto,1000,/fortnite/Sto,,,,,,,
52,Pxlarized,1000,/fortnite/Pxlarized,,,,,,,
53,frat,1000,/fortnite/Frat,,,,,,,
54,Runaans,1000,/fortnite/Runaans,,,,,,,
55,Glace,1000,/fortnite/Glace,,,,,,,
56,Bucke,1000,/fortnite/Bucke,,,,,,,
57,King,1000,/fortnite/King,,,,,,,
58,codgenesis,1000,/fortnite/Codgenesis,,,,,,,
59,Trentman,1000,/fortnite/Trentman,,,,,,,
60,Zombie,1000,/fortnite/Zombie,,,,,,,
61,notpandda,1000,/fortnite/Notpandda,,,,,,,
62,Snake,1000,/fortnite/Snake,,,,,,,
63,The Uzi,1000,/fortnite/The_Uzi,,,,,,,
64,Mikey,1000,/fortnite/Mikey,,,,,,,
65,Bweis,1000,/fortnite/Bweis,,,,,,,
66,Jayth,1000,/fortnite/Jayth,,,,,,,
67,Kodi,1000,/fortnite/Kodi,,,,,,,
68,Zolaf,1000,/fortnite/Zolaf,,,,,,,
69,Soul,1000,/fortnite/Soul,,,,,,,
70,roqz,1000,/fortnite/Roqz,,,,,,,
71,Avery,1000,/fortnite/Avery,,,,,,,
72,Binky,1000,/fortnite/Binky,,,,,,,
73,cpc,1000,/fortnite/cpc,,,,,,,
74,Han,1000,/fortnite/Han,,,,,,,
75,Ace1xx,1000,/fortnite/Ace1xx,,,,,,,
76,Fatch,1000,/fortnite/Fatch,,,,,,,
77,Reverse2k,1000,/fortnite/Reverse2k,,,,,,,
78,RogueShark,1000,/fortnite/RogueShark,,,,,,,
79,Kwah,1000,/fortnite/Kwah,,,,,,,
80,Bezerk,1000,/fortnite/Bezerk,,,,,,,
81,Rubyfied,1000,/fortnite/Rubyfied,,,,,,,
82,Spike,1000,/fortnite/Spike,,,,,,,
83,Dwaaal,1000,/fortnite/Dwaaal,,,,,,,
84,Cryp,1000,/fortnite/Cryp,,,,,,,
85,Vibefiez,1000,/fortnite/Vibefiez,,,,,,,
86,Luneze,1000,/fortnite/Luneze,,,,,,,
87,daxor,1000,/fortnite/Daxor,,,,,,,
88,Pxmp,1000,/fortnite/Pxmp,,,,,,,
89,XnB,1000,/fortnite/XnB,,,,,,,
90,cobolt,1000,/fortnite/Cobolt,,,,,,,
91,Stretch,1000,/fortnite/Stretch,,,,,,,
92,PaMstou,1000,/fortnite/PaMstou,,,,,,,
93,Heda,1000,/fortnite/Heda,,,,,,,
94,smqcked,1000,/fortnite/Smqcked,,,,,,,
95,Chimp,1000,/fortnite/Chimp,,,,,,,
96,Khanada,1000,/fortnite/Khanada,,,,,,,
97,MackWood,1000,/fortnite/MackWood,,,,,,,
98,Adonis,1000,/fortnite/Adonis,,,,,,,
99,Teyo,1000,/fortnite/Teyo,,,,,,,
100,Alteu,1000,/fortnite/Alteu,,,,,,,
