Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,verT,20000,/fortnite/VerT,NAW,Solos,100,100,120000,Online,North America,,2020-08-16,2020-08-16,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_3/Grand_Finals/North_America_West
2,Arkhram,13000,/fortnite/Arkhram,,,,,,,,,,,
3,favs,10000,/fortnite/Favs,,,,,,,,,,,
4,Jay,7800,/fortnite/Jay,,,,,,,,,,,
5,FJAA,5600,/fortnite/FJAA,,,,,,,,,,,
6,Pzuhs,4600,/fortnite/Pzuhs,,,,,,,,,,,
7,wavyjacob,4000,/fortnite/Wavyjacob,,,,,,,,,,,
8,Frapai,3500,/fortnite/Frapai,,,,,,,,,,,
9,Chris,3000,/fortnite/Chris,,,,,,,,,,,
10,Adity,2000,/fortnite/Adity,,,,,,,,,,,
11,Falconer,1200,/fortnite/Falconer,,,,,,,,,,,
12,Hov,1200,/fortnite/Hov,,,,,,,,,,,
13,maken,1200,/fortnite/Maken,,,,,,,,,,,
14,toff,1200,/fortnite/Toff,,,,,,,,,,,
15,Caleb,1200,/fortnite/Caleb,,,,,,,,,,,
16,Cereal,800,/fortnite/Cereal,,,,,,,,,,,
17,Mechton,800,/fortnite/Mechton,,,,,,,,,,,
18,Wheels,800,/fortnite/Wheels,,,,,,,,,,,
19,Brycee,800,/fortnite/Brycee,,,,,,,,,,,
20,Devilz,800,/fortnite/Devilz,,,,,,,,,,,
21,Closr,800,/fortnite/Closr,,,,,,,,,,,
22,Par3nthial,800,/fortnite/Par3nthial,,,,,,,,,,,
23,EpikWhale,800,/fortnite/EpikWhale,,,,,,,,,,,
24,Tautai,800,/fortnite/Tautai,,,,,,,,,,,
25,Dylannx,800,/fortnite/Dylannx,,,,,,,,,,,
26,captainy,500,/fortnite/Captainy,,,,,,,,,,,
27,Artemiis,500,/fortnite/Artemiis,,,,,,,,,,,
28,Wood,500,/fortnite/Wood,,,,,,,,,,,
29,natee,500,/fortnite/Natee,,,,,,,,,,,
30,defiable,500,/fortnite/Defiable,,,,,,,,,,,
31,4DRStorm,500,/fortnite/4DRStorm,,,,,,,,,,,
32,asianfeeds,500,/fortnite/Asianfeeds,,,,,,,,,,,
33,Lush,500,/fortnite/Lush,,,,,,,,,,,
34,RichHomieQuinn,500,/fortnite/RichHomieQuinn,,,,,,,,,,,
35,Zeytan,500,/fortnite/Zeytan,,,,,,,,,,,
36,jeffers,500,/fortnite/Jeffers,,,,,,,,,,,
37,Assendant,500,/fortnite/Assendant,,,,,,,,,,,
38,exe,500,/fortnite/Exe,,,,,,,,,,,
39,fecoy,500,/fortnite/Fecoy,,,,,,,,,,,
40,Kewl,500,/fortnite/Kewl,,,,,,,,,,,
41,Pcknn,500,/fortnite/Pcknn,,,,,,,,,,,
42,Icy,500,/fortnite/Icy,,,,,,,,,,,
43,Grim,500,/fortnite/Grim,,,,,,,,,,,
