Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Jynx,10000,/fortnite/Jynx,OCE,Solos,100,100,2020-08-16,2020-08-16,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_3/Grand_Finals/Oceania
2,worthy,5750,/fortnite/Worthy,,,,,,,
3,Rahcks,3250,/fortnite/Rahcks,,,,,,,
4,Asfit,2750,/fortnite/Asfit,,,,,,,
5,RepulseGod,2250,/fortnite/RepulseGod,,,,,,,
6,mrfreshasian,2000,/fortnite/Mrfreshasian,,,,,,,
7,Link,1800,/fortnite/Link,,,,,,,
8,Muz,1600,/fortnite/Muz,,,,,,,
9,slaya,1400,/fortnite/Slaya,,,,,,,
10,zoreh,1200,/fortnite/Zoreh,,,,,,,
11,M0untain,1000,/fortnite/M0untain,,,,,,,
12,Yonduh,1000,/fortnite/Yonduh,,,,,,,
13,SpeedyND,1000,/fortnite/SpeedyND,,,,,,,
14,Jordan,1000,/fortnite/Jordan,,,,,,,
15,Leobestie,1000,/fortnite/Leobestie,,,,,,,
16,looter,800,/fortnite/Looter,,,,,,,
17,Eshz,800,/fortnite/Eshz,,,,,,,
18,Suns,800,/fortnite/Suns,,,,,,,
19,Jesse,800,/fortnite/Jesse,,,,,,,
20,volx,800,/fortnite/Volx,,,,,,,
21,Javery,800,/fortnite/Javery,,,,,,,
22,Sorif,800,/fortnite/Sorif,,,,,,,
23,Squeakz,800,/fortnite/Squeakz,,,,,,,
24,Synaf,800,/fortnite/Synaf,,,,,,,
25,Jahlyn,800,/fortnite/Jahlyn,,,,,,,
26,Oatley,600,/fortnite/Oatley,,,,,,,
27,Tyraxe,600,/fortnite/Tyraxe,,,,,,,
28,Braebe,600,/fortnite/Braebe,,,,,,,
29,Price,600,/fortnite/Price,,,,,,,
30,Forbes,600,/fortnite/Forbes,,,,,,,
31,Will,600,/fortnite/Will,,,,,,,
32,Remi,600,/fortnite/Remi,,,,,,,
33,Apolox,600,/fortnite/Apolox,,,,,,,
34,Shocker,600,/fortnite/Shocker,,,,,,,
35,Dylan,600,/fortnite/Dylan,,,,,,,
36,Sxhweib,600,/fortnite/Sxhweib,,,,,,,
37,Hype,600,/fortnite/Hype,,,,,,,
38,Punga,600,/fortnite/Punga,,,,,,,
39,Korq,600,/fortnite/Korq,,,,,,,
40,ZGMT,600,/fortnite/ZGMT,,,,,,,
41,Kwolit,600,/fortnite/Kwolit,,,,,,,
42,xalkerr,600,/fortnite/Xalkerr,,,,,,,
43,Trixy,600,/fortnite/Trixy,,,,,,,
44,Tuii,600,/fortnite/Tuii,,,,,,,
45,Sio,600,/fortnite/Sio,,,,,,,
46,nunker,600,/fortnite/Nunker,,,,,,,
47,Ronin,600,/fortnite/Ronin_(OCE_player),,,,,,,
48,Jake,600,/fortnite/Jake,,,,,,,
49,Rocheh,600,/fortnite/Rocheh,,,,,,,
50,alecc,600,/fortnite/Alecc,,,,,,,
51,Predepression,400,/fortnite/Predepression,,,,,,,
52,Cyte,400,/fortnite/Cyte,,,,,,,
53,fultyK,400,/fortnite/FultyK,,,,,,,
54,Skvts,400,/fortnite/Skvts,,,,,,,
55,Cat,400,/fortnite/Cat,,,,,,,
56,Russian,400,/fortnite/Russian,,,,,,,
57,Caryion,400,/fortnite/Caryion,,,,,,,
58,M1,400,/fortnite/M1,,,,,,,
59,Paltry,400,/fortnite/Paltry,,,,,,,
60,Zyrox,400,/fortnite/Zyrox,,,,,,,
61,Jace,400,/fortnite/Jace,,,,,,,
62,Movrickz,400,/fortnite/Movrickz,,,,,,,
63,Spraz,400,/fortnite/Spraz,,,,,,,
64,Weeb,400,/fortnite/Weeb,,,,,,,
65,Rian,400,/fortnite/Rian,,,,,,,
66,Stevo,400,/fortnite/Stevo,,,,,,,
67,Qeaxzy,400,/fortnite/Qeaxzy,,,,,,,
68,Kxunai,400,/fortnite/Kxunai,,,,,,,
69,Breso,400,/fortnite/Breso,,,,,,,
70,Keqzu,400,/fortnite/Keqzu,,,,,,,
71,Chizza,400,/fortnite/Chizza,,,,,,,
72,realm,400,/fortnite/Realm,,,,,,,
73,MoopDogg,400,/fortnite/MoopDogg,,,,,,,
74,Zedox,400,/fortnite/Zedox,,,,,,,
75,Anon,400,/fortnite/Anon,,,,,,,
76,Beny,400,/fortnite/Beny,,,,,,,
77,Raptah,400,/fortnite/Raptah,,,,,,,
78,Trexy,400,/fortnite/Trexy,,,,,,,
79,Colt,400,/fortnite/Colt,,,,,,,
80,Tekmarr,400,/fortnite/Tekmarr,,,,,,,
81,Zeif,400,/fortnite/Zeif,,,,,,,
82,zanz,400,/fortnite/Zanz,,,,,,,
83,Rel,400,/fortnite/Rel,,,,,,,
84,DrillaGorilla,400,/fortnite/DrillaGorilla,,,,,,,
85,Goeg,400,/fortnite/Goeg,,,,,,,
86,Cyrex,400,/fortnite/Cyrex,,,,,,,
87,JhK,400,/fortnite/JhK,,,,,,,
88,VenJbo,400,/fortnite/VenJbo,,,,,,,
89,Rhyzah,400,/fortnite/Rhyzah,,,,,,,
90,sparko,400,/fortnite/Sparko,,,,,,,
91,8k,400,/fortnite/8k,,,,,,,
92,Rivlee,400,/fortnite/Rivlee,,,,,,,
93,Doko,400,/fortnite/Doko,,,,,,,
94,Criser,400,/fortnite/Criser,,,,,,,
95,PhluxZy,400,/fortnite/PhluxZy,,,,,,,
96,Karma,400,/fortnite/Karma_(OCE_player),,,,,,,
97,Sarus,400,/fortnite/Sarus,,,,,,,
98,Lupius,400,/fortnite/Lupius,,,,,,,
99,Bantis,400,/fortnite/Bantis,,,,,,,
100,Ferticz,400,/fortnite/Ferticz,,,,,,,
