Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Kurtz;Frosty;Redlee,45000,/fortnite/Kurtz;/fortnite/Frosty;/fortnite/Redlee,BR,Trios,33,33,201600,Online,Brazil,,2020-10-31,2020-11-01,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_4/Grand_Finals/Brazil
2,RustyK;Seeyun;K1nG,30000,/fortnite/RustyK;/fortnite/Seeyun;/fortnite/K1nG,,,,,,,,,,,
3,Gabrielh99;Lasers;technoviking,27000,/fortnite/Gabrielh99;/fortnite/Lasers;/fortnite/Technoviking,,,,,,,,,,,
4,Snow;Diamond;Filipe,22500,/fortnite/Snow_(Brazilian_player);/fortnite/Diamond;/fortnite/Filipe,,,,,,,,,,,
5,Sheco;histtory;Robot,16500,/fortnite/Sheco;/fortnite/Histtory;/fortnite/Robot,,,,,,,,,,,
6,leleo;Diguera;KING,10500,/fortnite/Leleo;/fortnite/Diguera;/fortnite/KING,,,,,,,,,,,
7,Lorax;Ndp;Gustavo,7500,/fortnite/Lorax;/fortnite/Ndp;/fortnite/Gustavo,,,,,,,,,,,
8,KBR;Barella;ReFleTz,4500,/fortnite/KBR;/fortnite/Barella;/fortnite/ReFleTz,,,,,,,,,,,
9,Pattaty;Bagu;Jpsk1ng,3600,/fortnite/Pattaty;/fortnite/Bagu;/fortnite/Jpsk1ng,,,,,,,,,,,
10,Liimaa;Brabo;Scan,3000,/fortnite/Liimaa;/fortnite/Brabo;/fortnite/Scan,,,,,,,,,,,
11,Felipersa;EdRoadToGlory;Nicks,2100,/fortnite/Persa;/fortnite/EdRoadToGlory;/fortnite/Nicks,,,,,,,,,,,
12,mystick;Retake;OPai,2100,/fortnite/Mystick;/fortnite/Retake;/fortnite/Opai,,,,,,,,,,,
13,Cadu;Bedin;Kitoz,2100,/fortnite/Cadu;/fortnite/Bedin;/fortnite/Kitoz,,,,,,,,,,,
14,H4wwk;Suetam;Coca,2100,/fortnite/H4wwk;/fortnite/Suetam;/fortnite/Coca,,,,,,,,,,,
15,Twayko;Fffakkz;Gaston,2100,/fortnite/Twayko;/fortnite/Fffakkz;/fortnite/Gaston,,,,,,,,,,,
16,Pulga;Master;BlackoutZ,1500,/fortnite/Pulga;/fortnite/Master;/fortnite/BlackoutZ,,,,,,,,,,,
17,Pina;HMb;Phzin,1500,/fortnite/Pina_(Brazilian_player);/fortnite/HMb;/fortnite/Phzin,,,,,,,,,,,
18,Nahue;Tade;Dyfs,1500,/fortnite/Nahue;/fortnite/Tade;/fortnite/Dyfs,,,,,,,,,,,
19,Fishy;Riquelmee;Sanku,1500,/fortnite/Fishy;/fortnite/Riquelmee;/fortnite/Sanku,,,,,,,,,,,
20,Dio;Romero;Randu,1500,/fortnite/Dio;/fortnite/Romero;/fortnite/Randu,,,,,,,,,,,
21,Pronextt;Itrol;Facu,1200,/fortnite/Pronextt;/fortnite/Itrol;/fortnite/Facu,,,,,,,,,,,
22,Tecne;Fazer;German62hz,1200,/fortnite/Tecne;/fortnite/Fazer;/fortnite/German62hz,,,,,,,,,,,
23,Izuki;144hz;YounG,1200,/fortnite/Izuki;/fortnite/144hz;/fortnite/YounG,,,,,,,,,,,
24,SantyAntico10;Toba;Khrawn,1200,/fortnite/SantyAntico10;/fortnite/Toba;/fortnite/Khrawn,,,,,,,,,,,
25,Rpg;Irikura;Magni,1200,/fortnite/Rpg;/fortnite/Irikura;/fortnite/Magni,,,,,,,,,,,
26,Dott1;Rynm;Febas,1200,/fortnite/Dott1;/fortnite/Rynm;/fortnite/Febas,,,,,,,,,,,
27,KaykyGames;Insano;LORD,900,/fortnite/KaykyGames;/fortnite/Insano;/fortnite/LORD,,,,,,,,,,,
28,Frans;Kirito;Luki,900,/fortnite/Frans;/fortnite/Kirito;/fortnite/Luki,,,,,,,,,,,
29,Unsual;Opticaal;Juxi,900,/fortnite/Unsual;/fortnite/Opticaal;/fortnite/Juxi,,,,,,,,,,,
30,S6nti;Ian;AgusZK,900,/fortnite/S6nti;/fortnite/Ian;/fortnite/AgusZK,,,,,,,,,,,
31,FERRAZ;Kimera;Giiow,900,/fortnite/FERRAZ;/fortnite/Kimera;/fortnite/Giiow,,,,,,,,,,,
32,Sync Cool;Betto;Navars,900,/fortnite/Sync_Cool;/fortnite/Betto;/fortnite/Navars,,,,,,,,,,,
33,Tomi204;Caduzin;Kallutowski,900,/fortnite/Tomi204;/fortnite/Caduzin;/fortnite/Kallutowski,,,,,,,,,,,
