Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Mongraal;Mitr0;TaySon,111000,/fortnite/Mongraal;/fortnite/Mitr0;/fortnite/TaySon,EU,Trios,33,33,2020-10-31,2020-11-01,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_4/Grand_Finals/Europe
2,Andilex;JannisZ;xsweeze,93000,/fortnite/Andilex;/fortnite/JannisZ;/fortnite/Xsweeze,,,,,,,
3,Flikk;Anas;Th0masHD,75000,/fortnite/Flikk;/fortnite/Anas;/fortnite/Th0masHD,,,,,,,
4,Rakso;Kami;artor,60000,/fortnite/Rakso;/fortnite/Kami;/fortnite/Artor,,,,,,,
5,FlowiS;Endretta;Louis,45000,/fortnite/FlowiS;/fortnite/Endretta;/fortnite/Louis,,,,,,,
6,k1nzell;Wolfiez;crr,36000,/fortnite/K1nzell;/fortnite/Wolfiez;/fortnite/Crr,,,,,,,
7,Floki;Clement;naekoz,28500,/fortnite/Floki;/fortnite/Clement;/fortnite/Naekoz,,,,,,,
8,benjyfishy;MrSavage;LeTsHe,22500,/fortnite/Benjyfishy;/fortnite/MrSavage;/fortnite/LeTsHe,,,,,,,
9,Hen;Decyptos;Putrick,16500,/fortnite/Hen;/fortnite/Decyptos;/fortnite/Putrick,,,,,,,
10,Nate;Rojo;bobo,13500,/fortnite/Nate;/fortnite/Rojo;/fortnite/Bobo,,,,,,,
11,ZQ;Robabz;Blacky,9000,/fortnite/ZQ;/fortnite/Robabz;/fortnite/Blacky,,,,,,,
12,Umplify;Adn;Matsoe,9000,/fortnite/Umplify;/fortnite/Adn;/fortnite/Matsoe,,,,,,,
13,ETq;IboooHai;Hellfire,9000,/fortnite/ETq;/fortnite/IboooHai;/fortnite/Hellfire,,,,,,,
14,Kiraah;Karma;Nuarix,9000,/fortnite/Kiraah;/fortnite/Karma;/fortnite/Nuarix,,,,,,,
15,Safik;Siberiajkee;iRezUmi,9000,/fortnite/Safik;/fortnite/Siberiajkee;/fortnite/IRezUmi,,,,,,,
16,Lnuef;Merijn;Jaspaay,6000,/fortnite/Lnuef;/fortnite/Merijn;/fortnite/Jaspaay,,,,,,,
17,Vetle;IDrop;Styrsix,6000,/fortnite/Vetle;/fortnite/IDrop;/fortnite/Styrsix,,,,,,,
18,BlastR;Nikof;Alpha,6000,/fortnite/BlastR;/fortnite/Nikof;/fortnite/Alpha,,,,,,,
19,Skite;Falconly;Yagsou,6000,/fortnite/Skite;/fortnite/Falconly;/fortnite/Yagsou,,,,,,,
20,Snagged;heatzy;steelix,6000,/fortnite/Snagged;/fortnite/Heatzy;/fortnite/Steelix,,,,,,,
21,pinq;Noward;Verox,4500,/fortnite/Pinq;/fortnite/Noward;/fortnite/Verox,,,,,,,
22,Snap;Miro;Swag,4500,/fortnite/Snap;/fortnite/Miro;/fortnite/Swag,,,,,,,
23,Slovay;Antorak;Slq,4500,/fortnite/Slovay;/fortnite/Antorak;/fortnite/Slq,,,,,,,
24,Setty;Kubx;teeq,4500,/fortnite/Setty;/fortnite/Kubx;/fortnite/Teeq,,,,,,,
25,Legxndz;Kartun;Floriixn,4500,/fortnite/Legxndz;/fortnite/Kartun;/fortnite/Floriixn,,,,,,,
26,Dokko;Geanzha;NemZ,4500,/fortnite/Dokko;/fortnite/Geanzha;/fortnite/NemZ,,,,,,,
27,Seanvp;Sqwinnt;Remix,3000,/fortnite/Seanvp;/fortnite/Sqwinnt;/fortnite/Remix,,,,,,,
28,Vadeal;Fastroki;kylie,3000,/fortnite/Vadeal;/fortnite/Fastroki;/fortnite/Kylie,,,,,,,
29,DKS;Snipe;Mirza,3000,/fortnite/DKS;/fortnite/Snipe;/fortnite/Mirza,,,,,,,
30,Queasy;Milan;chapix,3000,/fortnite/Queasy;/fortnite/Milan;/fortnite/Chapix,,,,,,,
31,Downs2k;PabloWingu;QB,3000,/fortnite/Downs2k;/fortnite/PabloWingu;/fortnite/QB,,,,,,,
32,Pircolino;Smudge;WickesyUK,3000,/fortnite/Pircolino;/fortnite/Smudge;/fortnite/WickesyUK,,,,,,,
33,Rabid;passivq;Carrot,3000,/fortnite/Rabid;/fortnite/Passivq;/fortnite/Carrot,,,,,,,
