Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Slackes;Acorn;Jahq,150000,/fortnite/Slackes;/fortnite/Acorn;/fortnite/Jahq,NAE,Trios,33,32,2021-03-13,2021-03-14,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_5/Grand_Finals/North_America_East
2,Commandment;Cented;Edgey,105000,/fortnite/Commandment;/fortnite/Cented;/fortnite/Edgey,,,,,,,
3,Bucke;Khanada;MackWood,69000,/fortnite/Bucke;/fortnite/Khanada;/fortnite/MackWood,,,,,,,
4,Deyy;Mero;Reverse2k,60000,/fortnite/Deyy;/fortnite/Mero;/fortnite/Reverse2k,,,,,,,
5,Clix;Bugha;Bizzle,54000,/fortnite/Clix;/fortnite/Bugha;/fortnite/Bizzle,,,,,,,
6,Degen;Ajerss;skqttles,45000,/fortnite/Degen;/fortnite/Ajerss;/fortnite/Skqttles,,,,,,,
7,Kreo;illest;Avery,39000,/fortnite/Kreo;/fortnite/Illest;/fortnite/Avery,,,,,,,
8,Zayt;Saf;Stretch,30000,/fortnite/Zayt;/fortnite/Saf;/fortnite/Stretch,,,,,,,
9,teyo;Chimp;Tabnae,24000,/fortnite/Teyo;/fortnite/Chimp;/fortnite/Tabnae,,,,,,,
10,osp;Bully;Fryst,15000,/fortnite/Osp;/fortnite/Bully;/fortnite/Fryst,,,,,,,
11,Gabe;tahi;sprite,9000,/fortnite/Gabe;/fortnite/Tahi;/fortnite/Sprite,,,,,,,
12,Jamper;nosh;Paper,9000,/fortnite/Jamper;/fortnite/Nosh;/fortnite/Paper,,,,,,,
13,Narwhal;Crunchy;Zlem,9000,/fortnite/Narwhal;/fortnite/Crunchy;/fortnite/Zlem,,,,,,,
14,frat;Snake;Pxlarized,9000,/fortnite/Frat;/fortnite/Snake;/fortnite/Pxlarized,,,,,,,
15,Dom;Dusky;Ozirvo,9000,/fortnite/Dom;/fortnite/Dusky;/fortnite/Ozirvo,,,,,,,
16,Ace1xx;Cid;Divine,5400,/fortnite/Ace1xx;/fortnite/Cid;/fortnite/Divine,,,,,,,
17,Crumble;Nexy;Marzz_OW,5400,/fortnite/Crumble;/fortnite/Nexy;/fortnite/Marzz_OW,,,,,,,
18,Avivv;Trashy;Rise,5400,/fortnite/Avivv;/fortnite/Trashy;/fortnite/Rise,,,,,,,
19,Zyfa;nut;Tuexy,5400,/fortnite/Zyfa;/fortnite/Nut;/fortnite/Tuexy,,,,,,,
20,Aspect;Xoonies;npen,5400,/fortnite/Aspect;/fortnite/Xoonies;/fortnite/Npen,,,,,,,
21,Riversan;Cazz;LazarP,3000,/fortnite/Riversan;/fortnite/Cazz;/fortnite/LazarP,,,,,,,
22,LEO2004;Ved;XnB,3000,/fortnite/LEO2004;/fortnite/Ved;/fortnite/XnB,,,,,,,
23,Speguu;Goku;Justice,3000,/fortnite/Speguu;/fortnite/Goku;/fortnite/Justice,,,,,,,
24,Knight;RogueShark;Av,3000,/fortnite/Knight;/fortnite/RogueShark;/fortnite/Av,,,,,,,
25,codgenesis;voil;Pandush,3000,/fortnite/Codgenesis;/fortnite/Voil;/fortnite/Pandush,,,,,,,
26,Predator;Equitz;Hunt,3000,/fortnite/Predator;/fortnite/Equitz;/fortnite/Hunt,,,,,,,
27,notpandda;Squish;sto,1800,/fortnite/Notpandda;/fortnite/Squish;/fortnite/Sto,,,,,,,
28,Atoms;Bread;hctans,1800,/fortnite/Atoms;/fortnite/Bread;/fortnite/hctans,,,,,,,
29,Chay5e;Steanzz;CrackedNL,1800,/fortnite/Chay5e;/fortnite/Steanzz;/fortnite/CrackedNL,,,,,,,
30,Ceice;Animal;The Uzi,1800,/fortnite/Ceice;/fortnite/Animal;/fortnite/The_Uzi,,,,,,,
31,Adrian;Arkive;Clamps,1800,/fortnite/Adrian;/fortnite/Arkive;/fortnite/Clamps,,,,,,,
32,Dukez;Threats;Chap,1800,/fortnite/Dukez;/fortnite/Threats;/fortnite/Chap,,,,,,,
