Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Muz;looter;SpeedyND,22500,/fortnite/Muz;/fortnite/Looter;/fortnite/SpeedyND,OCE,Trios,33,33,2021-03-13,2021-03-14,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_5/Grand_Finals/Oceania
2,Sorif;volx;sync,15000,/fortnite/Sorif;/fortnite/Volx;/fortnite/Sync,,,,,,,
3,suns;tuii;Korq,9000,/fortnite/Suns;/fortnite/Tuii;/fortnite/Korq,,,,,,,
4,Raptah;Prhzy;Oatley,6300,/fortnite/Raptah;/fortnite/Prhzy;/fortnite/Oatley,,,,,,,
5,mrfreshasian;rel;Newbatoon,5400,/fortnite/Mrfreshasian;/fortnite/Rel;/fortnite/Newbatoon,,,,,,,
6,Jynx;alecc;worthy,4500,/fortnite/Jynx;/fortnite/Alecc;/fortnite/Worthy,,,,,,,
7,Remi;Pace;Spraz,3900,/fortnite/Remi;/fortnite/Pace;/fortnite/Spraz,,,,,,,
8,basil;VortexM;Jace,3300,/fortnite/Basil;/fortnite/VortexM;/fortnite/Jace,,,,,,,
9,Pumpkin;Psyper;sunz,2700,/fortnite/Pumpkin;/fortnite/Psyper;/fortnite/Sunz,,,,,,,
10,Breso;Kulture;LunR,1800,/fortnite/Breso;/fortnite/Kulture;/fortnite/LunR,,,,,,,
11,Will;Ronin;Eshz,900,/fortnite/Will;/fortnite/Ronin_(OCE_player);/fortnite/Eshz,,,,,,,
12,zanz;oreo;Raiku,900,/fortnite/Zanz;/fortnite/Oreo;/fortnite/Raiku,,,,,,,
13,Bathan;Zedox;sio,900,/fortnite/Bathan;/fortnite/Zedox;/fortnite/Sio,,,,,,,
14,Nio;fab;Keemo,900,/fortnite/Nio;/fortnite/Fab;/fortnite/Keemo,,,,,,,
15,Kazuki;PLPE DJ;Cryz,900,/fortnite/Kazuki;/fortnite/PLPE_DJ;/fortnite/Cryz,,,,,,,
16,apolox;cleanupcrew;rivlee,750,/fortnite/Apolox;/fortnite/cleanupcrew;/fortnite/Rivlee,,,,,,,
17,Movrickz;macheew;Elusive,750,/fortnite/Movrickz;/fortnite/Macheew;/fortnite/Elusive,,,,,,,
18,2Faulty;Trixy;Venihcy,750,/fortnite/2Faulty;/fortnite/Trixy;/fortnite/Venihcy,,,,,,,
19,District;Bantis;Gusos,750,/fortnite/District;/fortnite/Bantis;/fortnite/Gusos,,,,,,,
20,jvano;Pumaa;MrTassie,750,/fortnite/Jvano;/fortnite/Pumaa;/fortnite/MrTassie,,,,,,,
21,Arrest;Gille;Cynical,600,/fortnite/Arrest;/fortnite/Gille;/fortnite/Cynical,,,,,,,
22,danath;Osiris;skits,600,/fortnite/Danath;/fortnite/Osiris;/fortnite/Skits,,,,,,,
23,RepulseGod;Forbes;Tyraxe,600,/fortnite/RepulseGod;/fortnite/Forbes;/fortnite/Tyraxe,,,,,,,
24,Bluezie;Lazy;Wreckless,600,/fortnite/Bluezie;/fortnite/Lazy;/fortnite/Wreckless,,,,,,,
25,Infusion;Rainxy;Yixsaa,600,/fortnite/Infusion;/fortnite/Rainxy;/fortnite/Yixsaa,,,,,,,
26,Vujcich;Mania;Trexy,600,/fortnite/Vujcich;/fortnite/Mania;/fortnite/Trexy,,,,,,,
27,zoreh;jahlyn;Squeakz,600,/fortnite/Zoreh;/fortnite/Jahlyn;/fortnite/Squeakz,,,,,,,
28,Crippa;Rip;BMP,600,/fortnite/Crippa_(OCE_player);/fortnite/Rip;/fortnite/BMP,,,,,,,
29,Mesportt;sol;Ice,600,/fortnite/Mesportt;/fortnite/Sol;/fortnite/Ice,,,,,,,
30,Shocker;Midnite;Tekmarr,600,/fortnite/Shocker;/fortnite/Midnite;/fortnite/Tekmarr,,,,,,,
31,Peak;Box;Celdom,600,/fortnite/Peak;/fortnite/Box;/fortnite/Celdom,,,,,,,
32,crypton;Aspect;Nep,600,/fortnite/crypton;/fortnite/Aspect_(OCE_player);/fortnite/Nep,,,,,,,
33,TalonTheGoated;Jedinite;Toyswag,600,/fortnite/TalonTheGoated;/fortnite/Jedinite;/fortnite/Toyswag,,,,,,,
