Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Arkhram;Rehx;EpikWhale,75000,/fortnite/Arkhram;/fortnite/Rehx;/fortnite/EpikWhale,NAW,Trios,33,33,2021-05-29,2021-05-30,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_6/Grand_Finals/North_America_West
2,favs;Kenshi;Snacky,48000,/fortnite/Favs;/fortnite/Kenshi;/fortnite/Snacky,,,,,,,
3,Caleb;Tautai;Wheels,30000,/fortnite/Caleb;/fortnite/Tautai;/fortnite/Wheels,,,,,,,
4,Bluzro;Nigel;Nani,24000,/fortnite/Bluzro;/fortnite/Nigel;/fortnite/Nani_(NAW_player),,,,,,,
5,adxm;Cozz;4DRStorm,21000,/fortnite/Adxm;/fortnite/Cozz;/fortnite/4DRStorm,,,,,,,
6,Falconer;Reet;Chris,18000,/fortnite/Falconer;/fortnite/Reet;/fortnite/Chris,,,,,,,
7,Trix;Mony;Reguletor,15000,/fortnite/Trix;/fortnite/Mony;/fortnite/Reguletor,,,,,,,
8,Bacca;Verny;Middi,12000,/fortnite/Bacca;/fortnite/Verny;/fortnite/Middi,,,,,,,
9,Maken;Dog;wavyjacob,9000,/fortnite/Maken;/fortnite/Dog;/fortnite/Wavyjacob,,,,,,,
10,g0dku;Bryan;fecoy,6000,/fortnite/G0dku;/fortnite/Bryan;/fortnite/Fecoy,,,,,,,
11,Riversan;Blizy;Nate,3000,/fortnite/Riversan;/fortnite/Blizy;/fortnite/Nate_(NA_player),,,,,,,
12,Smoq;Poffiee;eclipseNA,3000,/fortnite/Smoq;/fortnite/Poffiee;/fortnite/EclipseNA,,,,,,,
13,Criizux;alithy;Frapai,3000,/fortnite/Criizux;/fortnite/Alithy;/fortnite/Frapai,,,,,,,
14,Trashy;jayrosez;verT,3000,/fortnite/Trashy_(NAW_player);/fortnite/Jayrosez;/fortnite/VerT,,,,,,,
15,little;Temple;Zinqxz,3000,/fortnite/Little;/fortnite/Temple;/fortnite/Zinqxz,,,,,,,
16,Major;Nach;Hov,2400,/fortnite/Major;/fortnite/Nach;/fortnite/Hov,,,,,,,
17,Glace;Domo;Unsightly,2400,/fortnite/Glace;/fortnite/Domo;/fortnite/Unsightly,,,,,,,
18,Hop;Cliprs;Healthy,2400,/fortnite/Hop;/fortnite/Cliprs;/fortnite/Healthy,,,,,,,
19,Sidlah;Mateo;Munk,2400,/fortnite/Sidlah;/fortnite/Mateo;/fortnite/Munk,,,,,,,
20,Jagveer;Mojo;Solution,2400,/fortnite/Jagveer;/fortnite/Mojo;/fortnite/Solution,,,,,,,
21,Slaya;Zehlo;MSE,1500,/fortnite/Slaya_(NAW_player);/fortnite/Zehlo;/fortnite/MSE,,,,,,,
22,RichHomieQuinn;Jucy;Dylannx,1500,/fortnite/RichHomieQuinn;/fortnite/Jucy;/fortnite/Dylannx,,,,,,,
23,glowie;Hitmarker;foreswear,1500,/fortnite/Glowie;/fortnite/Hitmarker;/fortnite/Foreswear,,,,,,,
24,Mudio;Sirbrian;Phntm,1500,/fortnite/Mudio;/fortnite/Brian;/fortnite/Phntm,,,,,,,
25,Batman Bugha;Walay;Sake,1500,/fortnite/Batman_Bugha;/fortnite/Walay;/fortnite/Sake,,,,,,,
26,Luis;Vanillaz;Cesar,1500,/fortnite/Luis;/fortnite/Vanillaz;/fortnite/Cesar,,,,,,,
27,Jadennx;Jeevan;Nico,900,/fortnite/Jadennx;/fortnite/Jeevan;/fortnite/Nico,,,,,,,
28,Ggeez;spideyy;Venor,900,/fortnite/Ggeez;/fortnite/Spideyy;/fortnite/Venor,,,,,,,
29,avail;Jahter;yute,900,/fortnite/Avail;/fortnite/Jahter;/fortnite/Yute,,,,,,,
30,Hyper;Pearl;Kloxic,900,/fortnite/Hyper;/fortnite/Pearl;/fortnite/Kloxic,,,,,,,
31,Keto;Skvdoosh;PaulWrld,900,/fortnite/Keto;/fortnite/Skvdoosh;/fortnite/PaulWrld,,,,,,,
32,Carnage;Jarritos;Aiden,900,/fortnite/Carnage;/fortnite/Jarritos;/fortnite/Aiden,,,,,,,
33,DepX;Yasir;Shifu,900,/fortnite/DepX;/fortnite/Yasir;/fortnite/Shifu,,,,,,,
