Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,pacoteen;clxxer;takachan,36000,/fortnite/Pacoteen;/fortnite/Jqmix;/fortnite/Takachan,AS,Trios,33,32,2021-09-04,2021-09-05,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_7/Grand_Finals/Asia
2,Lettuce;Dokn;Buyuriru,24000,/fortnite/Lettuce;/fortnite/Dokn;/fortnite/Buyuriru,,,,,,,
3,Qjac;Naetor;Alice,15000,/fortnite/Qjac;/fortnite/Naetor;/fortnite/Alice,,,,,,,
4,Allen;Shamokiy;Leyyner,12000,/fortnite/Allen;/fortnite/Shamokiy;/fortnite/Leyyner,,,,,,,
5,2SNgNl;fa1zzy;Jozya,10500,/fortnite/2SNgNl;/fortnite/Fa1zzy;/fortnite/Jozya,,,,,,,
6,Ruri;Raru;Bob,9000,/fortnite/Ruri;/fortnite/Raru;/fortnite/Bob,,,,,,,
7,Ragis;ROCCA;Harukiyo,7500,/fortnite/Ragis;/fortnite/Rocca;/fortnite/Harukiyo,,,,,,,
8,mashiron;wickesy;Clemens,6000,/fortnite/Mashiron;/fortnite/Wickesy_(Japanese_player);/fortnite/Clemens,,,,,,,
9,Seak;Peterpan;Backho,4500,/fortnite/Seak;/fortnite/Peterpan;/fortnite/Backho,,,,,,,
10,Desway;Standry;Quala,3000,/fortnite/Desway;/fortnite/Standry;/fortnite/Quala,,,,,,,
11,Fram;Fleder;Raifer,1500,/fortnite/Fram;/fortnite/Fleder;/fortnite/Raifer,,,,,,,
12,Shunsyan;Runa;Pepoclip,1500,/fortnite/Shunsyan;/fortnite/Runa;/fortnite/Pepo,,,,,,,
13,Demon x;Fiz;Moon,1500,/fortnite/Demon_x;/fortnite/Fiz;/fortnite/Moon,,,,,,,
14,Maluuu;bykn;Jaemon,1500,/fortnite/Maluuu;/fortnite/Bykn;/fortnite/Jaemon,,,,,,,
15,WildHawk;Maufin;Rimr,1500,/fortnite/WildHawk;/fortnite/Maufin;/fortnite/Rimr,,,,,,,
16,c4ddy;overStun;Fortik,1200,/fortnite/C4ddy;/fortnite/OverStun;/fortnite/FORTIK,,,,,,,
17,SwizzY;Ratatouille;Zotax,1200,/fortnite/SwizzY;/fortnite/Ratatouille;/fortnite/Zotax,,,,,,,
18,Maesar;Ess;Macyfishy,1200,/fortnite/Maesar;/fortnite/Ess;/fortnite/Macyfishy,,,,,,,
19,Ren;Kurara;Albedo,1200,/fortnite/Ren;/fortnite/Kurara;/fortnite/Albedo,,,,,,,
20,Bot;stork;KUREN,1200,/fortnite/%E3%81%BC%E3%81%A3%E3%81%A8;/fortnite/Stork;/fortnite/KUREN,,,,,,,
21,Otome;Tzuyu;LODSTK,900,/fortnite/Otome;/fortnite/Tzuyu;/fortnite/LODSTK,,,,,,,
22,XMipoli;Pote;Merem,900,/fortnite/Mipoli;/fortnite/Pote;/fortnite/Merem,,,,,,,
23,Koa;Shuto;Koyota,900,/fortnite/Koa;/fortnite/Shuto;/fortnite/Koyota,,,,,,,
24,RizArt;Rui;Pina,900,/fortnite/RizArt;/fortnite/Rui;/fortnite/Pina,,,,,,,
25,NqRu;Dorappi;Kagetora,900,/fortnite/NqRu;/fortnite/Dorappi;/fortnite/Kagetora,,,,,,,
26,Rainy;miya;Yusea,900,/fortnite/Rainy;/fortnite/Miya;/fortnite/Yusea,,,,,,,
27,Tokumee;Yuki;BOBY,600,/fortnite/Tokumee;/fortnite/Yuki_(Japanese_player);/fortnite/Bobik1ng,,,,,,,
28,Zerokun;Nemesis;Michael8,600,/fortnite/Zerokun;/fortnite/Nemesis;/fortnite/Michael.,,,,,,,
29,Yunseopp;Misty Aim;Quickss,600,/fortnite/Yunseopp;/fortnite/Misty_Aim;/fortnite/Quickss,,,,,,,
30,Shyen;Cafe;Reyt,600,/fortnite/Shyen;/fortnite/Cafe;/fortnite/Reyt,,,,,,,
31,Furami;Sukami;Bunbunchi,600,/fortnite/Furami;/fortnite/Sukami;/fortnite/Bunbunchi,,,,,,,
32,Fedya;Walver;zykas,600,/fortnite/Fedya;/fortnite/Walver;/fortnite/Zykas,,,,,,,
