Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Phantom;Kai;AbuFal7,30000,/fortnite/Phantom;/fortnite/Kai;/fortnite/AbuFal7,ME,Trios,33,32,122250,Online,Middle East,,2021-10-29,2021-10-30,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_2/Season_8/Grand_Finals/Middle_East
2,Hellonsteam;Kalgamer710;Murloc,19500,/fortnite/Hellonsteam;/fortnite/Kalgamer710;/fortnite/Murloc,,,,,,,,,,,
3,Tacky;Lozer;Map,12000,/fortnite/Tacky;/fortnite/Lozer;/fortnite/Map,,,,,,,,,,,
4,Spy;Rapit;Rv,9000,/fortnite/Spy;/fortnite/Rapit;/fortnite/Rv,,,,,,,,,,,
5,FKS;Unit;P5EK,7500,/fortnite/FKS;/fortnite/Unit;/fortnite/P5EK,,,,,,,,,,,
6,Rivo;Faiisal;LeziX,6600,/fortnite/Rivo;/fortnite/Faiisal;/fortnite/LeziX,,,,,,,,,,,
7,Snowvaks;Modisk;Mansour,5400,/fortnite/Snowvaks;/fortnite/Modisk;/fortnite/Mansour,,,,,,,,,,,
8,QnDx;Nachiiri;GntL,4800,/fortnite/QnDx;/fortnite/Nachiiri;/fortnite/GntL,,,,,,,,,,,
9,Speedy;HeiF;7man,4200,/fortnite/Speedy;/fortnite/HeiF;/fortnite/7man,,,,,,,,,,,
10,vagnaR;I4xPRO;Dexefite,2400,/fortnite/VagnaR;/fortnite/I4xPRO;/fortnite/Dexefite,,,,,,,,,,,
11,Balor;Krool;Metab,1350,/fortnite/Balor;/fortnite/Krool;/fortnite/Metab,,,,,,,,,,,
12,Smsom;Njby;NetloV,1350,/fortnite/Smsom;/fortnite/Njby;/fortnite/NetloV,,,,,,,,,,,
13,KiritoKun;Hero;Xx731,1350,/fortnite/KiritoKun;/fortnite/Hero;/fortnite/Xx731,,,,,,,,,,,
14,FHD;Yonx;Nm7,1350,/fortnite/FHD_(Fahad_Almutairi);/fortnite/Yonx;/fortnite/NM7,,,,,,,,,,,
15,DRaFTell;C2razy;Azzx,1350,/fortnite/DRaFTell;/fortnite/C2razy;/fortnite/Azzx,,,,,,,,,,,
16,Hulks;Kinqver;Bleed,900,/fortnite/Hulks;/fortnite/Kinqver;/fortnite/Bleed,,,,,,,,,,,
17,Adapter;Raed;Snowyka,900,/fortnite/Adapter;/fortnite/Raed;/fortnite/Snowyka,,,,,,,,,,,
18,iKoedr;Logic;Fire,900,/fortnite/IKoedr;/fortnite/Logic;/fortnite/Fire_(ME_player),,,,,,,,,,,
19,Souriano;Demon;Msg,900,/fortnite/Souriano;/fortnite/Demon;/fortnite/Msg,,,,,,,,,,,
20,Naifma7;Jounior;Mіѕh,900,/fortnite/Naifma7;/fortnite/Jounior;/fortnite/M%D1%96%D1%95h,,,,,,,,,,,
21,Rider;Epik3z;3z,900,/fortnite/Rider;/fortnite/Epik3z;/fortnite/3z,,,,,,,,,,,
22,Poor;Kero;Rico,900,/fortnite/Poor;/fortnite/Kero;/fortnite/Azizyache32,,,,,,,,,,,
23,Goku;iDxU;KQ,900,/fortnite/Goku_(Bahraini_player);/fortnite/IDxU;/fortnite/KQ,,,,,,,,,,,
24,Layth;Saud;Fzkl,900,/fortnite/Layth;/fortnite/Saud;/fortnite/Fzkl,,,,,,,,,,,
25,Maximus;Salman;Abubakar,900,/fortnite/Maximus;/fortnite/Salman;/fortnite/Abubakar,,,,,,,,,,,
26,Mage;Zevil;SADNESS,900,/fortnite/Mage;/fortnite/Zevil;/fortnite/SADNESS,,,,,,,,,,,
27,Tensa;Pumero;oEthrieum,600,/fortnite/Tensa;/fortnite/Pumero;/fortnite/OEthrieum,,,,,,,,,,,
28,KinG;PEKGL;SIMBA,600,/fortnite/KinG;/fortnite/PEKGL;/fortnite/SIMBA,,,,,,,,,,,
29,Hanzo;Faris;ryzen,600,/fortnite/Hanzo;/fortnite/Faris;/fortnite/Ryzen,,,,,,,,,,,
30,Scorpion;Sweatykun;IKubars,600,/fortnite/Scorpion;/fortnite/Sweatykun;/fortnite/IKubars,,,,,,,,,,,
31,Pexity;Saudilex;JKReet,600,/fortnite/Pexity;/fortnite/Saudilex;/fortnite/JKReet,,,,,,,,,,,
32,Alsahm;K1nG;RamadanYT,600,/fortnite/Alsahm;/fortnite/K1nG_(ME_player);/fortnite/RamadanYT,,,,,,,,,,,
