Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,FKS;Bleed,25000,/fortnite/FKS;/fortnite/Bleed,ME,Duos,50,50,114000,Online,Middle East,,2022-03-04,2022-03-05,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_3/Season_1/Grand_Finals/Middle_East
2,Nachiiri;GntL,16000,/fortnite/Nachiiri;/fortnite/GntL,,,,,,,,,,,
3,FHD;VagnaR,12000,/fortnite/FHD_(Fahad_Yaseer);/fortnite/VagnaR,,,,,,,,,,,
4,Hellonsteam;Kalgamer710,6000,/fortnite/Hellonsteam;/fortnite/Kalgamer710,,,,,,,,,,,
5,Rapit;P5EK,5000,/fortnite/Rapit;/fortnite/P5EK,,,,,,,,,,,
6,Hero;Tacky,4000,/fortnite/Hero;/fortnite/Tacky,,,,,,,,,,,
7,FHD;Yonx,3600,/fortnite/FHD_(Fahad_Almutairi);/fortnite/Yonx,,,,,,,,,,,
8,Balor;Adapter,3200,/fortnite/Balor;/fortnite/Adapter,,,,,,,,,,,
9,iiUniit;Murloc,2800,/fortnite/Unit;/fortnite/Murloc,,,,,,,,,,,
10,3jmy;MSH,2400,/fortnite/3jmy;/fortnite/MSH,,,,,,,,,,,
11,QISI;Henchman,1800,/fortnite/QISI;/fortnite/Henchman,,,,,,,,,,,
12,Hulks;Smsom,1800,/fortnite/Hulks;/fortnite/Smsom,,,,,,,,,,,
13,Speedy;A7med,1800,/fortnite/Speedy;/fortnite/A7med,,,,,,,,,,,
14,NM7;Rv,1800,/fortnite/NM7;/fortnite/Rv,,,,,,,,,,,
15,3mory;SADNESS,1800,/fortnite/3mory;/fortnite/SADNESS,,,,,,,,,,,
16,Arrow;Mshx,1200,/fortnite/Arrow;/fortnite/Mshary_(Mshary_AlShammari),,,,,,,,,,,
17,Escdark;OMxP,1200,/fortnite/Escdark;/fortnite/OMxP,,,,,,,,,,,
18,Be LiKeWaTeR;Wqzzi,1200,/fortnite/Be_LiKeWaTeR;/fortnite/Wqzzi,,,,,,,,,,,
19,Zrex;Kaspr,1200,/fortnite/Zrex;/fortnite/Kaspr,,,,,,,,,,,
20,I4xPRO;Dexefite,1200,/fortnite/I4xPRO;/fortnite/Dexefite,,,,,,,,,,,
21,HeiF;7man,1000,/fortnite/HeiF;/fortnite/7man,,,,,,,,,,,
22,Viiroos;Naif,1000,/fortnite/Viiroos;/fortnite/Naif,,,,,,,,,,,
23,Naifma7;Kinqver,1000,/fortnite/Naifma7;/fortnite/Kinqver,,,,,,,,,,,
24,Foilerz;Clapsy,1000,/fortnite/Foilerz;/fortnite/Clapsy,,,,,,,,,,,
25,3mran;Ziyad,1000,/fortnite/3mran;/fortnite/Ziyad,,,,,,,,,,,
26,KinG;Snoop,800,/fortnite/KinG;/fortnite/Snoop,,,,,,,,,,,
27,FAISAL;K1nG,800,/fortnite/FAISAL;/fortnite/K1nG_(ME_player),,,,,,,,,,,
28,LLJFT;Strike,800,/fortnite/LLJFT;/fortnite/Strike,,,,,,,,,,,
29,Spy;Xx731,800,/fortnite/Spy;/fortnite/Xx731,,,,,,,,,,,
30,Saad;Adwan,800,/fortnite/Saad_(ME_player_2);/fortnite/Adwan,,,,,,,,,,,
31,Faiisal;Azzx,600,/fortnite/Faiisal;/fortnite/Azzx,,,,,,,,,,,
32,1syc0;Stranger,600,/fortnite/1syc0;/fortnite/Stranger,,,,,,,,,,,
33,Pexity;JKReet,600,/fortnite/Pexity;/fortnite/JKReet,,,,,,,,,,,
34,Monstr;Cartel Panda,600,/fortnite/Monstr;/fortnite/Cartel_Panda,,,,,,,,,,,
35,Saio;Kard,600,/fortnite/Saio;/fortnite/Kard,,,,,,,,,,,
36,Saud;Saud,600,/fortnite/Saud_(ME_player_2);/fortnite/Saud,,,,,,,,,,,
37,wolfiizz;KiritoKun,600,/fortnite/Wolfiizz;/fortnite/KiritoKun,,,,,,,,,,,
38,DRaFTell;Rakan,600,/fortnite/DRaFTell;/fortnite/Rakan,,,,,,,,,,,
39,Rampage;Moda200896,600,/fortnite/Rampage;/fortnite/Moda200896,,,,,,,,,,,
40,3BoooD;RdLz,600,/fortnite/3BoooD;/fortnite/RdLz,,,,,,,,,,,
41,Zypher;Alfie,400,/fortnite/Zypher;/fortnite/Alfie,,,,,,,,,,,
42,Krool;Msg,400,/fortnite/Krool;/fortnite/Msg,,,,,,,,,,,
43,Smiky;AbuFal7,400,/fortnite/Smiky;/fortnite/AbuFal7,,,,,,,,,,,
44,Modisk;Mansour,400,/fortnite/Modisk;/fortnite/Mansour,,,,,,,,,,,
45,VRG;Kodex,400,/fortnite/VRG;/fortnite/Kodex,,,,,,,,,,,
46,Souriano;A7MD,400,/fortnite/Souriano;/fortnite/A7mdRqx,,,,,,,,,,,
47,Claw;Fzkl,400,/fortnite/Claw_(ME_player);/fortnite/Fzkl,,,,,,,,,,,
48,Poor;Pumero,400,/fortnite/Poor;/fortnite/Pumero,,,,,,,,,,,
49,Vimcu;Manz,400,/fortnite/Vimcu;/fortnite/Manz,,,,,,,,,,,
50,Mshary;Malkawi,400,/fortnite/Mshary_(Mshari_Khaled);/fortnite/Malkawi,,,,,,,,,,,
