Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Mero;Bugha,130000,/fortnite/Mero;/fortnite/Bugha,NAE,Duos,50,50,634500,Online,North America,,2022-03-05,2022-03-06,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_3/Season_1/Grand_Finals/North_America_East
2,Spayde;Chimp,90000,/fortnite/Spayde;/fortnite/Chimp,,,,,,,,,,,
3,Smite;Larson,70000,/fortnite/Smite;/fortnite/Larson,,,,,,,,,,,
4,Jamper;Dukez,56000,/fortnite/Jamper;/fortnite/Dukez,,,,,,,,,,,
5,Cold;Cented,40000,/fortnite/Cold;/fortnite/Cented,,,,,,,,,,,
6,Acorn;Khanada,32000,/fortnite/Acorn;/fortnite/Khanada,,,,,,,,,,,
7,Deyy;Clix,24000,/fortnite/Deyy;/fortnite/Clix,,,,,,,,,,,
8,Commandment;Stretch,18000,/fortnite/Commandment;/fortnite/Stretch,,,,,,,,,,,
9,DeRoller;Trashy,15000,/fortnite/DeRoller;/fortnite/Trashy,,,,,,,,,,,
10,Peterbot;Kwanti,10000,/fortnite/Peterbot;/fortnite/Kwanti,,,,,,,,,,,
11,Joji;Rocaine,8000,/fortnite/Joji;/fortnite/Rocaine,,,,,,,,,,,
12,Shadow;OmG Me II,8000,/fortnite/Shadow;/fortnite/OmG_Me_II,,,,,,,,,,,
13,Bucke;Cam,8000,/fortnite/Bucke;/fortnite/Cam,,,,,,,,,,,
14,Threats;Userz,8000,/fortnite/Threats;/fortnite/Userz,,,,,,,,,,,
15,Kn1pher;Bylah,8000,/fortnite/Kn1pher;/fortnite/Bylah,,,,,,,,,,,
16,Ajerss;Rise,6000,/fortnite/Ajerss;/fortnite/Rise,,,,,,,,,,,
17,Reducs;Savaje,6000,/fortnite/Reducs;/fortnite/Savaje,,,,,,,,,,,
18,Kreo;VerT,6000,/fortnite/Kreo;/fortnite/VerT,,,,,,,,,,,
19,nosh;Paper,6000,/fortnite/Nosh;/fortnite/Paper,,,,,,,,,,,
20,PaMstou;Fatch,6000,/fortnite/PaMstou;/fortnite/Fatch,,,,,,,,,,,
21,Kwah;Magnolia,1000,/fortnite/Kwah;/fortnite/Magnolia,,,,,,,,,,,
22,Degen;Eomzo,5000,/fortnite/Degen;/fortnite/Eomzo,,,,,,,,,,,
23,Nani;Pxmp,5000,/fortnite/Nani;/fortnite/Pxmp,,,,,,,,,,,
24,Teyo;Plege,5000,/fortnite/Teyo;/fortnite/Plege,,,,,,,,,,,
25,OliverOG;Playify,5000,/fortnite/OliverOG;/fortnite/Playify,,,,,,,,,,,
26,Death;Tabnae,5000,/fortnite/Death;/fortnite/Tabnae,,,,,,,,,,,
27,Crunchy;PUREMON,4000,/fortnite/Crunchy;/fortnite/PUREMON,,,,,,,,,,,
28,Neeqo;Pxlarized,4000,/fortnite/Neeqo;/fortnite/Pxlarized,,,,,,,,,,,
29,Zemo;Npen,4000,/fortnite/Zemo;/fortnite/Npen,,,,,,,,,,,
30,Nounzy;Sprite,4000,/fortnite/Nounzy;/fortnite/Sprite,,,,,,,,,,,
31,Twunti;Resypical,4000,/fortnite/Twunti;/fortnite/Resypical,,,,,,,,,,,
32,Illest;Jahq,3000,/fortnite/Illest;/fortnite/Jahq,,,,,,,,,,,
33,Avivv;Squish,3000,/fortnite/Avivv;/fortnite/Squish,,,,,,,,,,,
34,32wanted;Moo,3000,/fortnite/32wanted;/fortnite/Moo,,,,,,,,,,,
35,Ceice;Elitxe,3000,/fortnite/Ceice;/fortnite/Elitxe,,,,,,,,,,,
36,AsianJeff;Pdplague,3000,/fortnite/AsianJeff;/fortnite/Pdplague,,,,,,,,,,,
37,Twix;Chubs,2000,/fortnite/Twix;/fortnite/Chubs,,,,,,,,,,,
38,F4bled Taco;JaxenJ,2000,/fortnite/F4bled_Taco;/fortnite/JaxenJ,,,,,,,,,,,
39,Walkerz;Golden,2000,/fortnite/Walkerrz;/fortnite/Golden,,,,,,,,,,,
40,Kickz;Amt,2000,/fortnite/Kickz;/fortnite/Amt,,,,,,,,,,,
41,NetZz;Sparkg,2000,/fortnite/NetZz;/fortnite/Sparkg,,,,,,,,,,,
42,Muz;Avery,1500,/fortnite/Muz;/fortnite/Avery,,,,,,,,,,,
43,Cerbs;floodo,1500,/fortnite/Cerbs;/fortnite/Floodo,,,,,,,,,,,
44,Doniee;MackWood,1500,/fortnite/Doniee;/fortnite/MackWood,,,,,,,,,,,
45,Star;Synatron,1500,/fortnite/RnStar;/fortnite/Synatron,,,,,,,,,,,
46,Rythm;Milks,1500,/fortnite/Rythm;/fortnite/Milks,,,,,,,,,,,
47,Speguu;Charlie,1000,/fortnite/Speguu;/fortnite/Charlie,,,,,,,,,,,
48,Beef;Nic,1000,/fortnite/Beef;/fortnite/Nic,,,,,,,,,,,
49,Visxals;Tkay,1000,/fortnite/Visxals;/fortnite/Tkay,,,,,,,,,,,
50,Owl;CrackedNL,1000,/fortnite/Owl;/fortnite/CrackedNL,,,,,,,,,,,
