Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Runa;Pepoclip,30000,/fortnite/Runa;/fortnite/Pepo,AS,Duos,50,50,145000,Online,Asia,,2022-05-28,2022-05-29,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_3/Season_2/Grand_Finals/Asia
2,Alice;wickesy,20000,/fortnite/Alice;/fortnite/Wickesy_(Japanese_player),,,,,,,,,,,
3,Rainy;Albedo,16000,/fortnite/Rainy;/fortnite/Albedo,,,,,,,,,,,
4,Fleder;Harukiyo,10000,/fortnite/Fleder;/fortnite/Harukiyo,,,,,,,,,,,
5,NqRu;XMipoli,8000,/fortnite/NqRu;/fortnite/Mipoli,,,,,,,,,,,
6,Rui;Riam,7000,/fortnite/Rui;/fortnite/RiaM,,,,,,,,,,,
7,Totot;dbyn,6000,/fortnite/Totot;/fortnite/Debuyan,,,,,,,,,,,
8,Ess;Peterpan,5000,/fortnite/Ess;/fortnite/Peterpan,,,,,,,,,,,
9,Phazma;Goma,4000,/fortnite/%E3%81%9B%E3%81%93%E3%81%95%E3%81%BE;/fortnite/Goma,,,,,,,,,,,
10,Zagou;LODSTK,3000,/fortnite/Zagou;/fortnite/LODSTK,,,,,,,,,,,
11,Tori;raru,2000,/fortnite/Tori;/fortnite/Raru,,,,,,,,,,,
12,Qjac;Naetor,2000,/fortnite/Qjac;/fortnite/Naetor,,,,,,,,,,,
13,FU-FU PANDA;Mikoto,2000,/fortnite/FU-FU_PANDA;/fortnite/Mikoto,,,,,,,,,,,
14,Taiya;Rack,2000,/fortnite/Tiarr;/fortnite/Rack,,,,,,,,,,,
15,Rime;Debs,2000,/fortnite/Rime;/fortnite/Debs,,,,,,,,,,,
16,WildHawk;Koyota,1400,/fortnite/WildHawk;/fortnite/Koyota,,,,,,,,,,,
17,Ragis;Macyfishy,1400,/fortnite/Ragis;/fortnite/Macyfishy,,,,,,,,,,,
18,Zenigame;Kogane,1400,/fortnite/Zenigame;/fortnite/Kogane,,,,,,,,,,,
19,Maufin;Rimr,1400,/fortnite/Maufin;/fortnite/Rimr,,,,,,,,,,,
20,Chocoluv;ZAZI,1400,/fortnite/Chocoluv;/fortnite/SAKI,,,,,,,,,,,
21,mashiron;clxxer,1000,/fortnite/Mashiron;/fortnite/Jqmix,,,,,,,,,,,
22,Aim;Yusea,1000,/fortnite/Aim;/fortnite/Yusea,,,,,,,,,,,
23,Minipiyo;bykn,1000,/fortnite/Minipiyo;/fortnite/Bykn,,,,,,,,,,,
24,Mainlyox;Vall,1000,/fortnite/Mainly;/fortnite/Vall,,,,,,,,,,,
25,Cafe;Jaemon,1000,/fortnite/Cafe;/fortnite/Jaemon,,,,,,,,,,,
26,Zuko;Merem,800,/fortnite/Zuko;/fortnite/Merem,,,,,,,,,,,
27,BOBY;MISTER,800,/fortnite/Bobik1ng;/fortnite/MISTER,,,,,,,,,,,
28,Allen;Bob,800,/fortnite/Allen;/fortnite/Bob,,,,,,,,,,,
29,donarin;Rubbia,800,/fortnite/Donarin;/fortnite/Rubbia,,,,,,,,,,,
30,Zerokun;Michael8,800,/fortnite/Zerokun;/fortnite/Michael.,,,,,,,,,,,
31,Frelya;Kowa,600,/fortnite/Frelya;/fortnite/Kowa,,,,,,,,,,,
32,nayker;HENTH,600,/fortnite/Nayker;/fortnite/Henth,,,,,,,,,,,
33,Gettojōji;Pannkasu,600,/fortnite/Gettoj%C5%8Dji;/fortnite/Pannkasu,,,,,,,,,,,
34,Maruo;NoeL,600,/fortnite/Maruo;/fortnite/NoeL_(Japanese_player_2),,,,,,,,,,,
35,Athiel;ROCCA,600,/fortnite/Athiel;/fortnite/Rocca,,,,,,,,,,,
36,Katakuri;Larkpex,600,/fortnite/Katakuri;/fortnite/Larkpex,,,,,,,,,,,
37,Zetsubo;Aimuer,600,/fortnite/Zetsubo;/fortnite/Aimuer,,,,,,,,,,,
38,Macaron;Mell,600,/fortnite/Macaron;/fortnite/Mell,,,,,,,,,,,
39,Shunsyan;Buyuriru,600,/fortnite/Shunsyan;/fortnite/Buyuriru,,,,,,,,,,,
40,Shamokiy;Leyyner,600,/fortnite/Shamokiy;/fortnite/Leyyner,,,,,,,,,,,
41,Flan;Amaou,400,/fortnite/Flan;/fortnite/Amaou,,,,,,,,,,,
42,Kaiz;Pariaru,400,/fortnite/Kaiz;/fortnite/Pariaru,,,,,,,,,,,
43,Fram;Nqpo,400,/fortnite/Fram;/fortnite/Nqpo,,,,,,,,,,,
44,Spayed;KENTAch,400,/fortnite/Spayed;/fortnite/KENTAch,,,,,,,,,,,
45,Mkmkpapa;Kuakua,400,/fortnite/Russ;/fortnite/Kuakua,,,,,,,,,,,
46,Ria;Noa,400,/fortnite/Ria;/fortnite/Noa,,,,,,,,,,,
47,Hocha;Raxly,400,/fortnite/Hocha;/fortnite/Raxly,,,,,,,,,,,
48,HiQ;Velcia,400,/fortnite/HiQ;/fortnite/Velcia,,,,,,,,,,,
49,Tarokichi;Deiru,400,/fortnite/Tarokichi;/fortnite/Deiru,,,,,,,,,,,
50,TORAA;Attakure,400,/fortnite/TORAA;/fortnite/Attakure,,,,,,,,,,,
