Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Krool;Asta,25000,/fortnite/Krool;/fortnite/Asta,ME,Duos,50,50,114000,Online,Middle East,,2022-05-27,2022-05-28,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_3/Season_2/Grand_Finals/Middle_East
2,Xx731;Bleed,16000,/fortnite/Xx731;/fortnite/Bleed,,,,,,,,,,,
3,Pumero;Murloc,12000,/fortnite/Pumero;/fortnite/Murloc,,,,,,,,,,,
4,NM7;Kalgamer710,6000,/fortnite/NM7;/fortnite/Kalgamer710,,,,,,,,,,,
5,Arrow;Smsom,5000,/fortnite/Arrow;/fortnite/Smsom,,,,,,,,,,,
6,DRaFTell;Kai,4000,/fortnite/DRaFTell;/fortnite/Kai,,,,,,,,,,,
7,I4xPRO;Dexefite,3600,/fortnite/I4xPRO;/fortnite/Dexefite,,,,,,,,,,,
8,Spy;FKS,3200,/fortnite/Spy;/fortnite/FKS,,,,,,,,,,,
9,Adapter;Mansour,2800,/fortnite/Adapter;/fortnite/Mansour,,,,,,,,,,,
10,Rampage;Moda200896,2400,/fortnite/Rampage;/fortnite/Moda200896,,,,,,,,,,,
11,Rapit;P5EK,1800,/fortnite/Rapit;/fortnite/P5EK,,,,,,,,,,,
12,Speedy;Balor,1800,/fortnite/Speedy;/fortnite/Balor,,,,,,,,,,,
13,FHD2;KiritoKun,1800,/fortnite/FHD_(Fahad_Yaseer);/fortnite/KiritoKun,,,,,,,,,,,
14,Nachiiri;GntL,1800,/fortnite/Nachiiri;/fortnite/GntL,,,,,,,,,,,
15,Hero;Tacky,1800,/fortnite/Hero;/fortnite/Tacky,,,,,,,,,,,
16,Escdark;OMxP,1200,/fortnite/Escdark;/fortnite/OMxP,,,,,,,,,,,
17,Flood;oEthrieum,1200,/fortnite/Flood;/fortnite/OEthrieum,,,,,,,,,,,
18,Hellonsteam;Vysi,1200,/fortnite/Hellonsteam;/fortnite/Vysi,,,,,,,,,,,
19,Sattam;Snowy,1200,/fortnite/Sattam;/fortnite/Snowy,,,,,,,,,,,
20,Poor;Kard,1200,/fortnite/Poor;/fortnite/Kard,,,,,,,,,,,
21,Controller;3R8,1000,/fortnite/Controller;/fortnite/3R8,,,,,,,,,,,
22,FHD;Yonx,1000,/fortnite/FHD_(Fahad_Almutairi);/fortnite/Yonx,,,,,,,,,,,
23,HeiF;7man,1000,/fortnite/HeiF;/fortnite/7man,,,,,,,,,,,
24,VagnaR;Metab,1000,/fortnite/VagnaR;/fortnite/Metab,,,,,,,,,,,
25,FAISAL;Wqzzi,1000,/fortnite/FAISAL;/fortnite/Wqzzi,,,,,,,,,,,
26,MMeow;Lord,800,/fortnite/MMeow;/fortnite/Lord,,,,,,,,,,,
27,Viiroos;Adwan,800,/fortnite/Viiroos;/fortnite/Adwan,,,,,,,,,,,
28,3mory;KaKaRoT,800,/fortnite/3mory;/fortnite/KaKaRoT,,,,,,,,,,,
29,Beq;Fear5754,800,/fortnite/Beq;/fortnite/Fear5754,,,,,,,,,,,
30,RamadanYT;RuNL,800,/fortnite/RamadanYT;/fortnite/RuNL,,,,,,,,,,,
31,I5adx;VRG,600,/fortnite/I5adx;/fortnite/VRG,,,,,,,,,,,
32,KuKi;Phantom,600,/fortnite/KuKi;/fortnite/Phantom,,,,,,,,,,,
33,Salvatore;Henchman,600,/fortnite/Salvatore;/fortnite/Henchman,,,,,,,,,,,
34,Snowvaks;Rakan,600,/fortnite/Snowvaks;/fortnite/Rakan,,,,,,,,,,,
35,N7R;RayGun,600,/fortnite/N7R;/fortnite/RayGun,,,,,,,,,,,
36,KinG;Snoop,600,/fortnite/KinG;/fortnite/Snoop,,,,,,,,,,,
37,Mshx;PEKGL,600,/fortnite/Mshary_(Mshary_AlShammari);/fortnite/PEKGL,,,,,,,,,,,
38,Alfie;KIANDR0,600,/fortnite/Alfie;/fortnite/KIANDR0,,,,,,,,,,,
39,Modisk;ABUFAL7,600,/fortnite/Modisk;/fortnite/AbuFal7,,,,,,,,,,,
40,Builder;Be LiKeWaTeR,600,/fortnite/Builder;/fortnite/Be_LiKeWaTeR,,,,,,,,,,,
41,Hulks;Rv,400,/fortnite/Hulks;/fortnite/Rv,,,,,,,,,,,
42,LLJFT;K1nG,400,/fortnite/LLJFT;/fortnite/K1nG_(ME_player),,,,,,,,,,,
43,M7sn;Flxzy,400,/fortnite/M7sn;/fortnite/Flxzy,,,,,,,,,,,
44,wolfiizz;Manz,400,/fortnite/Wolfiizz;/fortnite/Manz,,,,,,,,,,,
45,Goku;KQ,400,/fortnite/Goku_(Bahraini_player);/fortnite/KQ,,,,,,,,,,,
46,Tmabood;WCAEQ,400,/fortnite/Tmabood;/fortnite/WCAEQ,,,,,,,,,,,
47,Clapsy;JKReet,400,/fortnite/Clapsy;/fortnite/JKReet,,,,,,,,,,,
48,Ziyad;Bd,400,/fortnite/Ziyad;/fortnite/Bd,,,,,,,,,,,
49,RKNPARS;Hardi,400,/fortnite/RKNPARS;/fortnite/Hardi,,,,,,,,,,,
50,LORDUID;Az2m,400,/fortnite/LORDUID;/fortnite/Az2m,,,,,,,,,,,
