Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,favs;Snacky,45000,/fortnite/Favs;/fortnite/Snacky,NAW,Duos,50,50,2022-05-28,2022-05-29,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_3/Season_2/Grand_Finals/North_America_West
2,Rehx;Reet,36000,/fortnite/Rehx;/fortnite/Reet,,,,,,,
3,Arkhram;EpikWhale,28000,/fortnite/Arkhram;/fortnite/EpikWhale,,,,,,,
4,Bacon;Zookez,22000,/fortnite/Bacon;/fortnite/Zookez,,,,,,,
5,Alliege;DragonRG,18000,/fortnite/Alliege;/fortnite/DragonRG,,,,,,,
6,Parz;Rays,14000,/fortnite/Parz;/fortnite/Rays,,,,,,,
7,Evol;On1,10000,/fortnite/Evol;/fortnite/On1,,,,,,,
8,Vanillaz;Wavyjacob,8000,/fortnite/Vanillaz;/fortnite/Wavyjacob,,,,,,,
9,Keto;Rasso,6000,/fortnite/Keto;/fortnite/Rasso,,,,,,,
10,Nigel;Angel,4000,/fortnite/Nigel;/fortnite/Angel,,,,,,,
11,Sxhool;Knzo,3000,/fortnite/Sxhool;/fortnite/Knzo,,,,,,,
12,Lanjok;Punisher,3000,/fortnite/Lanjok;/fortnite/Punisher,,,,,,,
13,ChickenItza;andyvencha,3000,/fortnite/ChickenItza;/fortnite/Andyvencha,,,,,,,
14,Batman Bugha;Wheels,3000,/fortnite/Batman_Bugha;/fortnite/Wheels,,,,,,,
15,Kxvin1x;Yasir,3000,/fortnite/Kxvin1x;/fortnite/Yasir,,,,,,,
16,Caleb;Solution,2000,/fortnite/Caleb;/fortnite/Solution,,,,,,,
17,Yumi;Squishy,2000,/fortnite/Yumi;/fortnite/Squishy,,,,,,,
18,Leo;CreepWtf,2000,/fortnite/Leo_(NAW_player);/fortnite/CreepWtf,,,,,,,
19,Tavern;Nico,2000,/fortnite/Tavern;/fortnite/Nico,,,,,,,
20,Xayrez;fecoy,2000,/fortnite/Xayrez;/fortnite/Fecoy,,,,,,,
21,Ryaic;Reminisciin,1200,/fortnite/Ryaic;/fortnite/Reminisciin,,,,,,,
22,jeffers;Crmzn,1200,/fortnite/Jeffers;/fortnite/Crmzn,,,,,,,
23,Chicken;Mechton,1200,/fortnite/Chicken;/fortnite/Mechton,,,,,,,
24,Nitrix;Cesar,1200,/fortnite/Nitrix;/fortnite/Cesar,,,,,,,
25,Krypas;Thor,1200,/fortnite/Krypas;/fortnite/Thor,,,,,,,
26,Salko;Kimchi,900,/fortnite/Salko;/fortnite/Kimchi,,,,,,,
27,Aiden;MooseGGs,900,/fortnite/Aiden;/fortnite/MooseGGs,,,,,,,
28,Cyrzr;Zinqxz,900,/fortnite/Cyrzr;/fortnite/Zinqxz,,,,,,,
29,Nach;YooSaltyy,900,/fortnite/Nach;/fortnite/YooSaltyy,,,,,,,
30,VicterV;Jadennx,900,/fortnite/VicterV;/fortnite/Jadennx,,,,,,,
31,Jagveer;Chris,800,/fortnite/Jagveer;/fortnite/Chris,,,,,,,
32,SlickNick;Convic,800,/fortnite/SlickNick;/fortnite/Convic,,,,,,,
33,Trey;Dom,800,/fortnite/Trey;/fortnite/Dom_(NAW_player),,,,,,,
34,Rexzi;Dynamic,800,/fortnite/Rexzi;/fortnite/Dynamic,,,,,,,
35,Xeo;Pollo,800,/fortnite/Xeo;/fortnite/Pollo,,,,,,,
36,JG9;Elevated,700,/fortnite/JG9;/fortnite/Elevated,,,,,,,
37,Backitty;Przm,700,/fortnite/Backitty;/fortnite/Przm,,,,,,,
38,Cheatrs;Bdawg,700,/fortnite/Cheatrs;/fortnite/Bdawg,,,,,,,
39,LemonBowl;Ryanfps,700,/fortnite/LemonBowl;/fortnite/Ryanfps,,,,,,,
40,Lime;Chip,700,/fortnite/Lime;/fortnite/Chip,,,,,,,
41,Middi;Kaboo,600,/fortnite/Middi;/fortnite/Kaboo,,,,,,,
42,Beast;Tautai,600,/fortnite/Beast;/fortnite/Tautai,,,,,,,
43,Flameback;Ghsty,600,/fortnite/Flameback;/fortnite/Ghsty,,,,,,,
44,Amp;July,600,/fortnite/Amp;/fortnite/July221,,,,,,,
45,FJAA;Buzzo,600,/fortnite/FJAA;/fortnite/Buzzo,,,,,,,
46,Source;Walay,500,/fortnite/Source;/fortnite/Walay,,,,,,,
47,Apar;Vehx,500,/fortnite/Apar;/fortnite/Vehx,,,,,,,
48,Diego locs;Cyperzz,500,/fortnite/Diego_locs;/fortnite/Cyperzz,,,,,,,
49,Sedna;physicss,500,/fortnite/Sedna;/fortnite/Physicss,,,,,,,
50,Compalomp;Cear,500,/fortnite/Compalomp;/fortnite/Cear,,,,,,,
