Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Retake;Nov1ce,40000,/fortnite/Retake;/fortnite/Nov1ce,BR,Duos,50,50,2022-08-13,2022-08-14,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_3/Season_3/Grand_Finals/Brazil
2,Ed;Seeyun,30000,/fortnite/EdRoadToGlory;/fortnite/Seeyun,,,,,,,
3,Diguera;Persa,24000,/fortnite/Diguera;/fortnite/Persa,,,,,,,
4,Redlee;Scarpa,18000,/fortnite/Redlee;/fortnite/Scarpa,,,,,,,
5,Frosty;WeY,16000,/fortnite/Frosty;/fortnite/WeY,,,,,,,
6,GxT;Nathes,14000,/fortnite/GxT;/fortnite/Nathes,,,,,,,
7,Bagu;Histtory,12000,/fortnite/Bagu;/fortnite/Histtory,,,,,,,
8,Izuki;Tisco,10000,/fortnite/Izuki;/fortnite/Tisco,,,,,,,
9,BrYANN;Past,8000,/fortnite/BrYANN;/fortnite/Past,,,,,,,
10,Rynm;Kurtz,6000,/fortnite/Rynm;/fortnite/Kurtz,,,,,,,
11,Taka;Akla,4000,/fortnite/Taka;/fortnite/Akla,,,,,,,
12,Liimaa;Gabzeralindo,4000,/fortnite/Liimaa;/fortnite/Gabzeralindo,,,,,,,
13,KaykyGames;Kchorro,4000,/fortnite/KaykyGames;/fortnite/Kchorro,,,,,,,
14,Cadu;Bedin,4000,/fortnite/Cadu;/fortnite/Bedin,,,,,,,
15,RustyK;Tecne,4000,/fortnite/RustyK;/fortnite/Tecne,,,,,,,
16,Suetam;KING,3000,/fortnite/Suetam;/fortnite/KING,,,,,,,
17,Phzin;Kitoz,3000,/fortnite/Phzin;/fortnite/Kitoz,,,,,,,
18,Snohxx;night,3000,/fortnite/Snohxx;/fortnite/Night,,,,,,,
19,LuLuzito;Teuzz,3000,/fortnite/LuLuzito;/fortnite/Teuzz,,,,,,,
20,KBR;Xeat,3000,/fortnite/KBR;/fortnite/Xeat,,,,,,,
21,Fishy;Sanku,2000,/fortnite/Fishy;/fortnite/Sanku,,,,,,,
22,Kashi;Dream,2000,/fortnite/Kashi;/fortnite/Dream,,,,,,,
23,Mojak;axadasz,2000,/fortnite/Mojak;/fortnite/Axadasz,,,,,,,
24,Stryker;German62hz,2000,/fortnite/Stryker;/fortnite/German62hz,,,,,,,
25,Pacheco;Vitinho,2000,/fortnite/Pacheco;/fortnite/Vitinho,,,,,,,
26,Guneves;Barroso,1200,/fortnite/Guneves;/fortnite/Barroso,,,,,,,
27,Pokke;BRABOX,1200,/fortnite/Pokke;/fortnite/BRABOX,,,,,,,
28,Guuh;Filipe,1200,/fortnite/Guuh;/fortnite/Filipe,,,,,,,
29,Diamond;Robot,1200,/fortnite/Diamond;/fortnite/Robot,,,,,,,
30,Collet;Spitflow,1200,/fortnite/Collet;/fortnite/Spitflow,,,,,,,
31,Jpsk1ng;Magni,800,/fortnite/Jpsk1ng;/fortnite/Magni,,,,,,,
32,Slw;GSX,800,/fortnite/Slw;/fortnite/GSX,,,,,,,
33,Gabrielh99;technoviking,800,/fortnite/Gabrielh99;/fortnite/Technoviking,,,,,,,
34,H4wwk;Edson,800,/fortnite/H4wwk;/fortnite/Edson,,,,,,,
35,Talls;Fazer,800,/fortnite/Talls;/fortnite/Fazer,,,,,,,
36,Insano;LORD,600,/fortnite/Insano;/fortnite/LORD,,,,,,,
37,Duda;Benado,600,/fortnite/Duda;/fortnite/Benado,,,,,,,
38,Keicox;Gangi,600,/fortnite/Keicox;/fortnite/Gangi,,,,,,,
39,Magia Jr;Myst,600,/fortnite/Magia_Jr;/fortnite/Myst,,,,,,,
40,Yagami;Gaboway,600,/fortnite/Yagami;/fortnite/Gaboway,,,,,,,
41,Parkyn;Granjero,500,/fortnite/Parkyn;/fortnite/Granjero,,,,,,,
42,Nutifps;manocaki,500,/fortnite/Nutifps;/fortnite/Manocaki,,,,,,,
43,Frans;OPai,500,/fortnite/Frans;/fortnite/Opai,,,,,,,
44,Lauchag;Trueno,500,/fortnite/Lauchag;/fortnite/Trueno,,,,,,,
45,Ninja;shoks,500,/fortnite/Ninja;/fortnite/shoks,,,,,,,
46,Sonicwyd;Jxao1x,400,/fortnite/Sonicwyd;/fortnite/Jxao1x,,,,,,,
47,NTz;Strendd,400,/fortnite/NTz;/fortnite/Strendd,,,,,,,
48,mystick;Attay,400,/fortnite/Mystick;/fortnite/Attay,,,,,,,
49,Grx;Gutofps,400,/fortnite/Grx;/fortnite/Gutofps,,,,,,,
50,ReFleTz;Kuro,400,/fortnite/ReFleTz;/fortnite/Kuro,,,,,,,
