Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Commandment;Avery,160000,/fortnite/Commandment;/fortnite/Avery,NAE,Duos,50,50,2022-08-13,2022-08-14,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_3/Season_3/Grand_Finals/North_America_East
2,Mero;Bugha,100000,/fortnite/Mero;/fortnite/Bugha,,,,,,,
3,PaMstou;Fatch,80000,/fortnite/PaMstou;/fortnite/Fatch,,,,,,,
4,Dukez;Clix,56000,/fortnite/Dukez;/fortnite/Clix,,,,,,,
5,Ajerss;Khanada,40000,/fortnite/Ajerss;/fortnite/Khanada,,,,,,,
6,Bylah;Peterbot,32000,/fortnite/Bylah;/fortnite/Peterbot,,,,,,,
7,Acorn;Edgey,24000,/fortnite/Acorn;/fortnite/Edgey,,,,,,,
8,Jamper;Eomzo,18000,/fortnite/Jamper;/fortnite/Eomzo,,,,,,,
9,Threats;MackWood,15000,/fortnite/Threats;/fortnite/MackWood,,,,,,,
10,Trashy;Rise,10000,/fortnite/Trashy;/fortnite/Rise,,,,,,,
11,Shadow;Walkerz,8000,/fortnite/Shadow;/fortnite/Walkerrz,,,,,,,
12,Paper;Lawrence,8000,/fortnite/Paper;/fortnite/Lawrence,,,,,,,
13,Cazz;Whofishy,8000,/fortnite/Cazz;/fortnite/Whofishy,,,,,,,
14,Shonye;OmG Me II,8000,/fortnite/Shonye;/fortnite/OmG_Me_II,,,,,,,
15,Narwhal;Cam,8000,/fortnite/Narwhal;/fortnite/Cam,,,,,,,
16,Ceice;Deyy,6000,/fortnite/Ceice;/fortnite/Deyy,,,,,,,
17,Dom;Tragix,6000,/fortnite/Dom;/fortnite/Tragix,,,,,,,
18,Teyo;Pxmp,6000,/fortnite/Teyo;/fortnite/Pxmp,,,,,,,
19,Slackes;ClarityG,6000,/fortnite/Slackes;/fortnite/ClarityG,,,,,,,
20,Avivv;Doniee,6000,/fortnite/Avivv;/fortnite/Doniee,,,,,,,
21,Death;Tabnae,5000,/fortnite/Death;/fortnite/Tabnae,,,,,,,
22,Kwah;TabzG,5000,/fortnite/Kwah;/fortnite/TabzG,,,,,,,
23,Nut;Chukky,5000,/fortnite/Nut;/fortnite/Chukky,,,,,,,
24,Costa;Zeus,5000,/fortnite/Costa;/fortnite/Zeus,,,,,,,
25,Cold;Cented,5000,/fortnite/Cold;/fortnite/Cented,,,,,,,
26,Chubs;JaxenJ,4000,/fortnite/Chubs;/fortnite/JaxenJ,,,,,,,
27,Twunti;Rythm,4000,/fortnite/Twunti;/fortnite/Rythm,,,,,,,
28,Brycx;Nosn,4000,/fortnite/Brycx;/fortnite/Nosn,,,,,,,
29,Kickz;Sphinx,4000,/fortnite/Kickz;/fortnite/Sphinx,,,,,,,
30,Cooper;Nani,4000,/fortnite/Cooper;/fortnite/Nani,,,,,,,
31,Nevify;Krisp,3000,/fortnite/Nevify;/fortnite/Krisp,,,,,,,
32,Ritual;Tkay,3000,/fortnite/Ritual;/fortnite/Tkay,,,,,,,
33,Muz;Playify,3000,/fortnite/Muz;/fortnite/Playify,,,,,,,
34,Blakeps;VerT,3000,/fortnite/Blakeps;/fortnite/VerT,,,,,,,
35,F4bled Taco;ChewyPog,3000,/fortnite/F4bled_Taco;/fortnite/ChewyPog,,,,,,,
36,Neeqo;Casqer,2400,/fortnite/Neeqo;/fortnite/Casqer,,,,,,,
37,Kwanti;Pxlarized,2400,/fortnite/Kwanti;/fortnite/Pxlarized,,,,,,,
38,Gold;Magnolia,2400,/fortnite/Gold;/fortnite/Magnolia,,,,,,,
39,Nosh;Jahq,2400,/fortnite/Nosh;/fortnite/Jahq,,,,,,,
40,Skqttles;Userz,2400,/fortnite/Skqttles;/fortnite/Userz,,,,,,,
41,DeRoller;Kn1pher,1600,/fortnite/DeRoller;/fortnite/Kn1pher,,,,,,,
42,Degen;Plege,1600,/fortnite/Degen;/fortnite/Plege,,,,,,,
43,Rocaine;Dubs,1600,/fortnite/Rocaine;/fortnite/Dubs,,,,,,,
44,Nyx;Nic,1600,/fortnite/Nyx;/fortnite/Nic,,,,,,,
45,Spayde;Chimp,1600,/fortnite/Spayde;/fortnite/Chimp,,,,,,,
46,Aaron;naevz,1400,/fortnite/Aaron;/fortnite/Naevz,,,,,,,
47,Glace;Elitxe,1400,/fortnite/Glace;/fortnite/Elitxe,,,,,,,
48,Av;Golden,1400,/fortnite/Av;/fortnite/Golden,,,,,,,
49,Tahi;BankTeller,1400,/fortnite/Tahi;/fortnite/BankTeller,,,,,,,
50,Mason;Npen,1400,/fortnite/Mason;/fortnite/Npen,,,,,,,
