Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Kewl;Yumi,45000,/fortnite/Kewl;/fortnite/Yumi,NAW,Duos,50,49,239500,Online,North America,,2022-08-13,2022-08-14,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Chapter_3/Season_3/Grand_Finals/North_America_West
2,Bacca;On1,36000,/fortnite/Bacca;/fortnite/On1,,,,,,,,,,,
3,favs;Snacky,28000,/fortnite/Favs;/fortnite/Snacky,,,,,,,,,,,
4,defiable;Cyperzz,22000,/fortnite/Defiable;/fortnite/Cyperzz,,,,,,,,,,,
5,Bacon;Zookez,18000,/fortnite/Bacon;/fortnite/Zookez,,,,,,,,,,,
6,TrapKilled;Cesar,14000,/fortnite/TrapKilled;/fortnite/Cesar,,,,,,,,,,,
7,Zno;Nach,10000,/fortnite/Zno;/fortnite/Nach,,,,,,,,,,,
8,Jagveer;Sxhool,8000,/fortnite/Jagveer;/fortnite/Sxhool,,,,,,,,,,,
9,Caleb;Batman Bugha,6000,/fortnite/Caleb;/fortnite/Batman_Bugha,,,,,,,,,,,
10,kadenOX;Chris,4000,/fortnite/KadenOX;/fortnite/Chris,,,,,,,,,,,
11,Reet;EpikWhale,3000,/fortnite/Reet;/fortnite/EpikWhale,,,,,,,,,,,
12,Lanjok;Punisher,3000,/fortnite/Lanjok;/fortnite/Punisher,,,,,,,,,,,
13,Criizux;Jelty,3000,/fortnite/Criizux;/fortnite/Jelty,,,,,,,,,,,
14,Knzo;Nico,3000,/fortnite/Knzo;/fortnite/Nico,,,,,,,,,,,
15,Xeo;Pollo,3000,/fortnite/Xeo;/fortnite/Pollo,,,,,,,,,,,
16,Krypas;Diego locs,2000,/fortnite/Krypas;/fortnite/Diego_locs,,,,,,,,,,,
17,Trey;Dom,2000,/fortnite/Trey;/fortnite/Dom_(NAW_player),,,,,,,,,,,
18,Middi;MooseGGs,2000,/fortnite/Middi;/fortnite/MooseGGs,,,,,,,,,,,
19,Beast;Tautai,2000,/fortnite/Beast;/fortnite/Tautai,,,,,,,,,,,
20,Razez;Highr,2000,/fortnite/Razez;/fortnite/Highr,,,,,,,,,,,
21,Vanillaz;wavyjacob,1200,/fortnite/Vanillaz;/fortnite/Wavyjacob,,,,,,,,,,,
22,YooSaltyy;Aiden,1200,/fortnite/YooSaltyy;/fortnite/Aiden,,,,,,,,,,,
23,Squishy;Cheatrs,1200,/fortnite/Squishy;/fortnite/Cheatrs,,,,,,,,,,,
24,Tavern;Salko,1200,/fortnite/Tavern;/fortnite/Salko,,,,,,,,,,,
25,Lime;Poppin,1200,/fortnite/Lime;/fortnite/Poppin,,,,,,,,,,,
26,lmao;Silxzys,900,/fortnite/Lmao;/fortnite/Silxzys,,,,,,,,,,,
27,Yasir;Kruyor,900,/fortnite/Yasir;/fortnite/Kruyor,,,,,,,,,,,
28,jeffers;exe,900,/fortnite/Jeffers;/fortnite/Exe,,,,,,,,,,,
29,Alliege;DragonRG,900,/fortnite/Alliege;/fortnite/DragonRG,,,,,,,,,,,
30,Parz;Rays,900,/fortnite/Parz;/fortnite/Rays,,,,,,,,,,,
31,Keto;Rasso,800,/fortnite/Keto;/fortnite/Rasso,,,,,,,,,,,
32,Reminisciin;Kimchi,800,/fortnite/Reminisciin;/fortnite/Kimchi,,,,,,,,,,,
33,Coolsito;Luisart,800,/fortnite/Coolsito;/fortnite/Luisart,,,,,,,,,,,
34,Chicken;Mechton,800,/fortnite/Chicken;/fortnite/Mechton,,,,,,,,,,,
35,Nitrix;Blizy,800,/fortnite/Nitrix;/fortnite/Blizy,,,,,,,,,,,
36,Apar;Vehx,700,/fortnite/Apar;/fortnite/Vehx,,,,,,,,,,,
37,ETzo;MoonBaboon,700,/fortnite/ETzo;/fortnite/MoonBaboon,,,,,,,,,,,
38,Akau;Ty,700,/fortnite/Akau;/fortnite/Ty,,,,,,,,,,,
39,Source;Walay,700,/fortnite/Source;/fortnite/Walay,,,,,,,,,,,
40,cyrzr;Jay,700,/fortnite/Cyrzr;/fortnite/Jay,,,,,,,,,,,
41,Jakearooniee;Vlux,600,/fortnite/Jakearooniee;/fortnite/Vlux,,,,,,,,,,,
42,Xayrez;fecoy,600,/fortnite/Xayrez;/fortnite/Fecoy,,,,,,,,,,,
43,Nigel;Angel,600,/fortnite/Nigel;/fortnite/Angel,,,,,,,,,,,
44,Saltloverr;Venji,600,/fortnite/Saltloverr;/fortnite/Venji,,,,,,,,,,,
45,Kika;kikcuh,600,/fortnite/Kika;/fortnite/Kikcuh,,,,,,,,,,,
46,Kxvin1x;evol,500,/fortnite/Kxvin1x;/fortnite/Evol,,,,,,,,,,,
47,Cozz;4DRStorm,500,/fortnite/Cozz;/fortnite/4DRStorm,,,,,,,,,,,
48,Geo;Yuomyy,500,/fortnite/Geo;/fortnite/Yuomyy,,,,,,,,,,,
49,Coach Chad;Verny,500,/fortnite/Coach_Chad;/fortnite/Verny,,,,,,,,,,,
