Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,QnDx;Rapit,20000,/fortnite/QnDx;/fortnite/Rapit,ME,Duos,50,50,79600,Online,Middle East,,2023-03-03,2023-03-04,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2023/Major_1/Middle_East
2,FHD;Yonx,12000,/fortnite/FHD_(Fahad_Almutairi);/fortnite/Yonx,,,,,,,,,,,
3,Snowvaks;Kalgamer710,8000,/fortnite/Snowvaks;/fortnite/Kalgamer710,,,,,,,,,,,
4,Adapter;FKS,3600,/fortnite/Adapter;/fortnite/FKS,,,,,,,,,,,
5,KaKaRoT;Mansour,3000,/fortnite/KaKaRoT;/fortnite/Mansour,,,,,,,,,,,
6,Snowyka;AbuFal7,2600,/fortnite/Snowyka;/fortnite/AbuFal7,,,,,,,,,,,
7,Silxntxz;Clapsy,2400,/fortnite/Silxntxz;/fortnite/Clapsy,,,,,,,,,,,
8,5aald;JKReet,2200,/fortnite/5aald;/fortnite/JKReet,,,,,,,,,,,
9,Vysi;P5EK,2000,/fortnite/Vysi;/fortnite/P5EK,,,,,,,,,,,
10,FAISAL;Wqzzi,1800,/fortnite/FAISAL;/fortnite/Wqzzi,,,,,,,,,,,
11,A7mdRqx;Mshx,1600,/fortnite/A7mdRqx;/fortnite/Mshary_(Mshary_AlShammari),,,,,,,,,,,
12,FHD;KiritoKun,1600,/fortnite/FHD_(Fahad_Yaseer);/fortnite/KiritoKun,,,,,,,,,,,
13,Nachiiri;GntL,1600,/fortnite/Nachiiri;/fortnite/GntL,,,,,,,,,,,
14,Speedy;7man,1600,/fortnite/Speedy;/fortnite/7man,,,,,,,,,,,
15,Salvatore;Henchman,1600,/fortnite/Salvatore;/fortnite/Henchman,,,,,,,,,,,
16,Spy;Rew,1000,/fortnite/Spy;/fortnite/Rew,,,,,,,,,,,
17,Arrow;Wolfiizz,1000,/fortnite/Arrow;/fortnite/Wolfiizz,,,,,,,,,,,
18,Moda;Rampage,1000,/fortnite/Moda200896;/fortnite/Rampage,,,,,,,,,,,
19,RuNL;RXTR,1000,/fortnite/RuNL;/fortnite/RXTR,,,,,,,,,,,
20,Balor;Nm7,1000,/fortnite/Balor;/fortnite/NM7,,,,,,,,,,,
21,Flood;MMeow,600,/fortnite/Flood;/fortnite/MMeow,,,,,,,,,,,
22,VRG;Kodex,600,/fortnite/VRG;/fortnite/Kodex,,,,,,,,,,,
23,Hero;Bd,600,/fortnite/Hero;/fortnite/Bd,,,,,,,,,,,
24,Flxzy;Slac,600,/fortnite/Flxzy;/fortnite/Slac,,,,,,,,,,,
25,KuKi;Phantom,600,/fortnite/KuKi;/fortnite/Phantom,,,,,,,,,,,
26,TrikShotz;Adwan,400,/fortnite/TrikShotz;/fortnite/Adwan,,,,,,,,,,,
27,scotch;Dexefite,400,/fortnite/Scotch;/fortnite/Dexefite,,,,,,,,,,,
28,Modisk;Metab,400,/fortnite/Modisk;/fortnite/Metab,,,,,,,,,,,
29,Snowy;K1nG,400,/fortnite/Snowy;/fortnite/K1nG_(ME_player),,,,,,,,,,,
30,Abodk;PNR,400,/fortnite/Abodk;/fortnite/PNR,,,,,,,,,,,
31,Sweatykun;oEthrieum,200,/fortnite/Sweatykun;/fortnite/OEthrieum,,,,,,,,,,,
32,Benji;M2BK,200,/fortnite/Benji_(Qatari_player);/fortnite/M2BK,,,,,,,,,,,
33,Souriano;Escdark,200,/fortnite/Souriano;/fortnite/Escdark,,,,,,,,,,,
34,Rvvry;RIQZ,200,/fortnite/Rvvry;/fortnite/RIQZ,,,,,,,,,,,
35,Tay;OB,200,/fortnite/Tay;/fortnite/OB,,,,,,,,,,,
36,Dragons;Ryux,200,/fortnite/Dragons;/fortnite/Ryux,,,,,,,,,,,
37,Mshary;3jmy,200,/fortnite/Mshary_(Mshari_Khaled);/fortnite/3jmy,,,,,,,,,,,
38,Saio;Kard,200,/fortnite/Saio;/fortnite/Kard,,,,,,,,,,,
39,3del;Fklfiez,200,/fortnite/3del;/fortnite/Fklfiez,,,,,,,,,,,
40,Astra;WCAEQ,200,/fortnite/Astra;/fortnite/WCAEQ,,,,,,,,,,,
41,Hellonsteam;Puma,200,/fortnite/Hellonsteam;/fortnite/Pumero,,,,,,,,,,,
42,DRaFTell;Kai,200,/fortnite/DRaFTell;/fortnite/Kai,,,,,,,,,,,
43,Builder;Controller,200,/fortnite/Builder;/fortnite/Controller,,,,,,,,,,,
44,Zero;Van,200,/fortnite/Zero_(ME_player);/fortnite/Van,,,,,,,,,,,
45,Hulks;Manz,200,/fortnite/Hulks;/fortnite/Manz,,,,,,,,,,,
46,i_Marco;Lorax,200,/fortnite/I_Marco;/fortnite/Lorax_(ME_player),,,,,,,,,,,
47,vimcu;Blaack,200,/fortnite/Vimcu;/fortnite/Blaack,,,,,,,,,,,
48,OnlySultan;Raizoo,200,/fortnite/OnlySultan;/fortnite/Raizoo,,,,,,,,,,,
49,KOSQF;PTx2,200,/fortnite/KOSQF;/fortnite/PTx2,,,,,,,,,,,
50,Mjood;A7med,200,/fortnite/Mjood_(ME_player_2);/fortnite/A7med,,,,,,,,,,,
