Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Acorn;Cold,120000,/fortnite/Acorn;/fortnite/Cold,NAE,Duos,50,50,2023-03-04,2023-03-05,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2023/Major_1/North_America_East
2,Ajerss;Khanada,70000,/fortnite/Ajerss;/fortnite/Khanada,,,,,,,
3,Eomzo;Rise,50000,/fortnite/Eomzo;/fortnite/Rise,,,,,,,
4,DeRoller;JaxenJ,36000,/fortnite/DeRoller;/fortnite/JaxenJ,,,,,,,
5,Resypical;Revised,28000,/fortnite/Resypical;/fortnite/Revised,,,,,,,
6,Brycx;Chubs,20000,/fortnite/Brycx;/fortnite/Chubs,,,,,,,
7,Avivv;skqttles,16000,/fortnite/Avivv;/fortnite/Skqttles,,,,,,,
8,Trashy;Pxmp,12000,/fortnite/Trashy;/fortnite/Pxmp,,,,,,,
9,Death;Tahi,8000,/fortnite/Death;/fortnite/Tahi,,,,,,,
10,Degen;Muz,6000,/fortnite/Degen;/fortnite/Muz,,,,,,,
11,Okis;Noxy,5000,/fortnite/Okis;/fortnite/Noxy,,,,,,,
12,Shadow;Sphinx,5000,/fortnite/Shadow;/fortnite/Sphinx,,,,,,,
13,Bylah;Npen,5000,/fortnite/Bylah;/fortnite/Npen,,,,,,,
14,Aoxy;Swurl,5000,/fortnite/Aoxy;/fortnite/Swurl,,,,,,,
15,Threats;MackWood,5000,/fortnite/Threats;/fortnite/MackWood,,,,,,,
16,Peterbot;Bugha,4000,/fortnite/Peterbot;/fortnite/Bugha,,,,,,,
17,Walkerrz;VerT,4000,/fortnite/Walkerrz;/fortnite/VerT,,,,,,,
18,Kwah;Jahq,4000,/fortnite/Kwah;/fortnite/Jahq,,,,,,,
19,Cerbs;Rapid,4000,/fortnite/Cerbs;/fortnite/Rapid,,,,,,,
20,Xccept;Dubs,4000,/fortnite/Xccept;/fortnite/Dubs,,,,,,,
21,Scarebear;Kwanti,3000,/fortnite/Scarebear;/fortnite/Kwanti,,,,,,,
22,Mero;Edgey,3000,/fortnite/Mero;/fortnite/Edgey,,,,,,,
23,Joji;Rocaine,3000,/fortnite/Joji;/fortnite/Rocaine,,,,,,,
24,Ceice;Tragix,3000,/fortnite/Ceice;/fortnite/Tragix,,,,,,,
25,Plege;Tkay,3000,/fortnite/Plege;/fortnite/Tkay,,,,,,,
26,AidenKBM;Hound,2000,/fortnite/AidenKBM;/fortnite/Hound,,,,,,,
27,PaMstou;Fatch,2000,/fortnite/PaMstou;/fortnite/Fatch,,,,,,,
28,Nani;Larson,2000,/fortnite/Nani;/fortnite/Larson,,,,,,,
29,Clix;Doniee,2000,/fortnite/Clix;/fortnite/Doniee,,,,,,,
30,Casqer;ClarityG,2000,/fortnite/Casqer;/fortnite/ClarityG,,,,,,,
31,Glace;Mason,1500,/fortnite/Glace;/fortnite/Mason,,,,,,,
32,Crackly;Joe,1500,/fortnite/Crackly;/fortnite/Joe,,,,,,,
33,CrazyGGs;Playify,1500,/fortnite/CrazyGGs;/fortnite/Playify,,,,,,,
34,Moo;Braydz,1500,/fortnite/Moo;/fortnite/Braydz,,,,,,,
35,Blake;Bizzle,1500,/fortnite/Blakeps;/fortnite/Bizzle,,,,,,,
36,Userz;Pxlarized,1000,/fortnite/Userz;/fortnite/Pxlarized,,,,,,,
37,Dukez;Cented,1000,/fortnite/Dukez;/fortnite/Cented,,,,,,,
38,Hajie;Susscript,1000,/fortnite/Hajie;/fortnite/Susscript,,,,,,,
39,Nosh;Nut,1000,/fortnite/Nosh;/fortnite/Nut,,,,,,,
40,Aaron;Naevz,1000,/fortnite/Aaron;/fortnite/Naevz,,,,,,,
41,Floodo;Monk,600,/fortnite/Floodo;/fortnite/Monk,,,,,,,
42,Megga;Justice,600,/fortnite/Megga;/fortnite/Justice,,,,,,,
43,Spayde;Chimp,600,/fortnite/Spayde;/fortnite/Chimp,,,,,,,
44,Duckie;Encrypted,600,/fortnite/Duckie;/fortnite/Encrypted,,,,,,,
45,Flo;nosn,600,/fortnite/Flo;/fortnite/Nosn,,,,,,,
46,Smite;Cam,400,/fortnite/Smite;/fortnite/Cam,,,,,,,
47,Reducs;Snake,400,/fortnite/Reducs;/fortnite/Snake,,,,,,,
48,ChaosGamingLive;Time,400,/fortnite/ChaosGamingLive;/fortnite/Time,,,,,,,
49,Nyx;Nic,400,/fortnite/Nyx;/fortnite/Nic,,,,,,,
50,Fayzo;Staqi,400,/fortnite/Fayzo;/fortnite/Staqi,,,,,,,
