Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Kalgamer710;7man,20000,/fortnite/Kalgamer710;/fortnite/7man,ME,Duos,50,50,79600,Online,Middle East,,2023-05-12,2023-05-13,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2023/Major_2/Middle_East
2,Sattam;Bleed,12000,/fortnite/Sattam;/fortnite/Bleed,,,,,,,,,,,
3,Puma;MMeow,8000,/fortnite/Pumero;/fortnite/MMeow,,,,,,,,,,,
4,Balor;Wolfiizz,3600,/fortnite/Balor;/fortnite/Wolfiizz,,,,,,,,,,,
5,Spy;Rew,3000,/fortnite/Spy;/fortnite/Rew,,,,,,,,,,,
6,Escdark;KiritoKun,2600,/fortnite/Escdark;/fortnite/KiritoKun,,,,,,,,,,,
7,FHD;Hero,2400,/fortnite/FHD_(Fahad_Yaseer);/fortnite/Hero,,,,,,,,,,,
8,Silxntxz;Clapsy,2200,/fortnite/Silxntxz;/fortnite/Clapsy,,,,,,,,,,,
9,Arrow;Mshx,2000,/fortnite/Arrow;/fortnite/Mshary_(Mshary_AlShammari),,,,,,,,,,,
10,VRG;Snowy,1800,/fortnite/VRG;/fortnite/Snowy,,,,,,,,,,,
11,5aald;JKReet,1600,/fortnite/5aald;/fortnite/JKReet,,,,,,,,,,,
12,Abodk;PNR,1600,/fortnite/Abodk;/fortnite/PNR,,,,,,,,,,,
13,Nachiiri;GntL,1600,/fortnite/Nachiiri;/fortnite/GntL,,,,,,,,,,,
14,DRaFTell;Kai,1600,/fortnite/DRaFTell;/fortnite/Kai,,,,,,,,,,,
15,FHD;Yonx,1600,/fortnite/FHD_(Fahad_Almutairi);/fortnite/Yonx,,,,,,,,,,,
16,Adapter;FKS,1000,/fortnite/Adapter;/fortnite/FKS,,,,,,,,,,,
17,N7R;Mjr,1000,/fortnite/N7R;/fortnite/Mjr,,,,,,,,,,,
18,Mansour;Snowyka,1000,/fortnite/Mansour;/fortnite/Snowyka,,,,,,,,,,,
19,KuKi;Phantom,1000,/fortnite/KuKi;/fortnite/Phantom,,,,,,,,,,,
20,Dexefite;I4xPRO,1000,/fortnite/Dexefite;/fortnite/I4xPRO,,,,,,,,,,,
21,Moda;Rampage,600,/fortnite/Moda200896;/fortnite/Rampage,,,,,,,,,,,
22,Viiroos;KaKaRoT,600,/fortnite/Viiroos;/fortnite/KaKaRoT,,,,,,,,,,,
23,LLJFT;PRO,600,/fortnite/LLJFT;/fortnite/PRO,,,,,,,,,,,
24,J4vix;Rafalillo,600,/fortnite/J4vix;/fortnite/Rafalillo,,,,,,,,,,,
25,RXTR;Bd,600,/fortnite/RXTR;/fortnite/Bd,,,,,,,,,,,
26,lardl;Rvvry,400,/fortnite/Lardl;/fortnite/Rvvry,,,,,,,,,,,
27,Hellonsteam;Vysi,400,/fortnite/Hellonsteam;/fortnite/Vysi,,,,,,,,,,,
28,1syc0;Stranger,400,/fortnite/1syc0;/fortnite/Stranger,,,,,,,,,,,
29,Faisal;Wqzzi,400,/fortnite/FAISAL;/fortnite/Wqzzi,,,,,,,,,,,
30,Hulks;Nm7,400,/fortnite/Hulks;/fortnite/NM7,,,,,,,,,,,
31,Clone;MateoZ,200,/fortnite/Clone;/fortnite/MateoZ,,,,,,,,,,,
32,Fenix;Pique,200,/fortnite/Fenix_(ME_player_2);/fortnite/Pique,,,,,,,,,,,
33,Henchman;Kodex,200,/fortnite/Henchman;/fortnite/Kodex,,,,,,,,,,,
34,Astra;WCAEQ,200,/fortnite/Astra;/fortnite/WCAEQ,,,,,,,,,,,
35,Flxzy;Slac,200,/fortnite/Flxzy;/fortnite/Slac,,,,,,,,,,,
36,scripte;Controller,200,/fortnite/Scripte;/fortnite/Controller,,,,,,,,,,,
37,RIQZ;F1lckyy,200,/fortnite/RIQZ;/fortnite/F1lckyy,,,,,,,,,,,
38,Claw;Psw_s2,200,/fortnite/Claw_(ME_player_2);/fortnite/Psw_s2,,,,,,,,,,,
39,QISI;Sweatykun,200,/fortnite/QISI;/fortnite/Sweatykun,,,,,,,,,,,
40,A7mdRqx;Manz,200,/fortnite/A7mdRqx;/fortnite/Manz,,,,,,,,,,,
41,3jmy;K1nG,200,/fortnite/3jmy;/fortnite/K1nG_(ME_player),,,,,,,,,,,
42,Ryux;Sami,200,/fortnite/Ryux;/fortnite/Sami,,,,,,,,,,,
43,O_RFB;Abbas,200,/fortnite/O_RFB;/fortnite/Abbas,,,,,,,,,,,
44,Abod;EpikSaud,200,/fortnite/Abod;/fortnite/EpikSaud,,,,,,,,,,,
45,iegyx;Mighty,200,/fortnite/Iegyx;/fortnite/Mighty,,,,,,,,,,,
46,Lordiwnl;Rkt,200,/fortnite/Lordiwnl;/fortnite/Rkt,,,,,,,,,,,
47,Joseph;xJam,200,/fortnite/Joseph_(ME_player);/fortnite/XJam,,,,,,,,,,,
48,Fer30n;Devy9x,200,/fortnite/Fer30n;/fortnite/Devy9x,,,,,,,,,,,
49,BARQ;Drone,200,/fortnite/BARQ;/fortnite/Drone,,,,,,,,,,,
50,YAMEN;LORD,200,/fortnite/YAMEN;/fortnite/LORD2,,,,,,,,,,,
