Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Dukez;Edgey,150000,/fortnite/Dukez;/fortnite/Edgey,NAC,Duos,50,50,613000,Online,North America,,2023-05-13,2023-05-14,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2023/Major_2/North_America
2,Cooper;Mero,95000,/fortnite/Cooper;/fortnite/Mero,,,,,,,,,,,
3,Pollo;Sphinx,68000,/fortnite/Pollo;/fortnite/Sphinx,,,,,,,,,,,
4,Eomzo;Rise,50000,/fortnite/Eomzo;/fortnite/Rise,,,,,,,,,,,
5,Bugha;Threats,40000,/fortnite/Bugha;/fortnite/Threats,,,,,,,,,,,
6,Acorn;Cold,30000,/fortnite/Acorn;/fortnite/Cold,,,,,,,,,,,
7,PaMstou;Fatch,24000,/fortnite/PaMstou;/fortnite/Fatch,,,,,,,,,,,
8,Avivv;skqttles,18000,/fortnite/Avivv;/fortnite/Skqttles,,,,,,,,,,,
9,Peterbot;Kwanti,12000,/fortnite/Peterbot;/fortnite/Kwanti,,,,,,,,,,,
10,Bacca;Parz,9000,/fortnite/Bacca;/fortnite/Parz,,,,,,,,,,,
11,Brycx;Chubs,7000,/fortnite/Brycx;/fortnite/Chubs,,,,,,,,,,,
12,Ajerss;Khanada,7000,/fortnite/Ajerss;/fortnite/Khanada,,,,,,,,,,,
13,casqer;clarityG,7000,/fortnite/Casqer;/fortnite/ClarityG,,,,,,,,,,,
14,Reet;EpikWhale,7000,/fortnite/Reet;/fortnite/EpikWhale,,,,,,,,,,,
15,Trashy;Pxmp,7000,/fortnite/Trashy;/fortnite/Pxmp,,,,,,,,,,,
16,Ritual;Tkay,5500,/fortnite/Ritual;/fortnite/Tkay,,,,,,,,,,,
17,Jamper;Cam,5500,/fortnite/Jamper;/fortnite/Cam,,,,,,,,,,,
18,npen;Pxlarized,5500,/fortnite/Npen;/fortnite/Pxlarized,,,,,,,,,,,
19,Degen;Muz,5500,/fortnite/Degen;/fortnite/Muz,,,,,,,,,,,
20,Ceneto;Dequented,5500,/fortnite/Ceneto;/fortnite/Dequented,,,,,,,,,,,
21,Visxals;Braydz,4000,/fortnite/Visxals;/fortnite/Braydz,,,,,,,,,,,
22,Rocaine;verT,4000,/fortnite/Rocaine;/fortnite/VerT,,,,,,,,,,,
23,Bucke;Okis,4000,/fortnite/Bucke;/fortnite/Okis,,,,,,,,,,,
24,Death;Tahi,4000,/fortnite/Death;/fortnite/Tahi,,,,,,,,,,,
25,Zyfa;On1,4000,/fortnite/Zyfa;/fortnite/On1,,,,,,,,,,,
26,Shadow;paper,2600,/fortnite/Shadow;/fortnite/Paper,,,,,,,,,,,
27,Bully;Criizux,2600,/fortnite/Bully;/fortnite/Criizux,,,,,,,,,,,
28,Yuz;Krisp,2600,/fortnite/Yuz;/fortnite/Krisp,,,,,,,,,,,
29,AsianJeff;Rapid,2600,/fortnite/AsianJeff;/fortnite/Rapid,,,,,,,,,,,
30,Smite;Larson,2600,/fortnite/Smite;/fortnite/Larson,,,,,,,,,,,
31,Seek;Lawrence,1700,/fortnite/Seek;/fortnite/Lawrence,,,,,,,,,,,
32,Sxhool;Chris,1700,/fortnite/Sxhool;/fortnite/Chris,,,,,,,,,,,
33,Moo;Scarebear,1700,/fortnite/Moo;/fortnite/Scarebear,,,,,,,,,,,
34,Kwah;Jahq,1700,/fortnite/Kwah;/fortnite/Jahq,,,,,,,,,,,
35,Kn1pher;Bylah,1700,/fortnite/Kn1pher;/fortnite/Bylah,,,,,,,,,,,
36,Dom;GMoney,1200,/fortnite/Dom;/fortnite/GMoney,,,,,,,,,,,
37,nounzy;Voil,1200,/fortnite/Nounzy;/fortnite/Voil,,,,,,,,,,,
38,Batman Bugha;Bacon,1200,/fortnite/Batman_Bugha;/fortnite/Bacon,,,,,,,,,,,
39,Alliege;DragonRG,1200,/fortnite/Alliege;/fortnite/DragonRG,,,,,,,,,,,
40,Giants;Sprite,1200,/fortnite/Giants;/fortnite/Sprite,,,,,,,,,,,
41,AidenKBM;Hound,800,/fortnite/AidenKBM;/fortnite/Hound,,,,,,,,,,,
42,Ceice;Tragix,800,/fortnite/Ceice;/fortnite/Tragix,,,,,,,,,,,
43,Nyx;Nic,800,/fortnite/Nyx;/fortnite/Nic,,,,,,,,,,,
44,Commandment;MackWood,800,/fortnite/Commandment;/fortnite/MackWood,,,,,,,,,,,
45,Thor;Boltz,800,/fortnite/Thor;/fortnite/Boltz,,,,,,,,,,,
46,Megga;Snake,600,/fortnite/Megga;/fortnite/Snake,,,,,,,,,,,
47,Mason;Scoped,600,/fortnite/Mason;/fortnite/Scoped,,,,,,,,,,,
48,Curious;Yusuff,600,/fortnite/Curious;/fortnite/Yusuff,,,,,,,,,,,
49,Lanjok;Zookez,600,/fortnite/Lanjok;/fortnite/Zookez,,,,,,,,,,,
50,Smallzy;DiegoPlayz,600,/fortnite/Smallzy;/fortnite/DiegoPlayz,,,,,,,,,,,
