Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Kalgamer;7man,20000,/fortnite/Kalgamer710;/fortnite/7man,ME,Duos,50,50,79600,Online,Middle East,,2023-08-11,2023-08-12,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2023/Major_3/Middle_East
2,Mshx;Rew,12000,/fortnite/Mshary_(Mshary_AlShammari);/fortnite/Rew,,,,,,,,,,,
3,FHD;Hero,8000,/fortnite/FHD_(Fahad_Yaseer);/fortnite/Hero,,,,,,,,,,,
4,FHD;Yonx,3600,/fortnite/FHD_(Fahad_Almutairi);/fortnite/Yonx,,,,,,,,,,,
5,Silxntxz;GntL,3000,/fortnite/Silxntxz;/fortnite/GntL,,,,,,,,,,,
6,VRG;Salvatore,2600,/fortnite/VRG;/fortnite/Salvatore,,,,,,,,,,,
7,PRO;3jmy,2400,/fortnite/PRO;/fortnite/3jmy,,,,,,,,,,,
8,Abodk;Dexefite,2200,/fortnite/Abodk;/fortnite/Dexefite,,,,,,,,,,,
9,Sattam;Smiky,2000,/fortnite/Sattam;/fortnite/Smiky,,,,,,,,,,,
10,Spy;Nachiiri,1800,/fortnite/Spy;/fortnite/Nachiiri,,,,,,,,,,,
11,Arrow;Snowy,1600,/fortnite/Arrow;/fortnite/Snowy,,,,,,,,,,,
12,K1nG;Henchman,1600,/fortnite/K1nG_(ME_player);/fortnite/Henchman,,,,,,,,,,,
13,5aald;JKReet,1600,/fortnite/5aald;/fortnite/JKReet,,,,,,,,,,,
14,DRaFTell;Bd,1600,/fortnite/DRaFTell;/fortnite/Bd,,,,,,,,,,,
15,Saio;Kard,1600,/fortnite/Saio;/fortnite/Kard,,,,,,,,,,,
16,Puma;Pexity,1000,/fortnite/Pumero;/fortnite/Pexity,,,,,,,,,,,
17,Builder;Clapsy,1000,/fortnite/Builder;/fortnite/Clapsy,,,,,,,,,,,
18,QnDx;Rapit,1000,/fortnite/QnDx;/fortnite/Rapit,,,,,,,,,,,
19,Snowvaks;Manz,1000,/fortnite/Snowvaks;/fortnite/Manz,,,,,,,,,,,
20,Nm7;Rv,1000,/fortnite/NM7;/fortnite/Rv,,,,,,,,,,,
21,Escdark;KiritoKun,600,/fortnite/Escdark;/fortnite/KiritoKun,,,,,,,,,,,
22,Malkawi;Controller,600,/fortnite/Malkawi;/fortnite/Controller,,,,,,,,,,,
23,Faisal;Wqzzi,600,/fortnite/FAISAL;/fortnite/Wqzzi,,,,,,,,,,,
24,Hulks;iKubars,600,/fortnite/Hulks;/fortnite/IKubars,,,,,,,,,,,
25,Hellonsteam;MMeow,600,/fortnite/Hellonsteam;/fortnite/MMeow,,,,,,,,,,,
26,Vysi;Wolfiizz,400,/fortnite/Vysi;/fortnite/Wolfiizz,,,,,,,,,,,
27,Scoley;MateoZ,400,/fortnite/Scoley;/fortnite/MateoZ,,,,,,,,,,,
28,scotch;I4xPRO,400,/fortnite/Scotch;/fortnite/I4xPRO,,,,,,,,,,,
29,Moda200896;Rampage,400,/fortnite/Moda200896;/fortnite/Rampage,,,,,,,,,,,
30,Adol;CTM,400,/fortnite/Adol;/fortnite/CTM,,,,,,,,,,,
31,Lightxr;Milo,200,/fortnite/Lightxr;/fortnite/Milo,,,,,,,,,,,
32,RuNL;RXTR,200,/fortnite/RuNL;/fortnite/RXTR,,,,,,,,,,,
33,lardl;Rvvry,200,/fortnite/Lardl;/fortnite/Rvvry,,,,,,,,,,,
34,Goku;IDxU,200,/fortnite/Goku_(Bahraini_player);/fortnite/IDxU,,,,,,,,,,,
35,Blaack;Morix,200,/fortnite/Blaack;/fortnite/Morix,,,,,,,,,,,
36,Kuxen;Egnatik,200,/fortnite/Kuxen;/fortnite/Egnatik,,,,,,,,,,,
37,TrikShotz;Adwan,200,/fortnite/TrikShotz;/fortnite/Adwan,,,,,,,,,,,
38,Devy9x;xJam,200,/fortnite/Devy9x;/fortnite/XJam,,,,,,,,,,,
39,1syc0;Stranger,200,/fortnite/1syc0;/fortnite/Stranger,,,,,,,,,,,
40,rFloz;xpf5m,200,/fortnite/RFloz;/fortnite/Xpf5m,,,,,,,,,,,
41,Jokuneyy;Fzex,200,/fortnite/Jokuneyy;/fortnite/Fzex,,,,,,,,,,,
42,Slac;Mjr,200,/fortnite/Slac;/fortnite/Mjr,,,,,,,,,,,
43,FoCuS;Scary,200,/fortnite/FoCuS;/fortnite/Scary,,,,,,,,,,,
44,Scorpion;Yazed,200,/fortnite/Scorpion;/fortnite/Yazed,,,,,,,,,,,
45,Omaar;sulaiman,200,/fortnite/Omaar;/fortnite/Sulaiman,,,,,,,,,,,
46,O_RFB;Abbas,200,/fortnite/O_RFB;/fortnite/Abbas,,,,,,,,,,,
47,ixpfa;xha3o0,200,/fortnite/Ixpfa;/fortnite/Xha3o0,,,,,,,,,,,
48,Geni;IM7,200,/fortnite/Geni;/fortnite/IM7,,,,,,,,,,,
49,Sanxzy;Globa,200,/fortnite/Sanxzy;/fortnite/Globa,,,,,,,,,,,
50,chorifletes;Nacharrio,200,/fortnite/Chorifletes;/fortnite/Nacharrio,,,,,,,,,,,
