Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Ajerss;Khanada,150000,/fortnite/Ajerss;/fortnite/Khanada,NAC,Duos,50,50,613000,Online,North America,,2023-08-12,2023-08-13,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2023/Major_3/North_America
2,Bugha;Threats,95000,/fortnite/Bugha;/fortnite/Threats,,,,,,,,,,,
3,Eomzo;Rise,68000,/fortnite/Eomzo;/fortnite/Rise,,,,,,,,,,,
4,Brycx;Chubs,50000,/fortnite/Brycx;/fortnite/Chubs,,,,,,,,,,,
5,Pollo;Sphinx,40000,/fortnite/Pollo;/fortnite/Sphinx,,,,,,,,,,,
6,Acorn;Cold,30000,/fortnite/Acorn;/fortnite/Cold,,,,,,,,,,,
7,Bacca;Parz,24000,/fortnite/Bacca;/fortnite/Parz,,,,,,,,,,,
8,Batman Bugha;Rapid,18000,/fortnite/Batman_Bugha;/fortnite/Rapid,,,,,,,,,,,
9,Cooper;Mero,12000,/fortnite/Cooper;/fortnite/Mero,,,,,,,,,,,
10,Ritual;Reet,9000,/fortnite/Ritual;/fortnite/Reet,,,,,,,,,,,
11,Muz;paper,7000,/fortnite/Muz;/fortnite/Paper,,,,,,,,,,,
12,Bucke;Okis,7000,/fortnite/Bucke;/fortnite/Okis,,,,,,,,,,,
13,Source;Yumi,7000,/fortnite/Source;/fortnite/Yumi,,,,,,,,,,,
14,Bylah;npen,7000,/fortnite/Bylah;/fortnite/Npen,,,,,,,,,,,
15,Rocaine;verT,7000,/fortnite/Rocaine;/fortnite/VerT,,,,,,,,,,,
16,Trashy;clarityG,5500,/fortnite/Trashy;/fortnite/ClarityG,,,,,,,,,,,
17,THORIK;Boltz,5500,/fortnite/Thor;/fortnite/Boltz,,,,,,,,,,,
18,Peterbot;Larson,5500,/fortnite/Peterbot;/fortnite/Larson,,,,,,,,,,,
19,Dukez;Edgey,5500,/fortnite/Dukez;/fortnite/Edgey,,,,,,,,,,,
20,Nach;wavyjacob,5500,/fortnite/Nach;/fortnite/Wavyjacob,,,,,,,,,,,
21,Vanillaz;Convic,4000,/fortnite/Vanillaz;/fortnite/Convic,,,,,,,,,,,
22,casqer;Revised,4000,/fortnite/Casqer;/fortnite/Revised,,,,,,,,,,,
23,Clix;EpikWhale,4000,/fortnite/Clix;/fortnite/EpikWhale,,,,,,,,,,,
24,Degen;Pxmp,4000,/fortnite/Degen;/fortnite/Pxmp,,,,,,,,,,,
25,Avivv;skqttles,4000,/fortnite/Avivv;/fortnite/Skqttles,,,,,,,,,,,
26,JaxenJ;Tkay,2600,/fortnite/JaxenJ;/fortnite/Tkay,,,,,,,,,,,
27,Kn1pher;Snacky,2600,/fortnite/Kn1pher;/fortnite/Snacky,,,,,,,,,,,
28,AidenKBM;Hound,2600,/fortnite/AidenKBM;/fortnite/Hound,,,,,,,,,,,
29,Jagveer;Sxhool,2600,/fortnite/Jagveer;/fortnite/Sxhool,,,,,,,,,,,
30,susscript;Floodo,2600,/fortnite/Susscript;/fortnite/Floodo,,,,,,,,,,,
31,Reducs;staqi,1700,/fortnite/Reducs;/fortnite/Staqi,,,,,,,,,,,
32,Deyy;nosn,1700,/fortnite/Deyy;/fortnite/Nosn,,,,,,,,,,,
33,favs;Chris,1700,/fortnite/Favs;/fortnite/Chris,,,,,,,,,,,
34,PaMstou;Fatch,1700,/fortnite/PaMstou;/fortnite/Fatch,,,,,,,,,,,
35,Knzo;Zookez,1700,/fortnite/Knzo;/fortnite/Zookez,,,,,,,,,,,
36,Twunti;Plege,1200,/fortnite/Twunti;/fortnite/Plege,,,,,,,,,,,
37,ZukoXF;Puhzessed,1200,/fortnite/ZukoXF;/fortnite/Puhzessed,,,,,,,,,,,
38,Smite;Krisp,1200,/fortnite/Smite;/fortnite/Krisp,,,,,,,,,,,
39,DeRoller;Noxy,1200,/fortnite/DeRoller;/fortnite/Noxy,,,,,,,,,,,
40,Blake;MackWood,1200,/fortnite/Blakeps;/fortnite/MackWood,,,,,,,,,,,
41,Shore;Zyfa,800,/fortnite/Shore;/fortnite/Zyfa,,,,,,,,,,,
42,Visxals;Braydz,800,/fortnite/Visxals;/fortnite/Braydz,,,,,,,,,,,
43,oSydd;Aminished,800,/fortnite/OSydd;/fortnite/Aminished,,,,,,,,,,,
44,Jylix;Zeus,800,/fortnite/Jylix;/fortnite/Zeus,,,,,,,,,,,
45,defiable;Cyrzr,800,/fortnite/Defiable;/fortnite/Cyrzr,,,,,,,,,,,
46,T4nque;esrevinu,600,/fortnite/T4nque;/fortnite/Esrevinu,,,,,,,,,,,
47,Bully;GMoney,600,/fortnite/Bully;/fortnite/GMoney,,,,,,,,,,,
48,Broken;Vergo,600,/fortnite/Broken_(NA_player);/fortnite/Vergo,,,,,,,,,,,
49,Teqqz;Penta,600,/fortnite/Teqqz;/fortnite/Penta,,,,,,,,,,,
50,Pal;OmG Me II,600,/fortnite/Pal;/fortnite/OmG_Me_II,,,,,,,,,,,
