Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Kalgamer;7man,20000,/fortnite/Kalgamer710;/fortnite/7man,Global,Duos,50,50,2024-02-24,2024-02-25,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2024/Major_1
2,5aald;Hero,14000,/fortnite/5aald;/fortnite/Hero,,,,,,,
3,Mshx;Rew,11000,/fortnite/Mshary_(Mshary_AlShammari);/fortnite/Rew,,,,,,,
4,Adapter;FKS,9000,/fortnite/Adapter;/fortnite/FKS,,,,,,,
5,Ski;Henchman,6500,/fortnite/Ski_(ME_player);/fortnite/Henchman,,,,,,,
6,Snowvaks;Wqzzi,4500,/fortnite/Snowvaks;/fortnite/Wqzzi,,,,,,,
7,Snowy;Smiky,3000,/fortnite/Snowy;/fortnite/Smiky,,,,,,,
8,Phantom;Kai,2600,/fortnite/Phantom;/fortnite/Kai,,,,,,,
9,Arrow;Wolfiizz,2400,/fortnite/Arrow;/fortnite/Wolfiizz,,,,,,,
10,FHD2;JKReet,2000,/fortnite/FHD_(Fahad_Yaseer);/fortnite/JKReet,,,,,,,
11,Hellonsteam;Rapit,1500,/fortnite/Hellonsteam;/fortnite/Rapit,,,,,,,
12,Balor;KiritoKun,1500,/fortnite/Balor;/fortnite/KiritoKun,,,,,,,
13,Clapsy;Controller,1500,/fortnite/Clapsy;/fortnite/Controller,,,,,,,
14,Saad;GntL,1500,/fortnite/Saad;/fortnite/GntL,,,,,,,
15,Nm7;Mansour,1500,/fortnite/NM7;/fortnite/Mansour,,,,,,,
16,Faisal;Solid M,1000,/fortnite/FAISAL;/fortnite/Solid_M,,,,,,,
17,QnDx;Bd,1000,/fortnite/QnDx;/fortnite/Bd,,,,,,,
18,SKERY;Mjr,1000,/fortnite/SKERY;/fortnite/Mjr,,,,,,,
19,Spy;Silxntxz,1000,/fortnite/Spy;/fortnite/Silxntxz,,,,,,,
20,SoMiN;DaNicush,1000,/fortnite/SoMiN;/fortnite/DaNicush,,,,,,,
21,FHD;Yonx,500,/fortnite/FHD_(Fahad_Almutairi);/fortnite/Yonx,,,,,,,
22,Puma;Rvvr,500,/fortnite/Pumero;/fortnite/Rvvry,,,,,,,
23,Zodi;Try,500,/fortnite/Zodi;/fortnite/Try,,,,,,,
24,3BooD;i3z93,500,/fortnite/3BooD;/fortnite/i3z93,,,,,,,
25,Nachiiri;Escdark,500,/fortnite/Nachiiri;/fortnite/Escdark,,,,,,,
26,OB;i_Marco,200,/fortnite/OB;/fortnite/I_Marco,,,,,,,
27,Txrm;Ptx2,200,/fortnite/Txrm;/fortnite/PTx2,,,,,,,
28,ba7rb;ADC,200,/fortnite/Ba7rb;/fortnite/ADC,,,,,,,
29,RuNL;TrikShotz,200,/fortnite/RuNL;/fortnite/TrikShotz,,,,,,,
30,Blaack;Sattam,200,/fortnite/Blaack;/fortnite/Sattam,,,,,,,
31,Mshary;Malkawi,200,/fortnite/Mshary_(Mshari_Khaled);/fortnite/Malkawi,,,,,,,
32,O_RFB;zkjt,200,/fortnite/O_RFB;/fortnite/zkjt,,,,,,,
33,Naiff;7qme,200,/fortnite/Naiff;/fortnite/7qme,,,,,,,
34,Azam;Bader,200,/fortnite/Azam;/fortnite/Bader,,,,,,,
35,Flood;Flow,200,/fortnite/Flood;/fortnite/Flow,,,,,,,
36,Stranger;BARQ,200,/fortnite/Stranger;/fortnite/BARQ,,,,,,,
37,Rovl;Aizen,200,/fortnite/Rovl;/fortnite/Aizen,,,,,,,
38,J4vix;Nacharrio,200,/fortnite/J4vix;/fortnite/Nacharrio,,,,,,,
39,Joseph;Devy9x,200,/fortnite/Joseph;/fortnite/Devy9x,,,,,,,
40,Pexity;mdee,200,/fortnite/Pexity;/fortnite/mdee,,,,,,,
41,TrZp;Aziz,200,/fortnite/TrZp;/fortnite/Aziz,,,,,,,
42,KaKaRoT;Metab,200,/fortnite/KaKaRoT;/fortnite/Metab,,,,,,,
43,Fenix;Astra,200,/fortnite/Fenix_(ME_player_2);/fortnite/Astra,,,,,,,
44,Jokuneyy;iTzM7md,200,/fortnite/Jokuneyy;/fortnite/ITzM7md,,,,,,,
45,Rino;Coldy,200,/fortnite/Rino;/fortnite/Coldy,,,,,,,
46,Tjk;RamadanYT,200,/fortnite/Tjk;/fortnite/RamadanYT,,,,,,,
47,ZEER;Simba,200,/fortnite/ZEER;/fortnite/Simba,,,,,,,
48,iegyx;Mighty,200,/fortnite/iegyx;/fortnite/Mighty,,,,,,,
49,Mg;Exxo,200,/fortnite/Mg;/fortnite/Exxo,,,,,,,
50,Sythic;Kaido,200,/fortnite/Sythic;/fortnite/Kaido,,,,,,,
