Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Acorn;Cold,140000,/fortnite/Acorn;/fortnite/Cold,NAC,Duos,50,50,665000,Online,North America,,2024-02-24,2024-02-25,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2024/Major_1/North_America
2,Peterbot;Pollo,90000,/fortnite/Peterbot;/fortnite/Pollo,,,,,,,,,,,
3,Avivv;Bugha,70000,/fortnite/Avivv;/fortnite/Bugha,,,,,,,,,,,
4,Clix;EpikWhale,60000,/fortnite/Clix;/fortnite/EpikWhale,,,,,,,,,,,
5,Ritual;Reet,50000,/fortnite/Ritual;/fortnite/Reet,,,,,,,,,,,
6,Noxy;Krisp,40000,/fortnite/Noxy;/fortnite/Krisp,,,,,,,,,,,
7,skqttles;Trashy,30000,/fortnite/Skqttles;/fortnite/Trashy,,,,,,,,,,,
8,Eomzo;Rise,25000,/fortnite/Eomzo;/fortnite/Rise,,,,,,,,,,,
9,Cooper;Mero,14000,/fortnite/Cooper;/fortnite/Mero,,,,,,,,,,,
10,Bacca;Parz,11000,/fortnite/Bacca;/fortnite/Parz,,,,,,,,,,,
11,Sphinx;PXMP,7500,/fortnite/Sphinx;/fortnite/Pxmp,,,,,,,,,,,
12,Death;Pxlarized,7500,/fortnite/Death;/fortnite/Pxlarized,,,,,,,,,,,
13,Ajerss;Khanada,7500,/fortnite/Ajerss;/fortnite/Khanada,,,,,,,,,,,
14,Muz;Paper,7500,/fortnite/Muz;/fortnite/Paper,,,,,,,,,,,
15,Seek;Dash,7500,/fortnite/Seek;/fortnite/Dash,,,,,,,,,,,
16,Dukez;Threats,6000,/fortnite/Dukez;/fortnite/Threats,,,,,,,,,,,
17,Kwanti;Bylah,6000,/fortnite/Kwanti;/fortnite/Bylah,,,,,,,,,,,
18,Cam;Aminished,6000,/fortnite/Cam;/fortnite/Aminished,,,,,,,,,,,
19,Brycx;Chubs,6000,/fortnite/Brycx;/fortnite/Chubs,,,,,,,,,,,
20,AidenKBM;Hound,6000,/fortnite/AidenKBM;/fortnite/Hound,,,,,,,,,,,
21,Crfrmatl;Sovzy,4500,/fortnite/Crfrmatl;/fortnite/Sovzy,,,,,,,,,,,
22,Cented;Tahi,4500,/fortnite/Cented;/fortnite/Tahi,,,,,,,,,,,
23,Deyy;Reducs,4500,/fortnite/Deyy;/fortnite/Reducs,,,,,,,,,,,
24,Batman Bugha;Rapid,4500,/fortnite/Batman_Bugha;/fortnite/Rapid,,,,,,,,,,,
25,Vanillaz;Convic,4500,/fortnite/Vanillaz;/fortnite/Convic,,,,,,,,,,,
26,Sigma;Vortek,3000,/fortnite/Sigma;/fortnite/Vortek,,,,,,,,,,,
27,Zookez;Boltz,3000,/fortnite/Zookez;/fortnite/Boltz,,,,,,,,,,,
28,Yumi;verT,3000,/fortnite/Yumi;/fortnite/VerT,,,,,,,,,,,
29,Bacon;Tkay,3000,/fortnite/Bacon;/fortnite/Tkay,,,,,,,,,,,
30,Razez;Highr,3000,/fortnite/Razez;/fortnite/Highr,,,,,,,,,,,
31,Cyrzr;Chimp,2000,/fortnite/Cyrzr;/fortnite/Chimp,,,,,,,,,,,
32,AsianJeff;OliverOG,2000,/fortnite/AsianJeff;/fortnite/OliverOG,,,,,,,,,,,
33,Dalty Walty;Skayter,2000,/fortnite/Dalty_Walty;/fortnite/Skayter,,,,,,,,,,,
34,Mason;npen,2000,/fortnite/Mason;/fortnite/Npen,,,,,,,,,,,
35,Crackly;Joe,2000,/fortnite/Crackly;/fortnite/Joe,,,,,,,,,,,
36,GMoney;DiegoPlayz,1500,/fortnite/GMoney;/fortnite/DiegoPlayz,,,,,,,,,,,
37,Pigle;Jivan,1500,/fortnite/Pigle;/fortnite/Jivan,,,,,,,,,,,
38,Jagveer;Sxhool,1500,/fortnite/Jagveer;/fortnite/Sxhool,,,,,,,,,,,
39,Tavern;Edgey,1500,/fortnite/Tavern;/fortnite/Edgey,,,,,,,,,,,
40,Aaron;Channce,1500,/fortnite/Aaron;/fortnite/Channce,,,,,,,,,,,
41,Puhzessed;Snacky,1500,/fortnite/Puhzessed;/fortnite/Snacky,,,,,,,,,,,
42,Golden;Ozone,1500,/fortnite/Golden;/fortnite/Ozone,,,,,,,,,,,
43,Blake;MackWood,1500,/fortnite/Blakeps;/fortnite/MackWood,,,,,,,,,,,
44,Freeze;susscript,1500,/fortnite/Freeze;/fortnite/Susscript,,,,,,,,,,,
45,Nekko;xavifw,1500,/fortnite/Nekko;/fortnite/Xavifw,,,,,,,,,,,
46,Mew;Xpon,1000,/fortnite/Mew;/fortnite/Xpon,,,,,,,,,,,
47,Dolzeur;Maxo,1000,/fortnite/Dolzeur;/fortnite/Maxo,,,,,,,,,,,
48,Duckie;Encrypted,1000,/fortnite/Duckie;/fortnite/Encrypted,,,,,,,,,,,
49,Ceneto;Veer,1000,/fortnite/Ceneto;/fortnite/Veer,,,,,,,,,,,
50,Papi Blast;Zyrofnw,1000,/fortnite/Papi_Blast;/fortnite/Zyrofnw,,,,,,,,,,,
