Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,alex;worthy,16000,/fortnite/Alex;/fortnite/Worthy,OCE,Duos,50,50,2024-02-24,2024-02-25,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2024/Major_1/Oceania
2,Cazi;Aspect,10000,/fortnite/Cazi;/fortnite/Aspect_(OCE_player),,,,,,,
3,River;Protoon,6000,/fortnite/River;/fortnite/Protoon,,,,,,,
4,Jxsn;Yuleys,4000,/fortnite/Jxsn;/fortnite/Yuleys,,,,,,,
5,Fisher;anon,3500,/fortnite/Fisher;/fortnite/Anon,,,,,,,
6,Sanjog;Deymo,2800,/fortnite/Sanjog;/fortnite/Deymo,,,,,,,
7,Mana;Mace,2600,/fortnite/Mana;/fortnite/Mace,,,,,,,
8,Resignz;Crypty,2400,/fortnite/Resignz;/fortnite/Crypty,,,,,,,
9,Sorif;vaxsr,2200,/fortnite/Sorif;/fortnite/Vaxsr,,,,,,,
10,Gazer;Spoctic,2000,/fortnite/Gazer;/fortnite/Spoctic,,,,,,,
11,Hitzy;Regan,1000,/fortnite/Hitzy;/fortnite/Regan,,,,,,,
12,Suns;vazen,1000,/fortnite/Suns;/fortnite/Vazen,,,,,,,
13,Lazy;Wreckless,1000,/fortnite/Lazy;/fortnite/Wreckless,,,,,,,
14,Xcon;Bulldogz,1000,/fortnite/Xcon;/fortnite/Jerald,,,,,,,
15,volx;Looter,1000,/fortnite/Volx;/fortnite/Looter,,,,,,,
16,Maloxty;JengaOce,500,/fortnite/Maloxty;/fortnite/JengaOce,,,,,,,
17,Wraith;Spookz,500,/fortnite/Wraith;/fortnite/Spookz,,,,,,,
18,Angrybunch;Bqrbie,500,/fortnite/Angrybunch;/fortnite/Bqrbie,,,,,,,
19,Dylxn;Staticz,500,/fortnite/Dylxn;/fortnite/Staticz,,,,,,,
20,Oatley;VortexM,500,/fortnite/Oatley;/fortnite/VortexM,,,,,,,
21,Phazgod;Sono,200,/fortnite/Phazgod;/fortnite/Sono,,,,,,,
22,AshVegas8;Zenqinz,200,/fortnite/AshVegas8;/fortnite/Zenqinz,,,,,,,
23,Dista;Senzo,200,/fortnite/Dista;/fortnite/Senzo,,,,,,,
24,Rhekz;Hydrox,200,/fortnite/Rhekz;/fortnite/Hydrox,,,,,,,
25,Teroq;Mase,200,/fortnite/Teroq;/fortnite/Mase,,,,,,,
26,Qhvst;DeaJay,200,/fortnite/Qhvst;/fortnite/DeaJay,,,,,,,
27,leviis;Adsrr,200,/fortnite/leviis;/fortnite/Adsrr,,,,,,,
28,Rafzcuhh;multikinny,200,/fortnite/Rafzcuhh;/fortnite/Multikinny,,,,,,,
29,Leafx;ZDog,200,/fortnite/Leafx;/fortnite/ZDog,,,,,,,
30,Mesportt;Th0rium,200,/fortnite/Mesportt;/fortnite/Th0rium,,,,,,,
31,Saiu;Lxcas,200,/fortnite/Saiu;/fortnite/Lxcas,,,,,,,
32,Rahcks;evo,200,/fortnite/Rahcks;/fortnite/evo,,,,,,,
33,danath;Skits,200,/fortnite/Danath;/fortnite/Skits,,,,,,,
34,EKW;awm,200,/fortnite/EKW;/fortnite/awm,,,,,,,
35,dummi;MooMoo,200,/fortnite/Dummi;/fortnite/MooMoo,,,,,,,
36,Zak;Inxnct,200,/fortnite/Zak;/fortnite/Inxnct,,,,,,,
37,Crusades;Minsu,200,/fortnite/Crusades;/fortnite/Minsu,,,,,,,
38,Hezzaar;Divided,200,/fortnite/Hezzaar;/fortnite/Divided,,,,,,,
39,VenoxGod;Fritty,200,/fortnite/VenoxGod;/fortnite/Pace,,,,,,,
40,Vague;Leo,200,/fortnite/Vague;/fortnite/Leo,,,,,,,
41,Phantom;Karmy,200,/fortnite/Phantom_(OCE_player);/fortnite/Karmy,,,,,,,
42,Pudnara;Quickzy,200,/fortnite/Pudnara;/fortnite/Quickzy,,,,,,,
43,Megadan;Rainy,200,/fortnite/Megadan;/fortnite/Rainy_(OCE_player),,,,,,,
44,Gilt;STRE4MLESS,200,/fortnite/Gilt;/fortnite/STRE4MLESS,,,,,,,
45,Fitz;Warbs,200,/fortnite/Fitz;/fortnite/Warbs,,,,,,,
46,Rhythm;Clxud,200,/fortnite/Rhythm;/fortnite/Clxud,,,,,,,
47,Brando;Goofy,200,/fortnite/Brando;/fortnite/Goofy,,,,,,,
48,Adzy;Haylix,200,/fortnite/Adzy;/fortnite/Haylix,,,,,,,
49,Star;Finn,200,/fortnite/Star;/fortnite/Finn,,,,,,,
50,tazon;Rinz,200,/fortnite/Tazon;/fortnite/Rinz,,,,,,,
