Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Job;Michael8,20000,/fortnite/Job;/fortnite/Michael.,AS,Duos,50,50,80000,Online,Asia,,2024-05-18,2024-05-19,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2024/Major_2/Asia
2,Nalu;Luuuke,14000,/fortnite/Nalu;/fortnite/Luuuke,,,,,,,,,,,
3,XMipoli;Koyota,11000,/fortnite/Mipoli;/fortnite/Koyota,,,,,,,,,,,
4,LBworks;Cafe,9000,/fortnite/LBworks;/fortnite/Cafe,,,,,,,,,,,
5,Bot;Kimkana,6500,/fortnite/%E3%81%BC%E3%81%A3%E3%81%A8;/fortnite/Kimkana,,,,,,,,,,,
6,BOBY;Larkpex,4500,/fortnite/Bobik1ng;/fortnite/Larkpex,,,,,,,,,,,
7,Rise;yuma,3000,/fortnite/Rise_(AS_player);/fortnite/Yuma,,,,,,,,,,,
8,Stain;clxxer,2600,/fortnite/StainZ;/fortnite/Jqmix,,,,,,,,,,,
9,LILY;TinkerBel1x,2400,/fortnite/LILY;/fortnite/Tinkerbell,,,,,,,,,,,
10,Zagou;Shelom,2000,/fortnite/Zagou;/fortnite/Shelom,,,,,,,,,,,
11,Minipiyo;FuuKun,1500,/fortnite/Minipiyo;/fortnite/FuuKun,,,,,,,,,,,
12,Rainy;Buyuriru,1500,/fortnite/Rainy;/fortnite/Buyuriru,,,,,,,,,,,
13,Tayler;Mkmkpapa,1500,/fortnite/Tayler;/fortnite/Russ,,,,,,,,,,,
14,FU-FU PANDA;Vall,1500,/fortnite/FU-FU_PANDA;/fortnite/Vall,,,,,,,,,,,
15,Pepoclip;wickesy,1500,/fortnite/Pepo;/fortnite/Wickesy_(Japanese_player),,,,,,,,,,,
16,Raito;Razeru,1000,/fortnite/Raito;/fortnite/Razeru,,,,,,,,,,,
17,Aster;Teddy,1000,/fortnite/Aster;/fortnite/Teddy,,,,,,,,,,,
18,Rime;Zerokun,1000,/fortnite/Rime;/fortnite/Zerokun,,,,,,,,,,,
19,aspct;taiya,1000,/fortnite/Meah;/fortnite/Tiarr,,,,,,,,,,,
20,Kikumaro;Rura,1000,/fortnite/Kikumaro;/fortnite/Rura,,,,,,,,,,,
21,Mikqn;SEEK,500,/fortnite/Mikqn;/fortnite/Sinklol,,,,,,,,,,,
22,vitaminsuu;Ragis,500,/fortnite/Vitaminsuu;/fortnite/Ragis,,,,,,,,,,,
23,Choco;Candyz,500,/fortnite/Choco;/fortnite/Candyz,,,,,,,,,,,
24,Zenigame;Meip,500,/fortnite/Zenigame;/fortnite/Meip,,,,,,,,,,,
25,Alice;Dog,500,/fortnite/Alice;/fortnite/Dog,,,,,,,,,,,
26,bykn;RAI,200,/fortnite/Bykn;/fortnite/RAI,,,,,,,,,,,
27,Daddy;Pariaru,200,/fortnite/Daddy;/fortnite/Pariaru,,,,,,,,,,,
28,Flot0r;capibara,200,/fortnite/Flot0r;/fortnite/Capibara,,,,,,,,,,,
29,Sayara;Rauq,200,/fortnite/Sayara;/fortnite/Rauq,,,,,,,,,,,
30,Chocoluv;Harukiyo,200,/fortnite/Chocoluv;/fortnite/Harukiyo,,,,,,,,,,,
31,Qjac;raru,200,/fortnite/Qjac;/fortnite/Raru,,,,,,,,,,,
32,QreiLy;Zerua,200,/fortnite/QreiLy;/fortnite/Zerua,,,,,,,,,,,
33,gotkota;KENTAch,200,/fortnite/Gotkota;/fortnite/KENTAch,,,,,,,,,,,
34,Proboko;Rakirye,200,/fortnite/Proboko;/fortnite/Rakirye,,,,,,,,,,,
35,Raitan;Mqna,200,/fortnite/Raitan;/fortnite/Mqna,,,,,,,,,,,
36,Alice;Jaemon,200,/fortnite/Alice_(Japanese_player_2);/fortnite/Jaemon,,,,,,,,,,,
37,Oren;Goefu,200,/fortnite/Oren;/fortnite/Goefu,,,,,,,,,,,
38,Reek;Roion,200,/fortnite/Reek;/fortnite/Roion,,,,,,,,,,,
39,favsie;Yuttaridazo,200,/fortnite/Favsie;/fortnite/Yuttaridazo,,,,,,,,,,,
40,Earth;Swert,200,/fortnite/Earth;/fortnite/Swert,,,,,,,,,,,
41,Cyns;Miyagura,200,/fortnite/Cyns;/fortnite/Miyagura,,,,,,,,,,,
42,TORAA;soufini,200,/fortnite/TORAA;/fortnite/Soufini,,,,,,,,,,,
43,Banao;Airai,200,/fortnite/Banao;/fortnite/Airai,,,,,,,,,,,
44,Shunteyan;Rui,200,/fortnite/Shunteyan;/fortnite/Rui,,,,,,,,,,,
45,Moririn;Lyxter,200,/fortnite/Moririn;/fortnite/Mxrxk,,,,,,,,,,,
46,Latte;Jinkundesu,200,/fortnite/Latte;/fortnite/Jinkundesu,,,,,,,,,,,
47,Hazy;Freek1ll41k,200,/fortnite/Hazy;/fortnite/Freek1ll41k,,,,,,,,,,,
48,LODSTK;Riam,200,/fortnite/LODSTK;/fortnite/RiaM,,,,,,,,,,,
49,PONY;Macyfishy,200,/fortnite/PONY;/fortnite/Macyfishy,,,,,,,,,,,
50,Tawashi;MuuCONIQ,200,/fortnite/Tawashi;/fortnite/MuuCONIQ,,,,,,,,,,,
