Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Peterbot;Pollo,140000,/fortnite/Peterbot;/fortnite/Pollo,NAC,Duos,50,50,665000,Online,North America,,2024-05-18,2024-05-19,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2024/Major_2/North_America
2,Ritual;Reet,90000,/fortnite/Ritual;/fortnite/Reet,,,,,,,,,,,
3,Khanada;Cooper,70000,/fortnite/Khanada;/fortnite/Cooper,,,,,,,,,,,
4,skqttles;Trashy,60000,/fortnite/Skqttles;/fortnite/Trashy,,,,,,,,,,,
5,Acorn;Cold,50000,/fortnite/Acorn;/fortnite/Cold,,,,,,,,,,,
6,Brycx;Boltz,40000,/fortnite/Brycx;/fortnite/Boltz,,,,,,,,,,,
7,Avivv;Chubs,30000,/fortnite/Avivv;/fortnite/Chubs,,,,,,,,,,,
8,Batman Bugha;Rapid,25000,/fortnite/Batman_Bugha;/fortnite/Rapid,,,,,,,,,,,
9,Bacca;Parz,14000,/fortnite/Bacca;/fortnite/Parz,,,,,,,,,,,
10,Eomzo;Rise,11000,/fortnite/Eomzo;/fortnite/Rise,,,,,,,,,,,
11,Blake;MackWood,7500,/fortnite/Blakeps;/fortnite/MackWood,,,,,,,,,,,
12,OliverOG;Larson,7500,/fortnite/OliverOG;/fortnite/Larson,,,,,,,,,,,
13,Ajerss;Bugha,7500,/fortnite/Ajerss;/fortnite/Bugha,,,,,,,,,,,
14,Clix;EpikWhale,7500,/fortnite/Clix;/fortnite/EpikWhale,,,,,,,,,,,
15,Packo;Mikson,7500,/fortnite/Packo;/fortnite/Mikson,,,,,,,,,,,
16,Muz;paper,6000,/fortnite/Muz;/fortnite/Paper,,,,,,,,,,,
17,GMoney;Resypical,6000,/fortnite/GMoney;/fortnite/Resypical,,,,,,,,,,,
18,Visxals;Braydz,6000,/fortnite/Visxals;/fortnite/Braydz,,,,,,,,,,,
19,Dukez;Mero,6000,/fortnite/Dukez;/fortnite/Mero,,,,,,,,,,,
20,Cyrzr;Chimp,6000,/fortnite/Cyrzr;/fortnite/Chimp,,,,,,,,,,,
21,Curve;nvtylerh,4500,/fortnite/Curve;/fortnite/Nvtylerh,,,,,,,,,,,
22,Seek;Dash,4500,/fortnite/Seek;/fortnite/Dash,,,,,,,,,,,
23,Cam;Aminished,4500,/fortnite/Cam;/fortnite/Aminished,,,,,,,,,,,
24,Threats;Sphinx,4500,/fortnite/Threats;/fortnite/Sphinx,,,,,,,,,,,
25,AidenKBM;Hound,4500,/fortnite/AidenKBM;/fortnite/Hound,,,,,,,,,,,
26,npen;PXMP,3000,/fortnite/Npen;/fortnite/Pxmp,,,,,,,,,,,
27,Yumi;verT,3000,/fortnite/Yumi;/fortnite/VerT,,,,,,,,,,,
28,Hazzense;Magia Jr,3000,/fortnite/Jasenszzzz;/fortnite/Magia_Jr,,,,,,,,,,,
29,Zeus;Pykz,3000,/fortnite/Zeus;/fortnite/Pykz,,,,,,,,,,,
30,Bacon;Tkay,3000,/fortnite/Bacon;/fortnite/Tkay,,,,,,,,,,,
31,Vortek;Krisp,2000,/fortnite/Vortek;/fortnite/Krisp,,,,,,,,,,,
32,Walkerrz;Fatch,2000,/fortnite/Walkerrz;/fortnite/Fatch,,,,,,,,,,,
33,VicterV;Bdawg,2000,/fortnite/VicterV;/fortnite/Bdawg,,,,,,,,,,,
34,Aaron;Channce,2000,/fortnite/Aaron;/fortnite/Channce,,,,,,,,,,,
35,Razez;Curly,2000,/fortnite/Razez;/fortnite/Curly,,,,,,,,,,,
36,Papi Blast;DragonRG,1500,/fortnite/Papi_Blast;/fortnite/DragonRG,,,,,,,,,,,
37,Nekko;xavifw,1500,/fortnite/Nekko;/fortnite/Xavifw,,,,,,,,,,,
38,Frost;Saucyrn,1500,/fortnite/Frost;/fortnite/Saucyrn,,,,,,,,,,,
39,Tavern;Edgey,1500,/fortnite/Tavern;/fortnite/Edgey,,,,,,,,,,,
40,Sxhool;THORIK,1500,/fortnite/Sxhool;/fortnite/Thor,,,,,,,,,,,
41,Jutraz;Kraez,1500,/fortnite/Jutraz;/fortnite/Kraez,,,,,,,,,,,
42,Sigma;Decay,1500,/fortnite/Sigma;/fortnite/Decay,,,,,,,,,,,
43,T4nque;esrevinu,1500,/fortnite/T4nque;/fortnite/Esrevinu,,,,,,,,,,,
44,Criizux;Yasir,1500,/fortnite/Criizux;/fortnite/Yasir,,,,,,,,,,,
45,Vanillaz;Convic,1500,/fortnite/Vanillaz;/fortnite/Convic,,,,,,,,,,,
46,Ceice;Jaqck,1000,/fortnite/Ceice;/fortnite/Jaqck,,,,,,,,,,,
47,Mew;Xpon,1000,/fortnite/Mew;/fortnite/Xpon,,,,,,,,,,,
48,iMey;Hakkioo,1000,/fortnite/IMey;/fortnite/Hakkioo,,,,,,,,,,,
49,Zyrofnw;ZLink,1000,/fortnite/Zyrofnw;/fortnite/ZLink,,,,,,,,,,,
50,Braden;Zire,1000,/fortnite/Braden;/fortnite/Zire,,,,,,,,,,,
