Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Peterbot;Pollo,140000,/fortnite/Peterbot;/fortnite/Pollo,NAC,Duos,50,49,2024-07-27,2024-07-28,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2024/Major_3/North_America
2,Batman Bugha;Rapid,90000,/fortnite/Batman_Bugha;/fortnite/Rapid,,,,,,,
3,Acorn;Cold,70000,/fortnite/Acorn;/fortnite/Cold,,,,,,,
4,Clix;Veno,60000,/fortnite/Clix;/fortnite/Veno,,,,,,,
5,Trashy;Threats,50000,/fortnite/Trashy;/fortnite/Threats,,,,,,,
6,Dukez;Sphinx,40000,/fortnite/Dukez;/fortnite/Sphinx,,,,,,,
7,Avivv;Bugha,30000,/fortnite/Avivv;/fortnite/Bugha,,,,,,,
8,Brycx;Boltz,25000,/fortnite/Brycx;/fortnite/Boltz,,,,,,,
9,VicterV;paper,14000,/fortnite/VicterV;/fortnite/Paper,,,,,,,
10,Muz;EpikWhale,11000,/fortnite/Muz;/fortnite/EpikWhale,,,,,,,
11,Shadow;Vergo,7500,/fortnite/Shadow;/fortnite/Vergo,,,,,,,
12,Bacca;Parz,7500,/fortnite/Bacca;/fortnite/Parz,,,,,,,
13,Ajerss;Rise,7500,/fortnite/Ajerss;/fortnite/Rise,,,,,,,
14,Khanada;Cooper,7500,/fortnite/Khanada;/fortnite/Cooper,,,,,,,
15,TaySon;Eomzo,7500,/fortnite/TaySon;/fortnite/Eomzo,,,,,,,
16,Japko;Kwanti,6000,/fortnite/Japko;/fortnite/Kwanti,,,,,,,
17,Visxals;Braydz,6000,/fortnite/Visxals;/fortnite/Braydz,,,,,,,
18,Blacha;Mikson,6000,/fortnite/Blacha;/fortnite/Mikson,,,,,,,
19,Razez;Curly,6000,/fortnite/Razez;/fortnite/Curly,,,,,,,
20,Noxy;Krisp,6000,/fortnite/Noxy;/fortnite/Krisp,,,,,,,
21,Sandman;Hazard,4500,/fortnite/Sandman;/fortnite/Hazard,,,,,,,
22,Ritual;Reet,4500,/fortnite/Ritual;/fortnite/Reet,,,,,,,
23,Zeus;Krreon,4500,/fortnite/Zeus;/fortnite/Krreon,,,,,,,
24,Source;poffiee,4500,/fortnite/Source;/fortnite/Poffiee,,,,,,,
25,OliverOG;Kraez,4500,/fortnite/OliverOG;/fortnite/Kraez,,,,,,,
26,Seek;Dash,3000,/fortnite/Seek;/fortnite/Dash,,,,,,,
27,Vortek;Packo,3000,/fortnite/Vortek;/fortnite/Packo,,,,,,,
28,Mongraal;MrSavage,3000,/fortnite/Mongraal;/fortnite/MrSavage,,,,,,,
29,Kylie;verT,3000,/fortnite/Kylie;/fortnite/VerT,,,,,,,
30,skqttles;Chubs,3000,/fortnite/Skqttles;/fortnite/Chubs,,,,,,,
31,Pinq;Mero,2000,/fortnite/Pinq;/fortnite/Mero,,,,,,,
32,Death;Edgey,2000,/fortnite/Death;/fortnite/Edgey,,,,,,,
33,Noizy;Tony,2000,/fortnite/Noizy;/fortnite/Tony,,,,,,,
34,Shore;Zyfa,2000,/fortnite/Shore;/fortnite/Zyfa,,,,,,,
35,Tavern;Tkay,2000,/fortnite/Tavern;/fortnite/Tkay,,,,,,,
36,Antonio;ZLink,1500,/fortnite/Antonio;/fortnite/ZLink,,,,,,,
37,Floodo;Statix,1500,/fortnite/Floodo;/fortnite/Statix,,,,,,,
38,alex;worthy,1500,/fortnite/Alex;/fortnite/Worthy,,,,,,,
39,ChaosGamingLive;Channce,1500,/fortnite/ChaosGamingLive;/fortnite/Channce,,,,,,,
40,Ziggy;Phenom,1500,/fortnite/Ziggy;/fortnite/Phenom,,,,,,,
41,npen;PXMP,1500,/fortnite/Npen;/fortnite/Pxmp,,,,,,,
42,nurface;oSydd,1500,/fortnite/Nurface;/fortnite/OSydd,,,,,,,
43,GMoney;Resypical,1500,/fortnite/GMoney;/fortnite/Resypical,,,,,,,
44,Dolzeur;natmozs,1500,/fortnite/Dolzeur;/fortnite/Natmozs,,,,,,,
45,Flo;Sigma,1500,/fortnite/Flo;/fortnite/Sigma,,,,,,,
46,Deyy;Sprite,1000,/fortnite/Deyy;/fortnite/Sprite,,,,,,,
47,On1;Evol,1000,/fortnite/On1;/fortnite/Evol,,,,,,,
48,Hxvac;circ,1000,/fortnite/Hxvac;/fortnite/Circ,,,,,,,
49,Dkay;ian16,1000,/fortnite/Dkay;/fortnite/Ian16,,,,,,,
