Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Vanyak3kk;Pixie;MariusCOW,180000,/fortnite/Vanyak3kk;/fortnite/Pixie;/fortnite/MariusCOW,EU,Trios,33,33,816000,Online,Europe,,2025-04-26,2025-04-27,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2025/Major_2/Europe
2,Tjino;PabloWingu;Fredoxie,120000,/fortnite/Tjino;/fortnite/PabloWingu;/fortnite/Fredoxie,,,,,,,,,,,
3,pixx;Darm;Demus,81000,/fortnite/Pixx;/fortnite/Darm;/fortnite/Demus,,,,,,,,,,,
4,P1ng;Wox;Malibuca,60900,/fortnite/P1ng;/fortnite/Wox;/fortnite/Malibuca,,,,,,,,,,,
5,SwizzY;Queasy;Merstach,47850,/fortnite/SwizzY;/fortnite/Queasy;/fortnite/Merstach,,,,,,,,,,,
6,vic0;Veno;Flickzy,34800,/fortnite/Vic0try0na;/fortnite/Veno;/fortnite/Flickzy,,,,,,,,,,,
7,Hris;TaySon;Chico,34800,/fortnite/Hris;/fortnite/TaySon;/fortnite/Chico,,,,,,,,,,,
8,Th0masHD;Upl;panzer,34800,/fortnite/Th0masHD;/fortnite/Upl;/fortnite/Panzer,,,,,,,,,,,
9,Setty;charyy;Kami,34800,/fortnite/Setty;/fortnite/Charyy;/fortnite/Kami,,,,,,,,,,,
10,Pinq;Nebs;Kiro,34800,/fortnite/Pinq;/fortnite/Nebs;/fortnite/Kiro,,,,,,,,,,,
11,IDrop;Sky;Scroll,17400,/fortnite/IDrop;/fortnite/Skyboy;/fortnite/Scroll,,,,,,,,,,,
12,Cringe;Volko;kiduoo,17400,/fortnite/Cringe;/fortnite/Volko;/fortnite/Kiduoo,,,,,,,,,,,
13,Akiira;Kurama;Werex,17400,/fortnite/Akiira;/fortnite/Kurama;/fortnite/Werex,,,,,,,,,,,
14,Dinus;G13ras;Franek,17400,/fortnite/Dinus;/fortnite/G13ras;/fortnite/Franek,,,,,,,,,,,
15,Moneymaker;Fnajen;Faded,17400,/fortnite/Moneymaker;/fortnite/Fnajen;/fortnite/Faded,,,,,,,,,,,
16,Robin;Cheatiin;Trexer,8700,/fortnite/Robin;/fortnite/Cheatiin;/fortnite/Trexer,,,,,,,,,,,
17,Artskill;PodaSai;xsweeze,8700,/fortnite/Artskill;/fortnite/PodaSai;/fortnite/Xsweeze,,,,,,,,,,,
18,Ricbor;Zara;Zangi,8700,/fortnite/Ricbor;/fortnite/Zara;/fortnite/Zangi,,,,,,,,,,,
19,Vadeal;MrSavage;rezon ay,8700,/fortnite/Vadeal;/fortnite/MrSavage;/fortnite/Rezon_ay,,,,,,,,,,,
20,Srapt;Hellfire;trippernn,8700,/fortnite/Srapt;/fortnite/Hellfire;/fortnite/Trippernn,,,,,,,,,,,
21,Kombek;Blacha;Mikson,4350,/fortnite/Kombek;/fortnite/Blacha;/fortnite/Mikson,,,,,,,,,,,
22,shxrk;TruleX;Noahreyli,4350,/fortnite/Shark;/fortnite/TruleX;/fortnite/Noahreyli,,,,,,,,,,,
23,Noia;Misha;Yassen,4350,/fortnite/Noia;/fortnite/Misha;/fortnite/Yassen,,,,,,,,,,,
24,Sangild;tidi;Julle,4350,/fortnite/Sangild;/fortnite/Tidi;/fortnite/Julle,,,,,,,,,,,
25,Chap;t3eny;Skvii,4350,/fortnite/Chap_(Swiss_player);/fortnite/T3enyy;/fortnite/Skvii,,,,,,,,,,,
26,Nomzz;Auvahalo;Twi,0,/fortnite/Nomzz;/fortnite/Auvahalo;/fortnite/Twi,,,,,,,,,,,
27,Fastroki;FoCuS;JannisZ,0,/fortnite/Fastroki;/fortnite/FoCuS;/fortnite/JannisZ,,,,,,,,,,,
28,Glubschi;prax;Gripey,0,/fortnite/Glubschi;/fortnite/Prax;/fortnite/Gripey,,,,,,,,,,,
29,ARDI;Falex;DarKiizZ,0,/fortnite/ARDI;/fortnite/Falex;/fortnite/DarKiiZ,,,,,,,,,,,
30,Juu;F1n4ik;zAndy,0,/fortnite/Juu;/fortnite/F1n4ik;/fortnite/ZAndy,,,,,,,,,,,
31,Ricky;Belusi;Gabix,0,/fortnite/Ricky;/fortnite/Belusi;/fortnite/Gabix,,,,,,,,,,,
32,Deckzee;Huty;Art1st,0,/fortnite/Deckzee;/fortnite/Huty;/fortnite/Art1st,,,,,,,,,,,
33,Aryanly;KaydFN;1vanjkee,0,/fortnite/Aryan;/fortnite/KaydFN;/fortnite/1vanjkee,,,,,,,,,,,
