Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,5aald;FKS;Hero,27000,/fortnite/5aald;/fortnite/FKS;/fortnite/Hero,ME,Trios,33,31,90000,Online,Middle East,,2025-04-26,2025-04-27,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2025/Major_2/Middle_East
2,Snowy;saad;Rew,13500,/fortnite/Snowy;/fortnite/Saad;/fortnite/Rew,,,,,,,,,,,
3,Balor;FHD;Nachiiri,9000,/fortnite/Balor;/fortnite/FHD_(Fahad_Almutairi);/fortnite/Nachiiri,,,,,,,,,,,
4,QnDx;Rapit;Phantom,7650,/fortnite/QnDx;/fortnite/Rapit;/fortnite/Phantom,,,,,,,,,,,
5,Spy;1Saud;Escdark,5850,/fortnite/Spy;/fortnite/1Saud;/fortnite/Escdark,,,,,,,,,,,
6,Hellonsteam;Skydeun;P5EK,3600,/fortnite/Hellonsteam;/fortnite/Skydeun;/fortnite/P5EK,,,,,,,,,,,
7,Snowvaks;Morix;Bd,3600,/fortnite/Snowvaks;/fortnite/Morix;/fortnite/Bd,,,,,,,,,,,
8,Wqzzi;Rxtr;s3,3600,/fortnite/Wqzzi;/fortnite/RXTR;/fortnite/S3,,,,,,,,,,,
9,Stranger;xViperzz;BARQ,3600,/fortnite/Stranger;/fortnite/XViperzz;/fortnite/BARQ,,,,,,,,,,,
10,Abodk;LvR;abos3d,3600,/fortnite/Abodk;/fortnite/LvR;/fortnite/Abos3d,,,,,,,,,,,
11,Yonx;Nm7;Rvvr,1800,/fortnite/Yonx;/fortnite/NM7;/fortnite/Rvvry,,,,,,,,,,,
12,FHD;Adapter;Kodex,1800,/fortnite/FHD_(Fahad_Yaseer);/fortnite/Adapter;/fortnite/Kodex,,,,,,,,,,,
13,SoMiN;Tiggz;DaNicush,1800,/fortnite/SoMiN;/fortnite/Tiggz;/fortnite/DaNicush,,,,,,,,,,,
14,Kalgamer;SaLva;7man,1800,/fortnite/Kalgamer710;/fortnite/Salvatore;/fortnite/7man,,,,,,,,,,,
15,Soko;dantadntryr;Belo,1800,/fortnite/Soko;/fortnite/Dantadntryr;/fortnite/Belo,,,,,,,,,,,
16,BenjosJ;Fe1n;bisley,0,/fortnite/BenjosJ;/fortnite/Fe1n;/fortnite/Bisley,,,,,,,,,,,
17,Mansour;Metab;Snowyka,0,/fortnite/Mansour;/fortnite/Metab;/fortnite/Snowyka,,,,,,,,,,,
18,Lxmp;SPIN;Yo7med,0,/fortnite/Lxmp;/fortnite/SPIN;/fortnite/Yo7med,,,,,,,,,,,
19,Osama;Solid M;Mjr,0,/fortnite/Osama;/fortnite/Solid_M;/fortnite/Mjr,,,,,,,,,,,
20,Sultan;Henchman;Asta,0,/fortnite/Sultan;/fortnite/Henchman;/fortnite/Asta,,,,,,,,,,,
21,7man;Pluey;RKNPARS,0,/fortnite/7man_(ME_player_2);/fortnite/Pluey;/fortnite/RKNPARS,,,,,,,,,,,
22,Eliite;im3r8q;Fzex,0,/fortnite/Eliite;/fortnite/Im3r8q;/fortnite/Fzex,,,,,,,,,,,
23,SPESHO;Zeyn;PsFN,0,/fortnite/SPESHO;/fortnite/Zeyn;/fortnite/PsFN,,,,,,,,,,,
24,NJR;JWYJH;YASER,0,/fortnite/NJR;/fortnite/JWYJH;/fortnite/YASER,,,,,,,,,,,
25,2itay;fhd1st;yali,0,/fortnite/2itay;/fortnite/Fhd1st;/fortnite/Yali,,,,,,,,,,,
26,LWA;Po;Zodi,0,/fortnite/LWA;/fortnite/Po;/fortnite/Zodi,,,,,,,,,,,
27,Abod;vonix28;matrx,0,/fortnite/Abod;/fortnite/Vonix28;/fortnite/Matrx,,,,,,,,,,,
28,Vysi;Scorpion;Ali,0,/fortnite/Vysi;/fortnite/Scorpion;/fortnite/Ali,,,,,,,,,,,
29,Bronze;Khaloofi;Reflex,0,/fortnite/Bronze;/fortnite/Khaloofi;/fortnite/Reflex,,,,,,,,,,,
30,Txrm;7xde;Mighty,0,/fortnite/Txrm;/fortnite/7xde;/fortnite/Mighty,,,,,,,,,,,
31,LuckyALi;5pazz;D7nz,0,/fortnite/LuckyALi;/fortnite/5pazz;/fortnite/D7nz,,,,,,,,,,,
