Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Ritual;Cold;Peterbot,180000,/fortnite/Ritual;/fortnite/Cold;/fortnite/Peterbot,Global,Trios,33,33,2025-04-26,2025-04-27,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2025/Major_2
2,Clix;Higgs;Eomzo,76500,/fortnite/Clix;/fortnite/Batman_Bugha;/fortnite/Eomzo,,,,,,,
3,Reet;Cooper;Curly,51000,/fortnite/Reet;/fortnite/Cooper;/fortnite/Curly,,,,,,,
4,Visxals;Braydz;Aminished,35700,/fortnite/Visxals;/fortnite/Braydz;/fortnite/Aminished,,,,,,,
5,Ajerss;Acorn;Pollo,28050,/fortnite/Ajerss;/fortnite/Acorn;/fortnite/Pollo,,,,,,,
6,Rapid;Bugha;Threats,20400,/fortnite/Rapid;/fortnite/Bugha;/fortnite/Threats,,,,,,,
7,Khanada;Boltz;Sphinx,20400,/fortnite/Khanada;/fortnite/Boltz;/fortnite/Sphinx,,,,,,,
8,Muz;Japko;Rise,20400,/fortnite/Muz;/fortnite/Japko;/fortnite/Rise,,,,,,,
9,Shadow;Curve;nvtylerh,20400,/fortnite/Shadow;/fortnite/Curve;/fortnite/Nvtylerh,,,,,,,
10,Takii;eshouu;verT,20400,/fortnite/Takii;/fortnite/Eshouu;/fortnite/VerT,,,,,,,
11,Joji;Doniee;Kraez,10200,/fortnite/Joji;/fortnite/Doniee;/fortnite/Kraez,,,,,,,
12,Noizy;Krreon;Tony,10200,/fortnite/Noizy;/fortnite/Krreon;/fortnite/Tony,,,,,,,
13,Synix;Polar;Decay,10200,/fortnite/Synix;/fortnite/Polar;/fortnite/Decay,,,,,,,
14,Brycx;GMoney;oSydd,10200,/fortnite/Brycx;/fortnite/GMoney;/fortnite/OSydd,,,,,,,
15,Avivv;skqttles;Chimp,10200,/fortnite/Avivv;/fortnite/Skqttles;/fortnite/Chimp,,,,,,,
16,Golden;Void;Ozone,5100,/fortnite/Golden;/fortnite/Void_(NA_player_2);/fortnite/Ozone,,,,,,,
17,Eulogy;Phenom;Yusuff,5100,/fortnite/Eulogy;/fortnite/Phenom;/fortnite/Yusuff,,,,,,,
18,Bucke;Okis;Cam,5100,/fortnite/Bucke;/fortnite/Okis;/fortnite/Cam,,,,,,,
19,Enough;mxfia;Haze,5100,/fortnite/Enough;/fortnite/Mxfia;/fortnite/Haze,,,,,,,
20,Dolzeur;natmozs;AidenKBM,5100,/fortnite/Dolzeur;/fortnite/Natmozs;/fortnite/AidenKBM,,,,,,,
21,cillic;Jargue;KingOnExpo,2550,/fortnite/Cillic;/fortnite/Jargue;/fortnite/Kingaling,,,,,,,
22,NoahWPlays;ChaosGamingLive;kasz,2550,/fortnite/NoahWPlays;/fortnite/ChaosGamingLive;/fortnite/Kasz,,,,,,,
23,josh;cauzerz;Magma,2550,/fortnite/Josh;/fortnite/Cauzerz;/fortnite/Magma,,,,,,,
24,thetik;Fuzeac;Maniac,2550,/fortnite/Thetik;/fortnite/Fuzeac;/fortnite/Maniac,,,,,,,
25,Aoxy;Jojofishy;Pykz,2550,/fortnite/Aoxy;/fortnite/Jojofishy;/fortnite/Pykz,,,,,,,
26,Twunti;liamtfup;Broken,0,/fortnite/Twunti;/fortnite/Liamtfup;/fortnite/Broken_(NA_player),,,,,,,
27,Catman;Amplify;Lorzizs,0,/fortnite/Catman;/fortnite/Amplify;/fortnite/Lorzizs,,,,,,,
28,Sandman;Evyn;Zandaa,0,/fortnite/Sandman;/fortnite/Evyn;/fortnite/Zandaa,,,,,,,
29,JxyHD;Zaklz;Pollus,0,/fortnite/JxyHD;/fortnite/Zaklz;/fortnite/Pollus,,,,,,,
30,Seek;Dash;Veer,0,/fortnite/Seek;/fortnite/Dash;/fortnite/Veer,,,,,,,
31,Vortek;nurface;Bacon,0,/fortnite/Vortek;/fortnite/Nurface;/fortnite/Bacon,,,,,,,
32,napz;Cyriz;zire,0,/fortnite/Napz;/fortnite/Cyriz;/fortnite/Zire,,,,,,,
33,Faallen;Nitro;Jutraz,0,/fortnite/Faallen;/fortnite/Nitro;/fortnite/Jutraz,,,,,,,
