Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Ark;Sxhool;Salko,45000,/fortnite/Ark;/fortnite/Sxhool;/fortnite/Salko,NAW,Trios,33,33,180000,Online,North America,,2025-04-26,2025-04-27,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2025/Major_2/North_America_West
2,Bacca;Parz;PXMP,27000,/fortnite/Bacca;/fortnite/Parz;/fortnite/Pxmp,,,,,,,,,,,
3,Silxzys;Cyrzr;Velo,18000,/fortnite/Silxzys;/fortnite/Cyrzr;/fortnite/Velo,,,,,,,,,,,
4,Zeus;Zyrofnw;Mannii14,15300,/fortnite/Zeus;/fortnite/Zyrofnw;/fortnite/Mannii14,,,,,,,,,,,
5,Source;VicterV;THORIK,11700,/fortnite/Source;/fortnite/VicterV;/fortnite/Thor,,,,,,,,,,,
6,defiable;Zno;Zookez,7200,/fortnite/Defiable;/fortnite/Zno;/fortnite/Zookez,,,,,,,,,,,
7,Razez;Minit;sudds,7200,/fortnite/Razez;/fortnite/Minit;/fortnite/Sudds,,,,,,,,,,,
8,Xpon;Resypical;Krimz,7200,/fortnite/Xpon;/fortnite/Resypical;/fortnite/Krimz,,,,,,,,,,,
9,phoenix;Bdawg;Dom,7200,/fortnite/Phoenix;/fortnite/Bdawg;/fortnite/Dom_(NAW_player),,,,,,,,,,,
10,Retro;Trezy;chasefv,7200,/fortnite/Retro;/fortnite/Trezy;/fortnite/Chasefv,,,,,,,,,,,
11,Vanillaz;Yumi;Convic,3600,/fortnite/Vanillaz;/fortnite/Yumi;/fortnite/Convic,,,,,,,,,,,
12,purebx;Tenley;Reminisciin,3600,/fortnite/Purebx;/fortnite/Tenley;/fortnite/Reminisciin,,,,,,,,,,,
13,Inact;EpikWhale;ZLink,3600,/fortnite/Inact;/fortnite/EpikWhale;/fortnite/ZLink,,,,,,,,,,,
14,Blizy;Rays;itzshhyy,3600,/fortnite/Blizy;/fortnite/Rays;/fortnite/Itzshhyy,,,,,,,,,,,
15,xenon;a1alex;Roe,3600,/fortnite/Xenon;/fortnite/A1alex;/fortnite/Roe,,,,,,,,,,,
16,Raygun;colex;Chele,1800,/fortnite/Ratgun;/fortnite/Colex;/fortnite/Chele,,,,,,,,,,,
17,Leonyfishy;Skeptasia;Azazel,1800,/fortnite/Leonyfishy;/fortnite/Skeptasia;/fortnite/Azazel,,,,,,,,,,,
18,Keen;Darts;Dark,1800,/fortnite/Keen;/fortnite/Darts;/fortnite/Dark,,,,,,,,,,,
19,CZR;Tups;Fuzz,1800,/fortnite/CZR;/fortnite/Tups;/fortnite/Fuzz,,,,,,,,,,,
20,Diegallo;Yasir;Flinty,1800,/fortnite/Diegallo;/fortnite/Yasir;/fortnite/Flinty,,,,,,,,,,,
21,KomanderK;Hern;Kyzin,0,/fortnite/KomanderK;/fortnite/Hern;/fortnite/Kyzin,,,,,,,,,,,
22,Keto;Poppin;Frost,0,/fortnite/Keto;/fortnite/Poppin;/fortnite/Frost,,,,,,,,,,,
23,Jeulzz;Slick;ChickenItza,0,/fortnite/Jeulzz;/fortnite/Slick;/fortnite/ChickenItza,,,,,,,,,,,
24,Hajuu;Dolla;Clukz,0,/fortnite/Hajuu;/fortnite/Dolla;/fortnite/Clukz,,,,,,,,,,,
25,vorx;Evolved;Creep,0,/fortnite/Vorx;/fortnite/Evolved;/fortnite/CreepWtf,,,,,,,,,,,
26,crot2b;Gord;Blzerd,0,/fortnite/Crot2b;/fortnite/Gord;/fortnite/Blzerd,,,,,,,,,,,
27,Braden;LegendaryBanana;Larccoz,0,/fortnite/Braden;/fortnite/LegendaryBanana;/fortnite/Larccoz,,,,,,,,,,,
28,Vamon;Whizxiy;SPOON,0,/fortnite/Vamon;/fortnite/Whizxiy;/fortnite/SPOON,,,,,,,,,,,
29,Feline;Flash;tibbah,0,/fortnite/Feline;/fortnite/Flash;/fortnite/Tibbah,,,,,,,,,,,
30,Sepz;Kernel;mattbruh,0,/fortnite/Sepz;/fortnite/Kernel;/fortnite/Mattbruh,,,,,,,,,,,
31,qasruh;wifi;Riot,0,/fortnite/Qasruh;/fortnite/Wifi;/fortnite/Riot,,,,,,,,,,,
32,Muggy;Koza;Tinytawn,0,/fortnite/Snivy;/fortnite/Koza;/fortnite/Tinytawn,,,,,,,,,,,
33,Akau;uxsif;Vlux,0,/fortnite/Akau;/fortnite/Uxsif;/fortnite/Vlux,,,,,,,,,,,
