Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Rise;Koyota;yuma,27000,/fortnite/Rise_(AS_player);/fortnite/Koyota;/fortnite/Yuma,AS,Trios,33,33,2025-08-02,2025-08-03,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2025/Major_3/Asia
2,Raito;Razl;Kimkana,13500,/fortnite/Raito;/fortnite/Razeru;/fortnite/Kimkana,,,,,,,
3,Merem;wickesy;Buyuriru,9000,/fortnite/Merem;/fortnite/Wickesy_(Japanese_player);/fortnite/Buyuriru,,,,,,,
4,Rainy;Taiya;BOBY,7650,/fortnite/Rainy;/fortnite/Tiarr;/fortnite/Bobik1ng,,,,,,,
5,Goki;Maa-san;PRBK,5850,/fortnite/Goki;/fortnite/Maa-san;/fortnite/Proboko,,,,,,,
6,xMipoli;Shelom;Michael.,3600,/fortnite/Mipoli;/fortnite/Shelom;/fortnite/Michael.,,,,,,,
7,LILY;meah;Teddy,3600,/fortnite/LILY;/fortnite/Meah;/fortnite/Teddy,,,,,,,
8,Qjac;RiaM;Reim,3600,/fortnite/Qjac;/fortnite/RiaM;/fortnite/Reim,,,,,,,
9,Kametin;Stella;mxrxk,3600,/fortnite/Kametin;/fortnite/Stella;/fortnite/Mxrxk,,,,,,,
10,Bataco;He-stin;Rabbit,3600,/fortnite/Batako;/fortnite/Hestin;/fortnite/Rabbit,,,,,,,
11,Vaundy;Aquria;zeykz,1800,/fortnite/Reo;/fortnite/Aquria;/fortnite/Zeykz,,,,,,,
12,koroika;natafish;NoeL,1800,/fortnite/Koroika;/fortnite/Natafish;/fortnite/NoeL,,,,,,,
13,Stain;Zagou;DayDus,1800,/fortnite/StainZ;/fortnite/Zagou;/fortnite/Karimu,,,,,,,
14,Pegu;Kaf;wicxsy,1800,/fortnite/Pegu;/fortnite/Kaf;/fortnite/Wicxsy,,,,,,,
15,Tayler;Job;Larkpex,1800,/fortnite/Tayler;/fortnite/Job;/fortnite/Larkpex,,,,,,,
16,Zerokun;Nalu;KanA,0,/fortnite/Zerokun;/fortnite/Nalu;/fortnite/KanA,,,,,,,
17,Mell;Mi-chan;SPINZ,0,/fortnite/Mell;/fortnite/Mi-chan;/fortnite/SPINZ,,,,,,,
18,Aster;Popograal;Rintarou,0,/fortnite/Aster;/fortnite/Popograal;/fortnite/Rintarou,,,,,,,
19,Tara;Moon;Miyagura,0,/fortnite/Tara;/fortnite/Moon_(Japanese_player);/fortnite/Miyagura,,,,,,,
20,Shaker;Mainlyox;nayker,0,/fortnite/Shaker;/fortnite/Mainly;/fortnite/Nayker,,,,,,,
21,Noa;Shunteyan;Sayara,0,/fortnite/Noa;/fortnite/Shunteyan;/fortnite/Sayara,,,,,,,
22,Jagareet;clxxer;junjun,0,/fortnite/Jagareet;/fortnite/Jqmix;/fortnite/junjun,,,,,,,
23,REINER;Swert;PartyGirl,0,/fortnite/REINER;/fortnite/Swert;/fortnite/PartyGirl,,,,,,,
24,Zx2B0;ib;Luuuke,0,/fortnite/Zetsubo;/fortnite/Ib;/fortnite/Luuuke,,,,,,,
25,Smile;ShuNx;Joibobobo,0,/fortnite/Smile;/fortnite/ShuNx;/fortnite/Joibobobo,,,,,,,
26,LEO;batikori;SV,0,/fortnite/LEO;/fortnite/Batikori;/fortnite/SV,,,,,,,
27,Reaper;Chikara;CRPS,0,/fortnite/Reaper;/fortnite/Chikara;/fortnite/CRPS,,,,,,,
28,kabuto;Ambition;Search,0,/fortnite/Kabuto;/fortnite/Ambition;/fortnite/Search,,,,,,,
29,Riemu;bykn;RAI,0,/fortnite/Riemu;/fortnite/Bykn;/fortnite/RAI,,,,,,,
30,Melun;Huggy;RyoIT,0,/fortnite/Melun;/fortnite/Huggy;/fortnite/RyoIT,,,,,,,
31,KAIRI;Mikan;rupe,0,/fortnite/KAIRI;/fortnite/Mikan;/fortnite/rupe,,,,,,,
32,ryogata;Okan;Mame,0,/fortnite/Ryogata;/fortnite/Okan;/fortnite/Mame,,,,,,,
33,zema;Zea;Hoop,0,/fortnite/zema;/fortnite/Zea;/fortnite/Hoop,,,,,,,
