Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,WeY;Gabzera;Scarpa,45000,/fortnite/WeY;/fortnite/Gabzeralindo;/fortnite/Scarpa,BR,Trios,33,33,2025-08-02,2025-08-03,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2025/Major_3/Brazil
2,Edson;Seeyun;KING,27000,/fortnite/Edson;/fortnite/Seeyun;/fortnite/KING,,,,,,,
3,Lewa;Randu;Romero,18000,/fortnite/Lewa;/fortnite/Randu;/fortnite/Romero,,,,,,,
4,Stryker;Tisco;Cadu,15300,/fortnite/Stryker;/fortnite/Tisco;/fortnite/Cadu,,,,,,,
5,Gonzalo;Hazzense;Tecne,11700,/fortnite/Gonzalobtw;/fortnite/Jasenszzzz;/fortnite/Tecne,,,,,,,
6,Frans;Redlee;Kitoz,7200,/fortnite/Frans;/fortnite/Redlee;/fortnite/Kitoz,,,,,,,
7,Persa;Diguera;EdRoadToGlory,7200,/fortnite/Persa;/fortnite/Diguera;/fortnite/EdRoadToGlory,,,,,,,
8,Xeat;Thiagin;Magni,7200,/fortnite/Xeat;/fortnite/Thiagin;/fortnite/Magni,,,,,,,
9,916Gon;Nutifps;Night,7200,/fortnite/916Gon;/fortnite/Nutifps;/fortnite/Night,,,,,,,
10,Fuzettin;Dream;Grx,7200,/fortnite/Fuzettin;/fortnite/Dream;/fortnite/Grx,,,,,,,
11,mack;Nickz;Nov1ce,3600,/fortnite/Mack;/fortnite/Nickz;/fortnite/Nov1ce,,,,,,,
12,Talls;Trueno;Sanku,3600,/fortnite/Talls;/fortnite/Trueno;/fortnite/Sanku,,,,,,,
13,BlackoutZ;Teuzz;TheFeloz,3600,/fortnite/BlackoutZ;/fortnite/Teuzz;/fortnite/TheFeloz,,,,,,,
14,Kayky;LORD;Kchorro,3600,/fortnite/KaykyGames;/fortnite/LORD;/fortnite/Kchorro,,,,,,,
15,Keicox;Fishy;wolfie,3600,/fortnite/Keicox;/fortnite/Fishy;/fortnite/Wolfie,,,,,,,
16,Lucx;Leozin;BRABOX,1800,/fortnite/Lucx;/fortnite/Leozin;/fortnite/BRABOX,,,,,,,
17,Letz;Magia Jr;Azizis,1800,/fortnite/Letz;/fortnite/Magia_Jr;/fortnite/Azizis,,,,,,,
18,seawxve;Feehzin;Felpsz,1800,/fortnite/Seawxve;/fortnite/Feehzin;/fortnite/Felpsz,,,,,,,
19,Rize;Myst;CaioD3US,1800,/fortnite/Rize_(Peruvian_player);/fortnite/Myst;/fortnite/CaioD3US,,,,,,,
20,Cauee;Jxao1x;Kaduzin,1800,/fortnite/Cauee;/fortnite/Jxao1x;/fortnite/Kaduzin,,,,,,,
21,Nahux;Steg;RodryGOD,0,/fortnite/Nahux;/fortnite/Steg;/fortnite/RodryGOD,,,,,,,
22,Mxsty;Parkyn;Gu1,0,/fortnite/Mxsty;/fortnite/Parkyn;/fortnite/Gu1,,,,,,,
23,White;Spectral;axadasz,0,/fortnite/White;/fortnite/Spectral;/fortnite/Axadasz,,,,,,,
24,Pulga;GxT;Paulinyache32,0,/fortnite/Pulga;/fortnite/GxT;/fortnite/Paulinyache32,,,,,,,
25,sxlo;Mitei;Dedegraal,0,/fortnite/Sxlo;/fortnite/Mitei;/fortnite/Dedegraal,,,,,,,
26,Renato;Akla;nathes,0,/fortnite/Renato;/fortnite/Akla;/fortnite/Nathes,,,,,,,
27,Mojak;Snohxx;Yzan,0,/fortnite/Mojak;/fortnite/Snohxx;/fortnite/Yzan,,,,,,,
28,Sad;Nozzey;Pietriin,0,/fortnite/Sad;/fortnite/Nozzey;/fortnite/Pietriin,,,,,,,
29,Royale7s;Puzera;Barroso,0,/fortnite/Royale7s;/fortnite/Puzera;/fortnite/Barroso,,,,,,,
30,Rick;Jpfk1ng;Lucato,0,/fortnite/Rick;/fortnite/Jpfk1ng;/fortnite/Lucato,,,,,,,
31,Darkxz;Enzouzz;Dutra,0,/fortnite/Darkxz;/fortnite/Enzouzz;/fortnite/Dutra,,,,,,,
32,Arthurbc;Grilo;N6hue,0,/fortnite/Arthurbc;/fortnite/Grilo;/fortnite/N6hue,,,,,,,
33,monsterz;imattz;Chap,0,/fortnite/Monsterz;/fortnite/Imattz;/fortnite/Chap_(Brazilian_player),,,,,,,
