Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Resignz;alex;Anon,27000,/fortnite/Resignz;/fortnite/Alex;/fortnite/Anon,OCE,Trios,33,32,90000,Online,Oceania,,2025-08-02,2025-08-03,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2025/Major_3/Oceania
2,Tinka;Cazi;Aspect,13500,/fortnite/Tinka;/fortnite/Cazi;/fortnite/Aspect_(OCE_player),,,,,,,,,,,
3,VortexM;m0untain;Goofy,9000,/fortnite/VortexM;/fortnite/M0untain;/fortnite/Goofy,,,,,,,,,,,
4,Teroq;ZDog;volx,7650,/fortnite/Teroq;/fortnite/ZDog;/fortnite/Volx,,,,,,,,,,,
5,Mase;Phazgod;Crusades,5850,/fortnite/Mase;/fortnite/Phazgod;/fortnite/Crusades,,,,,,,,,,,
6,Vazen;Gazer;Bulldogz,3600,/fortnite/Vazen;/fortnite/Gazer;/fortnite/Jerald,,,,,,,,,,,
7,Oatley;danath;Mace,3600,/fortnite/Oatley;/fortnite/Danath;/fortnite/Mace,,,,,,,,,,,
8,Fisher;Pumpkin;Rip,3600,/fortnite/Fisher;/fortnite/Pumpkin;/fortnite/Rip,,,,,,,,,,,
9,Zak;Jai;clayrixx,3600,/fortnite/Zak;/fortnite/Jaieh;/fortnite/Clayrixx,,,,,,,,,,,
10,Satisfy;Merc;Hezzaar,3600,/fortnite/Satisfy;/fortnite/Merc;/fortnite/Hezzaar,,,,,,,,,,,
11,Spookz;Sanjog;Deymo,1800,/fortnite/Spookz;/fortnite/Sanjog;/fortnite/Deymo,,,,,,,,,,,
12,Snaggy;Star;Icyecle,1800,/fortnite/Snaggy;/fortnite/Star;/fortnite/Icyecle,,,,,,,,,,,
13,Sorif;Saiu;Eshz,1800,/fortnite/Sorif;/fortnite/Saiu;/fortnite/Eshz,,,,,,,,,,,
14,Massimo;Tame;Zelo,1800,/fortnite/Massimo;/fortnite/Tame;/fortnite/Zelo_(OCE_player),,,,,,,,,,,
15,Zinxii;Ice;Sazers,1800,/fortnite/Zinxii;/fortnite/Ice;/fortnite/Sazers,,,,,,,,,,,
16,Protoon;Qhvst;Linky,0,/fortnite/Protoon;/fortnite/Qhvst;/fortnite/Linky,,,,,,,,,,,
17,Drvcz;Toadslayer;xcarti,0,/fortnite/Drvcz;/fortnite/Toadslayer;/fortnite/Xcarti,,,,,,,,,,,
18,Maloxty;dummi;Gwooble,0,/fortnite/Maloxty;/fortnite/Dummi;/fortnite/Gwooble,,,,,,,,,,,
19,slinger;Koox;Kojo,0,/fortnite/Slinger;/fortnite/Koox;/fortnite/Kojo,,,,,,,,,,,
20,zycra;Rain;yuki,0,/fortnite/Zycra;/fortnite/Rain_(OCE_player);/fortnite/Yuki,,,,,,,,,,,
21,Astrix;Bolt;Wokes,0,/fortnite/Astrix;/fortnite/Bolt;/fortnite/Wokes,,,,,,,,,,,
22,Jxsn;Mana;xavier,0,/fortnite/Jxsn;/fortnite/Mana;/fortnite/Xavier,,,,,,,,,,,
23,Rhys;voz;Hxlo,0,/fortnite/Rhys;/fortnite/Voz;/fortnite/Hxlo,,,,,,,,,,,
24,VenoxGod;Bando;celdom,0,/fortnite/VenoxGod;/fortnite/Bando;/fortnite/Celdom,,,,,,,,,,,
25,Skydox;Oliver;Eggman,0,/fortnite/Skydox;/fortnite/Oliver;/fortnite/Eggman,,,,,,,,,,,
26,Sully;Orix;Takeru,0,/fortnite/Sully;/fortnite/Orix;/fortnite/Takeru,,,,,,,,,,,
27,Wpuc;Falcon;Epsy,0,/fortnite/Wpuc;/fortnite/Falcon;/fortnite/Epsy,,,,,,,,,,,
28,muffy;outer;Core,0,/fortnite/Muffy;/fortnite/Outer;/fortnite/Core_(OCE_player),,,,,,,,,,,
29,Strix;charme;Adzy,0,/fortnite/Strix;/fortnite/Charme;/fortnite/Adzy,,,,,,,,,,,
30,trippn;Rainycuz;Crypty,0,/fortnite/Trippn;/fortnite/Rainy_(OCE_player);/fortnite/Crypty,,,,,,,,,,,
31,Cazo;Twixae;shane,0,/fortnite/Cazo;/fortnite/Twixae;/fortnite/Shane,,,,,,,,,,,
32,Kaza;Mooney;Almount,0,/fortnite/Kaza;/fortnite/Mooney;/fortnite/Almount,,,,,,,,,,,
